model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
gpt2-medium,skip_link,0,1.116259,119.877373,107.3921,119.888733,0.0
gpt2-medium,skip_link,1,19.855179,27.805496,1.4004,127.408051,0.0435
gpt2-medium,skip_link,2,14.07882,15.528135,1.1029,126.549683,0.087
gpt2-medium,skip_link,3,11.061623,11.937502,1.0792,126.683266,0.1304
gpt2-medium,skip_link,4,12.534967,13.21755,1.0545,133.131729,0.1739
gpt2-medium,skip_link,5,13.087149,19.833281,1.5155,140.057068,0.2174
gpt2-medium,skip_link,6,8.856707,23.255095,2.6257,151.243607,0.2609
gpt2-medium,skip_link,7,13.147699,18.761715,1.427,158.988281,0.3043
gpt2-medium,skip_link,8,18.019756,25.725037,1.4276,173.838181,0.3478
gpt2-medium,skip_link,9,16.121609,25.852274,1.6036,180.812805,0.3913
gpt2-medium,skip_link,10,13.697041,28.680088,2.0939,187.746841,0.4348
gpt2-medium,skip_link,11,18.293879,24.570778,1.3431,197.479019,0.4783
gpt2-medium,skip_link,12,21.426888,30.837593,1.4392,209.145401,0.5217
gpt2-medium,skip_link,13,8.598498,30.053959,3.4953,216.227036,0.5652
gpt2-medium,skip_link,14,21.855839,33.774109,1.5453,233.01796,0.6087
gpt2-medium,skip_link,15,19.983131,33.210232,1.6619,251.414276,0.6522
gpt2-medium,skip_link,16,25.741102,39.159279,1.5213,277.524445,0.6957
gpt2-medium,skip_link,17,26.675337,45.613316,1.7099,309.816528,0.7391
gpt2-medium,skip_link,18,29.882402,51.331024,1.7178,350.914215,0.7826
gpt2-medium,skip_link,19,32.938538,51.904518,1.5758,397.906342,0.8261
gpt2-medium,skip_link,20,21.132563,59.502754,2.8157,452.593689,0.8696
gpt2-medium,skip_link,21,36.865086,104.1091,2.8241,559.288513,0.913
gpt2-medium,skip_link,22,97.964645,159.176895,1.6248,761.867126,0.9565
gpt2-medium,skip_link,23,202.242233,82.797646,0.4094,860.83075,1.0
gpt2-medium,color_contrast,0,1.177694,118.316605,100.4646,118.371628,0.0
gpt2-medium,color_contrast,1,15.397382,26.784088,1.7395,131.573059,0.0435
gpt2-medium,color_contrast,2,12.874812,14.759338,1.1464,133.421082,0.087
gpt2-medium,color_contrast,3,13.94937,15.077518,1.0809,137.788498,0.1304
gpt2-medium,color_contrast,4,10.916112,18.260607,1.6728,148.530411,0.1739
gpt2-medium,color_contrast,5,11.52093,17.129805,1.4868,149.481201,0.2174
gpt2-medium,color_contrast,6,8.705834,18.784771,2.1577,159.977615,0.2609
gpt2-medium,color_contrast,7,10.862732,21.307327,1.9615,165.983414,0.3043
gpt2-medium,color_contrast,8,17.22344,20.757603,1.2052,173.907166,0.3478
gpt2-medium,color_contrast,9,15.380382,22.957983,1.4927,175.377548,0.3913
gpt2-medium,color_contrast,10,14.87468,24.804665,1.6676,178.415146,0.4348
gpt2-medium,color_contrast,11,12.807671,25.152128,1.9638,182.20636,0.4783
gpt2-medium,color_contrast,12,16.395288,28.805243,1.7569,188.484634,0.5217
gpt2-medium,color_contrast,13,18.277433,30.9659,1.6942,197.438553,0.5652
gpt2-medium,color_contrast,14,19.271719,33.125626,1.7189,209.672714,0.6087
gpt2-medium,color_contrast,15,24.473303,42.771725,1.7477,235.1138,0.6522
gpt2-medium,color_contrast,16,15.553505,44.931408,2.8888,258.474792,0.6957
gpt2-medium,color_contrast,17,21.062265,42.807655,2.0324,285.869049,0.7391
gpt2-medium,color_contrast,18,24.209793,51.406528,2.1234,326.666656,0.7826
gpt2-medium,color_contrast,19,32.272579,73.309723,2.2716,397.408539,0.8261
gpt2-medium,color_contrast,20,26.356762,56.449669,2.1418,453.946472,0.8696
gpt2-medium,color_contrast,21,71.994499,100.650299,1.398,584.44397,0.913
gpt2-medium,color_contrast,22,90.166122,186.316833,2.0664,817.2005,0.9565
gpt2-medium,color_contrast,23,203.770767,87.496056,0.4294,929.551086,1.0
