family,model,layer,head,n_compounds,relative_layer_depth,rho,p_two_sided,q_bh_within_model,bootstrap_ci_low,bootstrap_ci_high,bootstrap_negative_fraction,bootstrap_valid_resamples,upper_tail_compound_count
gpt2,gpt2,8,0,49,0.75,-0.09704081632653061,0.5071269216025965,0.6090909194818909,-0.3625754340160598,0.19397103855409584,0.736,2000,0
gpt2,gpt2,8,1,49,0.75,-0.09826530612244898,0.5017565667106122,0.6090909194818909,-0.4019770126032404,0.2221507995450143,0.744,2000,0
gpt2,gpt2,8,2,49,0.75,-0.07612244897959183,0.6031635145354516,0.6732988069232948,-0.3551054410773,0.21733435645500548,0.685,2000,0
gpt2,gpt2,8,3,49,0.75,0.14979591836734693,0.30427311444086724,0.5113891400910513,-0.14405148803987747,0.40920093667668206,0.146,2000,0
gpt2,gpt2,8,4,49,0.75,-0.21520408163265306,0.1375434015530709,0.3787178581371584,-0.43741066204723494,0.07207305046140841,0.939,2000,1
gpt2,gpt2,8,5,49,0.75,-0.009183673469387756,0.9500631813124428,0.9500631813124428,-0.32236784735857504,0.2909456005915965,0.5195,2000,0
gpt2,gpt2,8,6,49,0.75,0.14479591836734693,0.3208807730756195,0.5113891400910513,-0.13921415472528512,0.3989259859000795,0.1665,2000,0
gpt2,gpt2,8,7,49,0.75,-0.23806122448979591,0.09951978257651468,0.3141007170157994,-0.5095373183919764,0.05079760189269814,0.9465,2000,11
gpt2,gpt2,8,8,49,0.75,0.3342857142857143,0.018896287987939357,0.3141007170157994,0.06106509943468348,0.5729083923662845,0.009,2000,0
gpt2,gpt2,8,9,49,0.75,-0.01673469387755102,0.9091373563704662,0.9284807043783484,-0.31084012130044164,0.2708803454667596,0.551,2000,1
gpt2,gpt2,8,10,49,0.75,0.2092857142857143,0.14895896848616805,0.3787178581371584,-0.11843878116663221,0.5004416476581379,0.093,2000,0
gpt2,gpt2,8,11,49,0.75,0.20826530612244898,0.15099589221983956,0.3787178581371584,-0.12764486533864597,0.4763000700981274,0.102,2000,0
gpt2,gpt2,9,0,49,0.8333333333333334,-0.02520408163265306,0.8635151695264388,0.9010593073319362,-0.31771144515330085,0.27146862172937486,0.555,2000,0
gpt2,gpt2,9,1,49,0.8333333333333334,-0.14387755102040817,0.3239922875303102,0.5113891400910513,-0.43507646346121215,0.15255263575939468,0.825,2000,0
gpt2,gpt2,9,2,49,0.8333333333333334,0.11673469387755102,0.42441536224129695,0.5658871496550626,-0.18411374017812043,0.3964988757988756,0.202,2000,0
gpt2,gpt2,9,3,49,0.8333333333333334,-0.31612244897959185,0.02691012738430433,0.3141007170157994,-0.5684997327701463,-0.04228592008036226,0.9865,2000,6
gpt2,gpt2,9,4,49,0.8333333333333334,0.24377551020408164,0.09142135406710993,0.3141007170157994,-0.07999235748021191,0.5270493263515287,0.061,2000,0
gpt2,gpt2,9,5,49,0.8333333333333334,0.1273469387755102,0.3832226051694292,0.5574146984282606,-0.17724388302943853,0.4105588699813138,0.2,2000,0
gpt2,gpt2,9,6,49,0.8333333333333334,0.14204081632653062,0.33027215297547063,0.5113891400910513,-0.1815953842555411,0.4174342626386155,0.1825,2000,0
gpt2,gpt2,9,7,49,0.8333333333333334,-0.05897959183673469,0.6872793889022093,0.7497593333478646,-0.35636967412609927,0.24129565597509792,0.664,2000,0
gpt2,gpt2,9,8,49,0.8333333333333334,0.17357142857142857,0.23298170418702593,0.46596340837405187,-0.13410874347644208,0.4326554244730111,0.126,2000,0
gpt2,gpt2,9,9,49,0.8333333333333334,0.19408163265306122,0.18146897369072174,0.3787178581371584,-0.11219058182874375,0.4489930792707502,0.0975,2000,0
gpt2,gpt2,9,10,49,0.8333333333333334,-0.1186734693877551,0.4167084521626799,0.5658871496550626,-0.40728090692414176,0.18172268618248155,0.788,2000,0
gpt2,gpt2,9,11,49,0.8333333333333334,0.23612244897959184,0.10238977826680044,0.3141007170157994,-0.0621215711698559,0.47878881890635133,0.0615,2000,0
gpt2,gpt2,10,0,49,0.9166666666666666,0.11846938775510205,0.4175159233428898,0.5658871496550626,-0.19684124156486563,0.3953164690986626,0.2355,2000,0
gpt2,gpt2,10,1,49,0.9166666666666666,0.07683673469387756,0.599757649452527,0.6732988069232948,-0.22278985905784865,0.36087530737941637,0.313,2000,1
