compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
keyboard_navigation,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",2.9e-05,1e-06,2.8e-05,False,False,8050,8.993551586299981
focus_indicator,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",6e-06,2e-06,4.000000000000001e-06,False,False,1261,7.140453043101158
section_heading,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",3.7e-05,1.2e-05,2.4999999999999998e-05,False,False,6949,8.846496938558838
text_alternative,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",4.1e-05,4e-06,3.7e-05,False,False,1852,7.52456122628536
sensory_characteristics,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",1e-05,2e-06,8.000000000000001e-06,False,False,11206,9.324293862052027
target_size,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",9.1e-05,5e-06,8.6e-05,False,False,21981,9.997979215628845
drag_movement,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",8e-06,5e-06,2.9999999999999992e-06,False,False,328,5.796057750765372
focus_appearance,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",4.8e-05,1.6e-05,3.2000000000000005e-05,False,False,102,4.634728988229636
consistent_help,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",0.00036,6.6e-05,0.000294,False,False,504,6.224558429275359
redundant_entry,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",3.4e-05,1e-05,2.4e-05,False,False,205,5.327876168789581
accessible_authentication,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",1.4e-05,3e-06,1.1e-05,False,False,3,1.3862943611198906
error_identification,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",3.5e-05,5e-06,2.9999999999999997e-05,False,False,1566,7.356918242356021
character_key,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",9e-06,4e-06,5e-06,False,False,1974,7.588323677335222
accessibility_tree,pythia-160m,uniform,"[(8, 2), (11, 1), (8, 4), (10, 1), (8, 11)]","[(8, 5), (11, 0), (8, 6), (10, 9), (8, 1)]",6e-06,2e-06,4.000000000000001e-06,False,False,1307,7.176254532017143
