compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
keyboard_navigation,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",4.9e-05,1.8e-05,3.0999999999999995e-05,False,False,8050,8.993551586299981
focus_indicator,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",7.5e-05,9.5e-05,-2.0000000000000012e-05,False,False,1261,7.140453043101158
section_heading,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000331,8.5e-05,0.000246,False,False,6949,8.846496938558838
text_alternative,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000221,9.3e-05,0.00012800000000000002,False,False,1852,7.52456122628536
sensory_characteristics,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000107,0.000175,-6.8e-05,False,False,11206,9.324293862052027
target_size,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000134,0.000129,5.000000000000013e-06,False,False,21981,9.997979215628845
drag_movement,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000187,0.000194,-7.0000000000000075e-06,False,False,328,5.796057750765372
focus_appearance,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000175,4.8e-05,0.000127,False,False,102,4.634728988229636
consistent_help,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000416,0.000893,-0.00047700000000000005,False,False,504,6.224558429275359
redundant_entry,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000109,7.4e-05,3.500000000000001e-05,False,False,205,5.327876168789581
accessible_authentication,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",6.8e-05,6.1e-05,7.000000000000001e-06,False,False,3,1.3862943611198906
error_identification,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000206,2.9e-05,0.000177,False,False,1566,7.356918242356021
character_key,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",9.5e-05,5.2e-05,4.300000000000001e-05,False,False,1974,7.588323677335222
accessibility_tree,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",2.2e-05,3.8e-05,-1.6000000000000003e-05,False,False,1307,7.176254532017143
accessible_name,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.00012,0.000101,1.9e-05,False,False,1619,7.3901814282264295
accessible_description,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000333,0.000475,-0.00014199999999999998,False,False,716,6.57507584059962
radio_group,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000132,0.000124,8.000000000000005e-06,False,False,6694,8.809116258125272
tree_grid,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",8.5e-05,0.000118,-3.299999999999999e-05,False,False,865,6.763884908562435
menu_bar,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000121,0.000142,-2.100000000000001e-05,False,False,106878,11.579452632439276
combo_box,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",5.4e-05,3e-05,2.3999999999999997e-05,False,False,50410,10.82796468421378
semantic_markup,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",3.1e-05,4.5e-05,-1.4000000000000001e-05,False,False,4776,8.471568013389962
text_formatting,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000164,0.000518,-0.00035400000000000004,False,False,28514,10.258185543590638
cognitive_disabilities,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",6.4e-05,7.9e-05,-1.4999999999999999e-05,False,False,10189,9.229162126216771
decorative_image,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000549,0.000437,0.00011200000000000001,False,False,749,6.620073206530356
informative_image,pythia-1b,natural,"[(14, 4), (15, 4), (13, 4), (15, 6), (12, 5)]","[(14, 2), (15, 0), (13, 3), (15, 5), (12, 1)]",0.000415,0.000494,-7.899999999999997e-05,False,False,520,6.255750041753367
