set_id,heads,rho_frequency_kl,mean_kl,median_kl,top_changes
random_001,"[[25, 18], [26, 11], [26, 12], [27, 24], [31, 17]]",0.00608695652173913,2.651586404075109e-06,1.4617862689192407e-06,0
random_002,"[[22, 7], [25, 21], [26, 2], [27, 12], [30, 23]]",0.14608695652173911,5.832283174337742e-06,2.5904773792717606e-06,0
random_003,"[[22, 5], [23, 9], [26, 3], [26, 12], [31, 8]]",-0.04869565217391304,2.2357958490223002e-05,1.5230129065457731e-05,0
random_004,"[[22, 6], [23, 20], [26, 7], [27, 1], [31, 13]]",0.3173913043478261,3.214273844302321e-05,2.287713869009167e-05,0
random_005,"[[23, 15], [24, 21], [27, 10], [27, 26], [28, 4]]",-0.008695652173913044,0.00015372519737866241,4.17127157561481e-05,0
random_006,"[[23, 14], [26, 26], [27, 29], [28, 16], [31, 17]]",0.21739130434782608,3.364331253881877e-06,2.440805474179797e-06,0
random_007,"[[23, 28], [24, 4], [28, 0], [28, 15], [30, 9]]",0.3217391304347825,2.6332052887786026e-06,1.446476744604297e-06,0
random_008,"[[27, 19], [28, 1], [28, 27], [30, 3], [30, 21]]",0.21565217391304345,3.614539794701462e-05,2.312116339453496e-05,0
random_009,"[[25, 5], [26, 27], [28, 2], [29, 28], [30, 20]]",0.23826086956521736,3.971961405113689e-05,2.773531014099717e-05,0
random_010,"[[22, 22], [22, 24], [25, 24], [30, 24], [31, 11]]",-0.007826086956521738,7.034986022821006e-05,4.9449357902631164e-05,0
random_011,"[[22, 10], [24, 0], [28, 30], [30, 18], [31, 30]]",0.36695652173913035,2.145998693473909e-05,1.7694223060971126e-05,0
random_012,"[[25, 18], [27, 3], [27, 13], [28, 29], [30, 22]]",0.03913043478260869,3.347171635444587e-05,9.189301636070013e-06,0
random_013,"[[24, 15], [28, 20], [28, 28], [30, 17], [31, 21]]",0.5973913043478261,0.00031229591089262004,0.00015567985246889293,0
random_014,"[[23, 8], [25, 10], [27, 19], [27, 28], [31, 4]]",0.06173913043478261,2.877167033451163e-05,7.138944056350738e-06,0
random_015,"[[26, 21], [29, 28], [30, 28], [31, 19], [31, 23]]",0.10521739130434782,1.1558234139859755e-05,5.2908635552739725e-06,0
random_016,"[[24, 27], [26, 23], [28, 21], [29, 13], [30, 26]]",0.11391304347826085,1.423448126539976e-05,7.896182069089264e-06,0
random_017,"[[23, 19], [25, 25], [28, 17], [30, 3], [30, 4]]",0.3504347826086956,7.595641363877803e-05,2.7750589651986957e-05,0
random_018,"[[22, 28], [24, 12], [26, 2], [26, 16], [26, 26]]",0.30347826086956514,3.0567032714164576e-05,8.98523285286501e-06,0
