compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
keyboard_navigation,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",3.7e-05,2e-06,3.5e-05,False,False,8050,8.993551586299981
focus_indicator,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000169,4e-06,0.000165,False,False,1261,7.140453043101158
section_heading,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000253,7e-06,0.000246,False,False,6949,8.846496938558838
text_alternative,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000256,4e-06,0.000252,False,False,1852,7.52456122628536
sensory_characteristics,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000269,4e-06,0.000265,False,False,11206,9.324293862052027
target_size,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000149,2e-06,0.000147,False,False,21981,9.997979215628845
drag_movement,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",6.1e-05,2e-06,5.9e-05,False,False,328,5.796057750765372
focus_appearance,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",4.5e-05,2e-06,4.3e-05,False,False,102,4.634728988229636
consistent_help,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000296,7e-06,0.000289,False,False,504,6.224558429275359
redundant_entry,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000338,4e-06,0.000334,False,False,205,5.327876168789581
accessible_authentication,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000123,4e-06,0.000119,False,False,3,1.3862943611198906
error_identification,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.001264,3.7e-05,0.001227,False,False,1566,7.356918242356021
character_key,pythia-410m,natural,"[(23, 12), (20, 12), (22, 3), (16, 15), (23, 14)]","[(23, 5), (20, 1), (22, 8), (16, 11), (23, 2)]",0.000121,1e-06,0.00012,False,False,1974,7.588323677335222
