suite,scale,scale_label,compound,accuracy_score,binding_layer,binding_head,max_binding
gpt2,124000000.0,124M,alt_text,1.0,4,11,1.0
gpt2,355000000.0,355M,alt_text,1.0,5,11,1.0
gpt2,774000000.0,774M,alt_text,1.0,14,1,1.0
gpt2,1500000000.0,1.5B,alt_text,2.0,15,19,1.0
gpt2,124000000.0,124M,closed_captions,0.0,4,5,0.7754
gpt2,355000000.0,355M,closed_captions,0.0,13,5,0.6943
gpt2,774000000.0,774M,closed_captions,1.0,12,12,1.0
gpt2,1500000000.0,1.5B,closed_captions,1.0,17,18,0.9416
gpt2,124000000.0,124M,color_contrast,1.0,4,11,1.0
gpt2,355000000.0,355M,color_contrast,2.0,5,11,1.0
gpt2,774000000.0,774M,color_contrast,2.0,14,1,0.9999
gpt2,1500000000.0,1.5B,color_contrast,2.0,15,19,0.9998
gpt2,124000000.0,124M,focus_indicator,2.0,4,11,0.9966
gpt2,355000000.0,355M,focus_indicator,1.0,4,13,0.9998
gpt2,774000000.0,774M,focus_indicator,2.0,13,10,0.9996
gpt2,1500000000.0,1.5B,focus_indicator,0.0,15,19,0.9998
gpt2,124000000.0,124M,keyboard_navigation,1.0,4,11,0.9999
gpt2,355000000.0,355M,keyboard_navigation,2.0,5,11,1.0
gpt2,774000000.0,774M,keyboard_navigation,1.0,14,1,1.0
gpt2,1500000000.0,1.5B,keyboard_navigation,2.0,15,19,1.0
gpt2,124000000.0,124M,screen_reader,1.0,4,11,1.0
gpt2,355000000.0,355M,screen_reader,1.0,5,11,0.9998
gpt2,774000000.0,774M,screen_reader,2.0,14,1,1.0
gpt2,1500000000.0,1.5B,screen_reader,2.0,14,12,0.9999
gpt2,124000000.0,124M,semantic_html,1.0,4,11,0.9999
gpt2,355000000.0,355M,semantic_html,1.0,5,11,0.9999
gpt2,774000000.0,774M,semantic_html,1.0,14,1,0.9996
gpt2,1500000000.0,1.5B,semantic_html,1.0,12,21,1.0
gpt2,124000000.0,124M,skip_link,0.0,4,11,0.9977
gpt2,355000000.0,355M,skip_link,1.0,5,11,0.9975
gpt2,774000000.0,774M,skip_link,1.0,14,1,0.9998
gpt2,1500000000.0,1.5B,skip_link,0.0,15,19,0.9992
pythia,160000000.0,160M,alt_text,0.0,11,0,0.9976
pythia,410000000.0,410M,alt_text,1.0,3,5,0.9707
pythia,1000000000.0,1B,alt_text,1.0,3,5,0.9999
pythia,2800000000.0,2.8B,alt_text,2.0,3,1,0.9939
pythia,6900000000.0,6.9B,alt_text,2.0,3,23,0.9572
pythia,12000000000.0,12B,alt_text,2.0,3,30,0.9843
pythia,160000000.0,160M,closed_captions,0.0,11,6,0.9992
pythia,410000000.0,410M,closed_captions,0.0,23,10,0.9753
pythia,1000000000.0,1B,closed_captions,0.0,5,5,0.7189
pythia,2800000000.0,2.8B,closed_captions,0.0,27,24,0.9765
pythia,6900000000.0,6.9B,closed_captions,1.0,3,22,0.9385
pythia,12000000000.0,12B,closed_captions,1.0,3,9,0.9167
pythia,160000000.0,160M,color_contrast,1.0,11,6,0.9998
pythia,410000000.0,410M,color_contrast,2.0,5,2,0.9211
pythia,1000000000.0,1B,color_contrast,1.0,3,5,0.9969
pythia,2800000000.0,2.8B,color_contrast,1.0,1,12,0.9744
pythia,6900000000.0,6.9B,color_contrast,2.0,3,23,0.9518
pythia,12000000000.0,12B,color_contrast,2.0,1,26,0.9702
pythia,160000000.0,160M,focus_indicator,1.0,3,2,0.9401
pythia,410000000.0,410M,focus_indicator,0.0,22,2,0.9017
pythia,1000000000.0,1B,focus_indicator,0.0,3,5,0.9916
pythia,2800000000.0,2.8B,focus_indicator,0.0,10,16,0.9823
pythia,6900000000.0,6.9B,focus_indicator,0.0,13,19,0.9766
pythia,12000000000.0,12B,focus_indicator,0.0,5,28,0.991
pythia,160000000.0,160M,keyboard_navigation,1.0,11,6,1.0
pythia,410000000.0,410M,keyboard_navigation,2.0,23,10,0.9731
pythia,1000000000.0,1B,keyboard_navigation,2.0,3,5,0.9998
pythia,2800000000.0,2.8B,keyboard_navigation,2.0,1,12,0.9633
pythia,6900000000.0,6.9B,keyboard_navigation,2.0,31,7,0.9978
pythia,12000000000.0,12B,keyboard_navigation,0.0,3,30,0.9963
pythia,160000000.0,160M,screen_reader,1.0,11,8,1.0
pythia,410000000.0,410M,screen_reader,1.0,0,14,0.9758
pythia,1000000000.0,1B,screen_reader,2.0,3,5,0.9932
pythia,2800000000.0,2.8B,screen_reader,2.0,1,12,0.9909
pythia,6900000000.0,6.9B,screen_reader,2.0,2,18,0.986
pythia,12000000000.0,12B,screen_reader,2.0,1,15,0.9905
pythia,160000000.0,160M,semantic_html,1.0,11,8,1.0
pythia,410000000.0,410M,semantic_html,1.0,23,13,0.9995
pythia,1000000000.0,1B,semantic_html,0.0,3,5,0.9984
pythia,2800000000.0,2.8B,semantic_html,1.0,30,29,0.992
pythia,6900000000.0,6.9B,semantic_html,1.0,30,14,0.9995
pythia,12000000000.0,12B,semantic_html,1.0,34,36,0.9982
pythia,160000000.0,160M,skip_link,0.0,11,6,1.0
pythia,410000000.0,410M,skip_link,1.0,22,8,0.9999
pythia,1000000000.0,1B,skip_link,0.0,3,5,0.9969
pythia,2800000000.0,2.8B,skip_link,2.0,1,12,0.9913
pythia,6900000000.0,6.9B,skip_link,2.0,3,23,0.9885
pythia,12000000000.0,12B,skip_link,0.0,3,30,0.9779
