suite,concept,scale,completion_pct,declarative_pct,paradox_gap_pct_pts
pythia,ARIA,160M,,0.0,
pythia,ARIA,410M,,0.0,
pythia,ARIA,1B,,0.0,
pythia,ARIA,2.8B,,0.0,
pythia,ARIA,6.9B,,0.0,
pythia,ARIA,12B,,0.0,
pythia,WCAG,160M,,0.0,
pythia,WCAG,410M,,0.0,
pythia,WCAG,1B,,0.0,
pythia,WCAG,2.8B,,0.0,
pythia,WCAG,6.9B,,100.0,
pythia,WCAG,12B,,100.0,
pythia,alt text,160M,100.0,0.0,100.0
pythia,alt text,410M,100.0,50.0,50.0
pythia,alt text,1B,100.0,50.0,50.0
pythia,alt text,2.8B,100.0,100.0,0.0
pythia,alt text,6.9B,100.0,100.0,0.0
pythia,alt text,12B,100.0,100.0,0.0
pythia,captions,160M,0.0,0.0,0.0
pythia,captions,410M,50.0,0.0,50.0
pythia,captions,1B,50.0,0.0,50.0
pythia,captions,2.8B,50.0,0.0,50.0
pythia,captions,6.9B,0.0,50.0,-50.0
pythia,captions,12B,50.0,50.0,0.0
pythia,color contrast,160M,,50.0,
pythia,color contrast,410M,,100.0,
pythia,color contrast,1B,,50.0,
pythia,color contrast,2.8B,,50.0,
pythia,color contrast,6.9B,,100.0,
pythia,color contrast,12B,,100.0,
pythia,focus indicator,160M,,50.0,
pythia,focus indicator,410M,,0.0,
pythia,focus indicator,1B,,0.0,
pythia,focus indicator,2.8B,,0.0,
pythia,focus indicator,6.9B,,0.0,
pythia,focus indicator,12B,,0.0,
pythia,keyboard navigation,160M,,50.0,
pythia,keyboard navigation,410M,,100.0,
pythia,keyboard navigation,1B,,100.0,
pythia,keyboard navigation,2.8B,,100.0,
pythia,keyboard navigation,6.9B,,100.0,
pythia,keyboard navigation,12B,,0.0,
pythia,page title,160M,50.0,,
pythia,page title,410M,100.0,,
pythia,page title,1B,50.0,,
pythia,page title,2.8B,100.0,,
pythia,page title,6.9B,50.0,,
pythia,page title,12B,100.0,,
pythia,screen reader,160M,,50.0,
pythia,screen reader,410M,,50.0,
pythia,screen reader,1B,,100.0,
pythia,screen reader,2.8B,,100.0,
pythia,screen reader,6.9B,,100.0,
pythia,screen reader,12B,,100.0,
pythia,script,160M,75.0,,
pythia,script,410M,50.0,,
pythia,script,1B,50.0,,
pythia,script,2.8B,25.0,,
pythia,script,6.9B,50.0,,
pythia,script,12B,50.0,,
pythia,semantic HTML,160M,,50.0,
pythia,semantic HTML,410M,,50.0,
pythia,semantic HTML,1B,,0.0,
pythia,semantic HTML,2.8B,,50.0,
pythia,semantic HTML,6.9B,,50.0,
pythia,semantic HTML,12B,,50.0,
pythia,skip link,160M,,0.0,
pythia,skip link,410M,,50.0,
pythia,skip link,1B,,0.0,
pythia,skip link,2.8B,,100.0,
pythia,skip link,6.9B,,100.0,
pythia,skip link,12B,,0.0,
gpt2,ARIA,124M,,0.0,
gpt2,ARIA,355M,,0.0,
gpt2,ARIA,774M,,0.0,
gpt2,ARIA,1.5B,,0.0,
gpt2,WCAG,124M,,0.0,
gpt2,WCAG,355M,,0.0,
gpt2,WCAG,774M,,0.0,
gpt2,WCAG,1.5B,,100.0,
gpt2,alt text,124M,75.0,50.0,25.0
gpt2,alt text,355M,100.0,50.0,50.0
gpt2,alt text,774M,100.0,50.0,50.0
gpt2,alt text,1.5B,100.0,100.0,0.0
gpt2,captions,124M,0.0,0.0,0.0
gpt2,captions,355M,50.0,0.0,50.0
gpt2,captions,774M,0.0,50.0,-50.0
gpt2,captions,1.5B,50.0,50.0,0.0
gpt2,color contrast,124M,,50.0,
gpt2,color contrast,355M,,100.0,
gpt2,color contrast,774M,,100.0,
gpt2,color contrast,1.5B,,100.0,
gpt2,focus indicator,124M,,100.0,
gpt2,focus indicator,355M,,50.0,
gpt2,focus indicator,774M,,100.0,
gpt2,focus indicator,1.5B,,0.0,
gpt2,keyboard navigation,124M,,50.0,
gpt2,keyboard navigation,355M,,100.0,
gpt2,keyboard navigation,774M,,50.0,
gpt2,keyboard navigation,1.5B,,100.0,
gpt2,page title,124M,100.0,,
gpt2,page title,355M,50.0,,
gpt2,page title,774M,50.0,,
gpt2,page title,1.5B,50.0,,
gpt2,screen reader,124M,,50.0,
gpt2,screen reader,355M,,50.0,
gpt2,screen reader,774M,,100.0,
gpt2,screen reader,1.5B,,100.0,
gpt2,script,124M,50.0,,
gpt2,script,355M,100.0,,
gpt2,script,774M,50.0,,
gpt2,script,1.5B,100.0,,
gpt2,semantic HTML,124M,,50.0,
gpt2,semantic HTML,355M,,50.0,
gpt2,semantic HTML,774M,,50.0,
gpt2,semantic HTML,1.5B,,50.0,
gpt2,skip link,124M,,0.0,
gpt2,skip link,355M,,50.0,
gpt2,skip link,774M,,50.0,
gpt2,skip link,1.5B,,0.0,
