concept,n,n_degenerate,pct_degenerate
accelerated_depreciation,13,0,0.0
accessibility_tree,13,0,0.0
accessible_authentication,13,0,0.0
accessible_description,13,0,0.0
accessible_name,13,0,0.0
adequate_consideration,13,0,0.0
alarm_clock,13,0,0.0
alt_text,117,26,22.2
antibiotic_resistance,13,0,0.0
apple_pie,13,1,7.7
arbitration_clause,13,0,0.0
aria,26,2,7.7
articles_incorporation,13,0,0.0
asset_allocation,13,1,7.7
audio_description,13,1,7.7
bacterial_infection,13,1,7.7
baked_beans,13,0,0.0
balance_sheet,13,0,0.0
bath_towels,13,1,7.7
bear_market,13,0,0.0
bench_trial,13,0,0.0
bicycle,65,1,1.5
binding_precedent,13,0,0.0
birth_defect,13,0,0.0
blood_clot,13,0,0.0
blood_pressure,13,1,7.7
blue_sky,13,0,0.0
body_temperature,13,0,0.0
bond_coupon,13,0,0.0
bone_marrow,13,0,0.0
bowel_resection,13,1,7.7
brain_stem,13,0,0.0
breast_cancer,13,0,0.0
bull_market,13,1,7.7
call_option,13,0,0.0
capital_structure,13,0,0.0
car_keys,13,0,0.0
cash_flow,13,0,0.0
central_clearing,13,0,0.0
cerebral_cortex,13,0,0.0
character_key,13,0,0.0
chest_pain,13,0,0.0
chronic_pain,13,2,15.4
civil_lawsuit,13,0,0.0
class_action,13,0,0.0
clinical_trial,13,1,7.7
closed_captions,104,12,11.5
coffee_shop,13,1,7.7
cognitive_disabilities,13,0,0.0
cold_water,13,0,0.0
collar_bone,13,0,0.0
color_contrast,78,0,0.0
combo_box,13,0,0.0
commerce_clause,13,0,0.0
commodity_futures,13,0,0.0
complete_remission,13,0,0.0
conditional_parole,13,0,0.0
consistent_help,13,0,0.0
coral_reef,13,0,0.0
court_order,13,0,0.0
credit_default,13,1,7.7
credit_rating,13,0,0.0
credit_spread,13,0,0.0
criminal_record,13,0,0.0
currency_hedge,13,0,0.0
data_base,13,0,0.0
debt_covenant,13,0,0.0
decorative_image,13,1,7.7
dental_appointment,13,0,0.0
diluted_earnings,13,0,0.0
dining_table,13,0,0.0
double_jeopardy,13,0,0.0
drag_movement,13,0,0.0
drug_interaction,13,1,7.7
due_diligence,13,0,0.0
due_process,13,0,0.0
electronic_discovery,13,0,0.0
empty_link,13,0,0.0
equal_protection,13,0,0.0
error_identification,13,0,0.0
excessive_bail,13,0,0.0
expert_witness,13,0,0.0
felony_conviction,13,1,7.7
fifth_amendment,13,0,0.0
financial_leverage,13,0,0.0
fire_station,13,0,0.0
fiscal_policy,13,0,0.0
fluid_retention,13,0,0.0
focus_appearance,13,0,0.0
focus_indicator,13,0,0.0
focus_management,13,0,0.0
form_field,13,2,15.4
form_label,13,3,23.1
free_speech,13,0,0.0
gastrointestinal_absorption,13,0,0.0
grand_indictment,13,0,0.0
grilled_cheese,13,2,15.4
guilty_plea,13,0,0.0
hard_drive,13,0,0.0
heart_rate,13,0,0.0
hedge_fund,13,0,0.0
hostile_merger,13,0,0.0
hot_chocolate,13,1,7.7
html,13,0,0.0
ice_cream,13,0,0.0
immune_response,13,0,0.0
impairment_goodwill,13,0,0.0
implied_volatility,13,0,0.0
informative_image,13,3,23.1
informed_consent,13,0,0.0
input_purpose,13,0,0.0
interest_swap,13,1,7.7
joint_custody,13,0,0.0
joint_replacement,13,0,0.0
journal_entry,13,1,7.7
