condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr
uniform,gpt2,gpt2,10,10,-0.5017391304347826,0.012487219414302055,24,0.44643529022853107
uniform,gpt2,gpt2,11,8,-0.43304347826086953,0.034536379264078446,24,0.44643529022853107
uniform,gpt2,gpt2,10,9,-0.3904347826086956,0.05925750969939887,24,0.44643529022853107
uniform,gpt2,gpt2,9,0,-0.3904347826086956,0.05925750969939887,24,0.44643529022853107
uniform,gpt2,gpt2,11,9,-0.38869565217391305,0.060498404649825706,24,0.44643529022853107
uniform,gpt2,gpt2,9,7,-0.37652173913043474,0.06975342004393095,24,0.44643529022853107
uniform,gpt2,gpt2,10,11,-0.3678260869565217,0.07699887080183038,24,0.44643529022853107
uniform,gpt2,gpt2,10,0,-0.35478260869565215,0.08891743107314606,24,0.44643529022853107
uniform,gpt2,gpt2,10,2,-0.3304347826086956,0.11478470741054941,24,0.44643529022853107
uniform,gpt2,gpt2,11,10,-0.32608695652173914,0.11992916225916488,24,0.44643529022853107
uniform,gpt2,gpt2,8,2,-0.32521739130434785,0.1209778735437234,24,0.44643529022853107
uniform,gpt2,gpt2,9,6,-0.3173913043478261,0.1307180856032758,24,0.44643529022853107
uniform,gpt2,gpt2,10,3,-0.31304347826086953,0.1363674584174657,24,0.44643529022853107
uniform,gpt2,gpt2,8,9,-0.3017391304347826,0.1518714531157409,24,0.44643529022853107
uniform,gpt2,gpt2,9,9,-0.2939130434782608,0.16331057776591754,24,0.44643529022853107
uniform,gpt2,gpt2,8,10,-0.288695652173913,0.17126415242206844,24,0.44643529022853107
uniform,gpt2,gpt2,11,11,-0.28782608695652173,0.17261549938271947,24,0.44643529022853107
uniform,gpt2,gpt2,9,8,-0.2869565217391304,0.17397424190366442,24,0.44643529022853107
uniform,gpt2,gpt2,11,2,-0.28521739130434776,0.17671396904879355,24,0.44643529022853107
uniform,gpt2,gpt2,8,3,-0.27652173913043476,0.19086089033898035,24,0.45806613681355285
uniform,gpt2,gpt2,9,3,-0.2695652173913043,0.20272227336292598,24,0.46336519625811656
uniform,gpt2,gpt2,11,6,-0.25913043478260867,0.22143371075635881,24,0.4756556991757602
uniform,gpt2,gpt2,8,8,-0.25565217391304346,0.22791835585505177,24,0.4756556991757602
uniform,gpt2,gpt2,10,7,-0.2417391304347826,0.2551064662177334,24,0.5102129324354668
uniform,gpt2,gpt2,10,6,-0.23478260869565212,0.26945461176954527,24,0.5110484242386738
uniform,gpt2,gpt2,10,1,-0.23130434782608694,0.27681789646261495,24,0.5110484242386738
uniform,gpt2,gpt2,8,5,-0.21565217391304345,0.31151444912851095,24,0.5340247699345902
uniform,gpt2,gpt2,9,4,-0.20434782608695648,0.33815724851317586,24,0.5524807331334413
uniform,gpt2,gpt2,8,7,-0.19913043478260867,0.35089871307688764,24,0.5524807331334413
uniform,gpt2,gpt2,8,11,-0.19478260869565217,0.36172956198490885,24,0.5524807331334413
uniform,gpt2,gpt2,9,11,-0.19217391304347822,0.3683204887556275,24,0.5524807331334413
uniform,gpt2,gpt2,8,1,-0.1660869565217391,0.4379669016082391,24,0.6251945664555384
uniform,gpt2,gpt2,9,2,-0.1643478260869565,0.4428461512393397,24,0.6251945664555384
uniform,gpt2,gpt2,11,3,-0.15130434782608695,0.4803459029793671,24,0.6587600955145606
uniform,gpt2,gpt2,8,0,-0.1434782608695652,0.5035926462175363,24,0.6714568616233818
uniform,gpt2,gpt2,9,1,-0.08086956521739129,0.7071807504682381,24,0.8733672877200626
uniform,gpt2,gpt2,11,5,-0.07478260869565216,0.7283751615575543,24,0.8733672877200626
uniform,gpt2,gpt2,10,8,-0.054782608695652164,0.799308243488264,24,0.8733672877200626
uniform,gpt2,gpt2,11,0,-0.050434782608695654,0.8149558189775675,24,0.8733672877200626
uniform,gpt2,gpt2,11,1,-0.04608695652173912,0.8306723439322353,24,0.8733672877200626
uniform,gpt2,gpt2,8,6,-0.04434782608695652,0.8369769840650598,24,0.8733672877200626
uniform,gpt2,gpt2,9,10,-0.017391304347826087,0.9357145967179171,24,0.9357145967179171
uniform,gpt2,gpt2,8,4,0.03304347826086956,0.8781782520387229,24,0.8968628956991213
uniform,gpt2,gpt2,11,4,0.04434782608695652,0.8369769840650598,24,0.8733672877200626
uniform,gpt2,gpt2,11,7,0.05652173913043478,0.7930697839291404,24,0.8733672877200626
uniform,gpt2,gpt2,9,5,0.06608695652173913,0.7589874525518234,24,0.8733672877200626
uniform,gpt2,gpt2,10,5,0.10695652173913042,0.6188809974331807,24,0.8028726453187208
uniform,gpt2,gpt2,10,4,0.21913043478260866,0.30358344391723047,24,0.5340247699345902
uniform,gpt2,gpt2-large,28,16,-0.5669565217391304,0.0038657806979389172,24,0.4825974743779769
uniform,gpt2,gpt2-large,34,1,-0.5599999999999999,0.004430427026282591,24,0.4825974743779769
uniform,gpt2,gpt2-large,25,1,-0.5165217391304348,0.00976161306373726,24,0.4825974743779769
uniform,gpt2,gpt2-large,34,13,-0.5165217391304348,0.00976161306373726,24,0.4825974743779769
uniform,gpt2,gpt2-large,24,10,-0.5147826086956522,0.010054114049541185,24,0.4825974743779769
uniform,gpt2,gpt2-large,29,7,-0.45999999999999996,0.02371508766987063,24,0.5602824276698201
uniform,gpt2,gpt2-large,26,8,-0.45826086956521733,0.02431823300642526,24,0.5602824276698201
uniform,gpt2,gpt2-large,35,13,-0.4539130434782608,0.02588026580365202,24,0.5602824276698201
uniform,gpt2,gpt2-large,32,12,-0.44695652173913036,0.02854628458244438,24,0.5602824276698201
uniform,gpt2,gpt2-large,34,14,-0.44260869565217387,0.030321189497146277,24,0.5602824276698201
uniform,gpt2,gpt2-large,35,7,-0.4313043478260869,0.0353504559247137,24,0.5602824276698201
uniform,gpt2,gpt2-large,28,1,-0.42956521739130427,0.036179675335291185,24,0.5602824276698201
uniform,gpt2,gpt2-large,29,4,-0.42869565217391303,0.03660002306000617,24,0.5602824276698201
uniform,gpt2,gpt2-large,30,10,-0.42869565217391303,0.03660002306000617,24,0.5602824276698201
uniform,gpt2,gpt2-large,34,0,-0.4269565217391304,0.03745231387529936,24,0.5602824276698201
uniform,gpt2,gpt2-large,32,15,-0.41826086956521735,0.041951916181776204,24,0.5602824276698201
uniform,gpt2,gpt2-large,31,1,-0.4139130434782608,0.04435569219052743,24,0.5602824276698201
uniform,gpt2,gpt2-large,29,9,-0.4139130434782608,0.04435569219052743,24,0.5602824276698201
uniform,gpt2,gpt2-large,35,16,-0.40782608695652167,0.04790092056917194,24,0.5748110468300632
uniform,gpt2,gpt2-large,30,1,-0.40347826086956523,0.05056591564642587,24,0.5778961788162956
uniform,gpt2,gpt2-large,34,18,-0.39391304347826084,0.05683469551963003,24,0.6200148602141458
uniform,gpt2,gpt2-large,32,1,-0.3834782608695652,0.06434139809221924,24,0.671388501831853
uniform,gpt2,gpt2-large,24,19,-0.37043478260869556,0.0747679168688463,24,0.7476791686884631
uniform,gpt2,gpt2-large,27,8,-0.36173913043478256,0.08240024160942257,24,0.7606176148562084
uniform,gpt2,gpt2-large,28,9,-0.3521739130434782,0.09145834490857088,24,0.7652313827369961
uniform,gpt2,gpt2-large,32,19,-0.35130434782608694,0.0923172546101079,24,0.7652313827369961
uniform,gpt2,gpt2-large,34,4,-0.348695652173913,0.09493011884568243,24,0.7652313827369961
uniform,gpt2,gpt2-large,25,13,-0.34434782608695647,0.09940670099301671,24,0.7652313827369961
uniform,gpt2,gpt2-large,29,16,-0.3417391304347826,0.10216672120818253,24,0.7652313827369961
uniform,gpt2,gpt2-large,35,2,-0.3408695652173913,0.10309920611122532,24,0.7652313827369961
uniform,gpt2,gpt2-large,31,16,-0.33739130434782605,0.10689212043935839,24,0.7652313827369961
uniform,gpt2,gpt2-large,30,15,-0.3347826086956522,0.1098035359218697,24,0.7652313827369961
uniform,gpt2,gpt2-large,32,5,-0.33304347826086955,0.11177657698587243,24,0.7652313827369961
uniform,gpt2,gpt2-large,26,16,-0.3304347826086956,0.11478470741054941,24,0.7652313827369961
uniform,gpt2,gpt2-large,32,18,-0.32608695652173914,0.11992916225916488,24,0.7779188903297181
uniform,gpt2,gpt2-large,30,5,-0.31304347826086953,0.1363674584174657,24,0.8462647974901143
uniform,gpt2,gpt2-large,35,10,-0.3121739130434782,0.13751802959214357,24,0.8462647974901143
uniform,gpt2,gpt2-large,35,19,-0.30347826086956514,0.14940850037488204,24,0.8920231646098808
uniform,gpt2,gpt2-large,28,13,-0.2982608695652174,0.15688329961066771,24,0.8920231646098808
uniform,gpt2,gpt2-large,32,8,-0.29304347826086957,0.16461785270058826,24,0.8920231646098808
uniform,gpt2,gpt2-large,31,3,-0.29217391304347823,0.1659324362656943,24,0.8920231646098808
uniform,gpt2,gpt2-large,25,2,-0.29130434782608694,0.16725434336435266,24,0.8920231646098808
uniform,gpt2,gpt2-large,35,12,-0.28521739130434776,0.17671396904879355,24,0.895382211633819
uniform,gpt2,gpt2-large,28,15,-0.2843478260869565,0.1780949809531224,24,0.895382211633819
uniform,gpt2,gpt2-large,31,17,-0.2826086956521739,0.18087936831931134,24,0.895382211633819
uniform,gpt2,gpt2-large,29,13,-0.28086956521739126,0.18369366089868788,24,0.895382211633819
uniform,gpt2,gpt2-large,32,14,-0.27391304347826084,0.195251881074416,24,0.9009878816130042
uniform,gpt2,gpt2-large,33,10,-0.2695652173913043,0.20272227336292598,24,0.9009878816130042
