condition,family,model,measure,n_compounds,rho,p_value,ci_low,ci_high
natural,gpt2,gpt2,max_attention,49,-0.03071428571428571,0.8340586630734212,-0.34389067517238997,0.2721989140544087
natural,gpt2,gpt2,max_weighted,49,0.06530612244897958,0.655728691700407,-0.2513339447321081,0.36605016884357794
natural,gpt2,gpt2,max_relative,49,0.037959183673469385,0.7956752944109444,-0.274858493466222,0.33356153352357554
natural,gpt2,gpt2,p95_relative,49,-0.2838775510204081,0.048073458604143735,-0.5539795367692242,0.019696406641162668
natural,gpt2,gpt2,mean_top5_relative,49,0.05479591836734694,0.7084410710605792,-0.2481167799014689,0.3560189453922031
natural,gpt2,gpt2-large,max_attention,49,-0.1610204081632653,0.2690397241828685,-0.43754334342997936,0.15135180836168916
natural,gpt2,gpt2-large,max_weighted,49,-0.009285714285714284,0.9495090411242234,-0.3279689178195762,0.28471824309780425
natural,gpt2,gpt2-large,max_relative,49,0.02040816326530612,0.8893050196036206,-0.2921265349627881,0.3121930354476445
natural,gpt2,gpt2-large,p95_relative,49,-0.36204081632653057,0.01058138131471155,-0.5993350303695808,-0.07073651387436064
natural,gpt2,gpt2-large,mean_top5_relative,49,-0.1361224489795918,0.3510215315575552,-0.39914408316498484,0.14976189677482996
natural,gpt2,gpt2-medium,max_attention,49,-0.2754081632653061,0.05545289717344591,-0.48140267744552295,-0.024233647376879705
natural,gpt2,gpt2-medium,max_weighted,49,-0.047346938775510196,0.7466544223759687,-0.3221434754629068,0.22704942169776815
natural,gpt2,gpt2-medium,max_relative,49,-0.1070408163265306,0.46413812909433405,-0.379406311748951,0.17472788594205113
natural,gpt2,gpt2-medium,p95_relative,49,-0.3420408163265306,0.016149231289632665,-0.5782652878185754,-0.06947457567010601
natural,gpt2,gpt2-medium,mean_top5_relative,49,-0.10336734693877549,0.4796976215154499,-0.35074415375449675,0.1624868221581273
natural,gpt2,gpt2-xl,max_attention,49,-0.18081632653061222,0.213750667534012,-0.42139678627460325,0.07074695518944014
natural,gpt2,gpt2-xl,max_weighted,49,0.14857142857142855,0.3082882724028422,-0.16431552277154066,0.41088046250262567
natural,gpt2,gpt2-xl,max_relative,49,0.14591836734693878,0.31710355961603,-0.1787379993742965,0.41990573173555445
