condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr,candidate_rank
uniform,gpt2,gpt2,11,9,-0.3984615384615384,0.04850868363892241,25,0.7706093291313242,1
uniform,gpt2,gpt2,9,0,-0.3446153846153846,0.09160561662683198,25,0.7706093291313242,2
uniform,gpt2,gpt2,8,0,-0.34307692307692306,0.0931594449169492,25,0.7706093291313242,3
uniform,gpt2,gpt2,11,11,-0.33999999999999997,0.09632616614141552,25,0.7706093291313242,4
uniform,gpt2,gpt2,10,6,-0.29692307692307696,0.14948579410505916,25,0.896914764630355,5
uniform,gpt2,gpt2-large,29,4,-0.48384615384615387,0.014261523086841298,25,0.9231250611710957,1
uniform,gpt2,gpt2-large,25,17,-0.4746153846153846,0.016519252465007257,25,0.9231250611710957,2
uniform,gpt2,gpt2-large,28,8,-0.45076923076923076,0.023731952637414833,25,0.9231250611710957,3
uniform,gpt2,gpt2-large,32,19,-0.4176923076923077,0.03774613883179591,25,0.9231250611710957,4
uniform,gpt2,gpt2-large,29,9,-0.4138461538461538,0.03973081253067504,25,0.9231250611710957,5
uniform,gpt2,gpt2-medium,23,11,-0.5438461538461539,0.004952664674829258,25,0.4173594810742602,1
uniform,gpt2,gpt2-medium,18,3,-0.5292307692307692,0.006521241891785315,25,0.4173594810742602,2
uniform,gpt2,gpt2-medium,23,12,-0.48923076923076925,0.01306617912798651,25,0.5350367363854954,3
uniform,gpt2,gpt2-medium,17,13,-0.4738461538461538,0.016719898012046732,25,0.5350367363854954,4
uniform,gpt2,gpt2-medium,18,1,-0.45307692307692304,0.022938508350582164,25,0.5537452051117738,5
uniform,gpt2,gpt2-xl,40,14,-0.5753846153846153,0.0026189622644539634,25,0.5641321036736052,1
uniform,gpt2,gpt2-xl,35,21,-0.54,0.005330826960462272,25,0.5641321036736052,2
uniform,gpt2,gpt2-xl,42,14,-0.5384615384615384,0.005488750108347794,25,0.5641321036736052,3
uniform,gpt2,gpt2-xl,33,2,-0.5269230769230769,0.006803374393674246,25,0.5641321036736052,4
uniform,gpt2,gpt2-xl,43,14,-0.5184615384615384,0.007926880008502588,25,0.5641321036736052,5
uniform,olmo,OLMo-2-0425-1B,14,3,-0.6453846153846153,0.0004943540637047093,25,0.03954832509637674,1
