condition,family,model,n_test,held_out_rho,held_out_p
natural,gpt2,gpt2,25,-0.019999999999999997,0.9244025542285002
natural,gpt2,gpt2-large,25,0.4323076923076923,0.030910497405922853
natural,gpt2,gpt2-medium,25,-0.3984615384615384,0.04850868363892241
natural,gpt2,gpt2-xl,25,-0.33307692307692305,0.10374411886277632
natural,olmo,OLMo-2-0425-1B,25,-0.24153846153846154,0.24475409855765928
natural,olmo,OLMo-2-1124-13B,25,-0.6253846153846154,0.0008288625593398188
natural,olmo,OLMo-2-1124-7B,25,-0.1392307692307692,0.5068451628895698
natural,pythia,pythia-12b,25,-0.6261538461538462,0.0008130781335928694
natural,pythia,pythia-160m,25,-0.10999999999999999,0.6006715408190597
natural,pythia,pythia-1b,25,-0.3769230769230769,0.06326742530511406
natural,pythia,pythia-2.8b,25,-0.25461538461538463,0.2193465644118855
natural,pythia,pythia-410m,25,0.09153846153846153,0.6634348089960705
natural,pythia,pythia-6.9b,25,-0.39307692307692305,0.051916258415423557
