condition,family,model,n_test,held_out_rho,held_out_p
uniform,gpt2,gpt2,25,0.2453846153846154,0.2370897001583286
uniform,gpt2,gpt2-large,25,0.19692307692307692,0.3454303211962486
uniform,gpt2,gpt2-medium,25,-0.3984615384615384,0.04850868363892241
uniform,gpt2,gpt2-xl,25,0.1346153846153846,0.5211665034168237
uniform,olmo,OLMo-2-0425-1B,25,-0.5076923076923078,0.009576903151514679
uniform,olmo,OLMo-2-1124-13B,25,-0.5623076923076923,0.003436672612528631
uniform,olmo,OLMo-2-1124-7B,25,-0.24615384615384614,0.23557603103467745
uniform,pythia,pythia-12b,25,-0.27076923076923076,0.19048363370639726
uniform,pythia,pythia-160m,25,0.11076923076923079,0.5981115617639337
uniform,pythia,pythia-1b,25,0.08615384615384615,0.6821887087728208
uniform,pythia,pythia-2.8b,25,0.27,0.1917956774980007
uniform,pythia,pythia-410m,25,0.3946153846153846,0.05092417068462523
uniform,pythia,pythia-6.9b,25,-0.20230769230769227,0.3321314401444692
