suite,scale,n_access_incorrect,access_incorrect_entropy,n_control_correct,control_correct_entropy,confidence_gap
pythia,160M,38,4.3233,4,3.1541,1.1691
pythia,410M,36,3.9213,4,3.2012,0.72
pythia,2.8B,32,3.6732,5,3.2593,0.4139
pythia,6.9B,30,3.6182,5,3.2919,0.3263
pythia,12B,23,3.5972,5,3.0655,0.5316
gpt2,124M,36,4.701,2,3.9656,0.7354
gpt2,355M,31,4.5171,4,3.999,0.518
gpt2,774M,38,3.9531,4,3.6654,0.2877
gpt2,1.5B,30,3.5251,5,3.431,0.0941
olmo,1B,30,4.3774,4,3.569,0.8084
olmo,7B,27,3.7022,5,4.2741,-0.5719
olmo,13B,21,3.8735,3,5.1069,-1.2333
