family,scale,model,gap_pp,deletion_min_pp,deletion_max_pp,n_deletions
gpt2,1.5B,gpt2-xl,55.0,51.111111,65.0,15
gpt2,124M,gpt2,15.0,7.777778,22.5,15
gpt2,355M,gpt2-medium,25.0,18.888889,32.5,15
gpt2,774M,gpt2-large,20.0,12.5,37.5,15
olmo,13B,OLMo-2-1124-13B,15.0,0.0,25.0,15
olmo,1B,OLMo-2-0425-1B,20.0,12.5,37.5,15
olmo,7B,OLMo-2-1124-7B,35.0,25.0,50.0,15
pythia,12B,pythia-12b,-5.0,-17.5,7.5,15
pythia,160M,pythia-160m,15.0,12.222222,25.0,15
pythia,1B,pythia-1b,20.0,12.222222,30.0,15
pythia,2.8B,pythia-2.8b,30.0,22.5,47.5,15
pythia,410M,pythia-410m,20.0,13.333333,27.5,15
pythia,6.9B,pythia-6.9b,15.0,2.5,27.5,15
