suite,concept,scale,declarative_score,declarative_pct
pythia,ARIA,160M,0.0,0.0
pythia,ARIA,410M,0.0,0.0
pythia,ARIA,1B,0.0,0.0
pythia,ARIA,2.8B,0.0,0.0
pythia,ARIA,6.9B,0.0,0.0
pythia,ARIA,12B,0.0,0.0
pythia,WCAG,160M,0.0,0.0
pythia,WCAG,410M,0.0,0.0
pythia,WCAG,1B,0.0,0.0
pythia,WCAG,2.8B,0.0,0.0
pythia,WCAG,6.9B,2.0,100.0
pythia,WCAG,12B,2.0,100.0
pythia,accessibility tree,160M,1.0,50.0
pythia,accessibility tree,410M,1.0,50.0
pythia,accessibility tree,1B,1.0,50.0
pythia,accessibility tree,2.8B,1.0,50.0
pythia,accessibility tree,6.9B,1.0,50.0
pythia,accessibility tree,12B,1.0,50.0
pythia,accessible authentication,160M,1.0,50.0
pythia,accessible authentication,410M,0.0,0.0
pythia,accessible authentication,1B,1.0,50.0
pythia,accessible authentication,2.8B,0.0,0.0
pythia,accessible authentication,6.9B,1.0,50.0
pythia,accessible authentication,12B,2.0,100.0
pythia,accessible description,160M,1.0,50.0
pythia,accessible description,410M,1.0,50.0
pythia,accessible description,1B,1.0,50.0
pythia,accessible description,2.8B,0.0,0.0
pythia,accessible description,6.9B,1.0,50.0
pythia,accessible description,12B,0.0,0.0
pythia,accessible name,160M,0.0,0.0
pythia,accessible name,410M,0.0,0.0
pythia,accessible name,1B,2.0,100.0
pythia,accessible name,2.8B,0.0,0.0
pythia,accessible name,6.9B,0.0,0.0
pythia,accessible name,12B,0.0,0.0
pythia,alt text,160M,0.0,0.0
pythia,alt text,410M,1.0,50.0
pythia,alt text,1B,1.0,50.0
pythia,alt text,2.8B,2.0,100.0
pythia,alt text,6.9B,2.0,100.0
pythia,alt text,12B,2.0,100.0
pythia,audio description,160M,0.0,0.0
pythia,audio description,410M,0.0,0.0
pythia,audio description,1B,0.0,0.0
pythia,audio description,2.8B,1.0,50.0
pythia,audio description,6.9B,0.0,0.0
pythia,audio description,12B,2.0,100.0
pythia,character key,160M,0.0,0.0
pythia,character key,410M,0.0,0.0
pythia,character key,1B,0.0,0.0
pythia,character key,2.8B,0.0,0.0
pythia,character key,6.9B,0.0,0.0
pythia,character key,12B,0.0,0.0
pythia,closed captions,160M,0.0,0.0
pythia,closed captions,410M,0.0,0.0
pythia,closed captions,1B,0.0,0.0
pythia,closed captions,2.8B,2.0,100.0
pythia,closed captions,6.9B,0.0,0.0
pythia,closed captions,12B,0.0,0.0
pythia,cognitive disabilities,160M,2.0,100.0
pythia,cognitive disabilities,410M,2.0,100.0
pythia,cognitive disabilities,1B,2.0,100.0
pythia,cognitive disabilities,2.8B,2.0,100.0
pythia,cognitive disabilities,6.9B,1.0,50.0
pythia,cognitive disabilities,12B,2.0,100.0
pythia,color contrast,160M,1.0,50.0
pythia,color contrast,410M,2.0,100.0
pythia,color contrast,1B,1.0,50.0
pythia,color contrast,2.8B,1.0,50.0
pythia,color contrast,6.9B,2.0,100.0
pythia,color contrast,12B,2.0,100.0
pythia,combo box,160M,1.0,50.0
pythia,combo box,410M,1.0,50.0
pythia,combo box,1B,2.0,100.0
pythia,combo box,2.8B,1.0,50.0
pythia,combo box,6.9B,2.0,100.0
pythia,combo box,12B,1.0,50.0
pythia,consistent help,160M,0.0,0.0
pythia,consistent help,410M,0.0,0.0
pythia,consistent help,1B,0.0,0.0
pythia,consistent help,2.8B,0.0,0.0
pythia,consistent help,6.9B,1.0,50.0
pythia,consistent help,12B,0.0,0.0
pythia,decorative image,160M,0.0,0.0
pythia,decorative image,410M,2.0,100.0
pythia,decorative image,1B,0.0,0.0
pythia,decorative image,2.8B,2.0,100.0
pythia,decorative image,6.9B,2.0,100.0
pythia,decorative image,12B,2.0,100.0
pythia,drag movement,160M,1.0,50.0
pythia,drag movement,410M,1.0,50.0
pythia,drag movement,1B,1.0,50.0
pythia,drag movement,2.8B,1.0,50.0
pythia,drag movement,6.9B,1.0,50.0
pythia,drag movement,12B,1.0,50.0
pythia,error identification,160M,0.0,0.0
pythia,error identification,410M,0.0,0.0
pythia,error identification,1B,0.0,0.0
pythia,error identification,2.8B,0.0,0.0
pythia,error identification,6.9B,0.0,0.0
pythia,error identification,12B,0.0,0.0
pythia,focus appearance,160M,0.0,0.0
pythia,focus appearance,410M,0.0,0.0
pythia,focus appearance,1B,0.0,0.0
pythia,focus appearance,2.8B,0.0,0.0
pythia,focus appearance,6.9B,0.0,0.0
pythia,focus appearance,12B,1.0,50.0
pythia,focus indicator,160M,1.0,50.0
pythia,focus indicator,410M,0.0,0.0
pythia,focus indicator,1B,0.0,0.0
pythia,focus indicator,2.8B,0.0,0.0
pythia,focus indicator,6.9B,0.0,0.0
pythia,focus indicator,12B,0.0,0.0
pythia,focus management,160M,1.0,50.0
pythia,focus management,410M,1.0,50.0
pythia,focus management,1B,1.0,50.0
pythia,focus management,2.8B,0.0,0.0
pythia,focus management,6.9B,1.0,50.0
pythia,focus management,12B,2.0,100.0
pythia,form field,160M,2.0,100.0
pythia,form field,410M,2.0,100.0
pythia,form field,1B,2.0,100.0
pythia,form field,2.8B,2.0,100.0
pythia,form field,6.9B,2.0,100.0
pythia,form field,12B,2.0,100.0
pythia,informative image,160M,0.0,0.0
pythia,informative image,410M,0.0,0.0
pythia,informative image,1B,0.0,0.0
pythia,informative image,2.8B,0.0,0.0
pythia,informative image,6.9B,0.0,0.0
pythia,informative image,12B,0.0,0.0
pythia,input purpose,160M,0.0,0.0
pythia,input purpose,410M,0.0,0.0
pythia,input purpose,1B,0.0,0.0
pythia,input purpose,2.8B,0.0,0.0
pythia,input purpose,6.9B,0.0,0.0
pythia,input purpose,12B,1.0,50.0
pythia,keyboard interaction,160M,1.0,50.0
pythia,keyboard interaction,410M,1.0,50.0
pythia,keyboard interaction,1B,1.0,50.0
pythia,keyboard interaction,2.8B,1.0,50.0
pythia,keyboard interaction,6.9B,1.0,50.0
pythia,keyboard interaction,12B,1.0,50.0
pythia,keyboard navigation,160M,1.0,50.0
pythia,keyboard navigation,410M,2.0,100.0
pythia,keyboard navigation,1B,2.0,100.0
pythia,keyboard navigation,2.8B,2.0,100.0
pythia,keyboard navigation,6.9B,2.0,100.0
pythia,keyboard navigation,12B,0.0,0.0
pythia,landmark region,160M,1.0,50.0
pythia,landmark region,410M,2.0,100.0
pythia,landmark region,1B,1.0,50.0
pythia,landmark region,2.8B,1.0,50.0
pythia,landmark region,6.9B,0.0,0.0
pythia,landmark region,12B,1.0,50.0
pythia,live region,160M,1.0,50.0
