layer,token,token_id,rank,prob,logit
0, a,257,12,0.007169,8.6893
0, an,281,19,0.004695,8.2661
0, the,262,50,0.002021,7.4234
0, one,530,74,0.001525,7.1414
0, used,973,363,0.000281,5.4499
0, displayed,9066,390,0.000261,5.3747
0, something,1223,384,0.000264,5.3896
0, shown,3402,65,0.001718,7.2605
0, not,407,2,0.055405,10.7343
0, defined,5447,73,0.001556,7.1619
1, a,257,8,0.005102,7.4166
1, an,281,17,0.003475,7.0326
1, the,262,41,0.001578,6.2429
1, one,530,74,0.001202,5.9709
1, used,973,378,0.000307,4.607
1, displayed,9066,503,0.000244,4.3764
1, something,1223,434,0.000269,4.4746
1, shown,3402,88,0.000975,5.7616
1, not,407,1,0.02833,9.1309
1, defined,5447,49,0.0015,6.1924
2, a,257,9,0.003988,7.0069
2, an,281,16,0.002759,6.6384
2, the,262,55,0.001231,5.8312
2, one,530,88,0.000895,5.5127
2, used,973,376,0.000307,4.4412
2, displayed,9066,354,0.00032,4.4857
2, something,1223,523,0.000242,4.2028
2, shown,3402,60,0.001176,5.7855
2, not,407,1,0.021886,8.7095
2, defined,5447,34,0.001918,6.2749
3, a,257,14,0.003242,6.738
3, an,281,21,0.002324,6.4051
3, the,262,79,0.000924,5.4826
3, one,530,93,0.000783,5.3169
3, used,973,443,0.000272,4.2614
3, displayed,9066,367,0.000306,4.3784
3, something,1223,431,0.000279,4.2839
3, shown,3402,59,0.001035,5.5965
3, not,407,1,0.017273,8.411
3, defined,5447,31,0.001812,6.1562
4, a,257,8,0.004007,7.0933
4, an,281,19,0.002922,6.7774
4, the,262,90,0.000927,5.629
4, one,530,117,0.000802,5.485
4, used,973,451,0.000288,4.4618
4, displayed,9066,416,0.000305,4.5188
4, something,1223,225,0.000489,4.9899
4, shown,3402,58,0.001269,5.9438
4, not,407,1,0.018585,8.6276
4, defined,5447,24,0.002461,6.6059
5, a,257,20,0.003257,7.0618
5, an,281,32,0.002258,6.6956
5, the,262,149,0.000697,5.5194
5, one,530,150,0.000696,5.5191
5, used,973,376,0.000332,4.7774
5, displayed,9066,337,0.000357,4.8524
5, something,1223,279,0.000425,5.025
5, shown,3402,52,0.001386,6.2075
5, not,407,1,0.021439,8.9463
5, defined,5447,13,0.003773,7.209
6, a,257,20,0.003728,7.3242
6, an,281,36,0.002362,6.8675
6, the,262,180,0.000633,5.5508
6, one,530,150,0.000737,5.7029
6, used,973,315,0.00039,5.0672
6, displayed,9066,413,0.000308,4.8298
6, something,1223,256,0.00047,5.2534
6, shown,3402,42,0.002156,6.7766
6, not,407,1,0.026128,9.2712
6, defined,5447,13,0.004352,7.4789
7, a,257,8,0.006532,8.1713
7, an,281,20,0.004113,7.7087
7, the,262,148,0.00075,6.0066
7, one,530,77,0.001398,6.6296
7, used,973,340,0.000388,5.3467
7, displayed,9066,341,0.000386,5.3431
7, something,1223,165,0.000703,5.9424
7, shown,3402,26,0.003692,7.6006
7, not,407,1,0.033566,9.808
7, defined,5447,13,0.005585,8.0146
8, a,257,8,0.006683,8.2947
8, an,281,20,0.004369,7.8696
8, the,262,143,0.000822,6.199
8, one,530,60,0.001578,6.8514
8, used,973,165,0.000727,6.0761
8, displayed,9066,367,0.000363,5.3808
8, something,1223,141,0.000823,6.2007
8, shown,3402,18,0.005538,8.1067
8, not,407,1,0.030678,9.8187
8, defined,5447,9,0.006382,8.2485
9, a,257,11,0.007095,8.3286
9, an,281,19,0.004312,7.8305
9, the,262,166,0.000676,5.977
9, one,530,43,0.002132,7.1261
9, used,973,181,0.000647,5.9343
9, displayed,9066,616,0.00022,4.8542
9, something,1223,144,0.000754,6.0874
9, shown,3402,22,0.004046,7.7668
9, not,407,1,0.032521,9.851
9, defined,5447,7,0.008437,8.5018
10, a,257,23,0.004057,7.8365
10, an,281,36,0.002634,7.4045
10, the,262,278,0.000436,5.6054
10, one,530,72,0.001255,6.663
10, used,973,129,0.000784,6.193
10, displayed,9066,1020,0.000127,4.3736
10, something,1223,128,0.000795,6.2072
10, shown,3402,32,0.002809,7.469
10, not,407,2,0.022805,9.563
10, defined,5447,14,0.00717,8.406
11, a,257,28,0.00277,7.2526
11, an,281,37,0.002055,6.9539
11, the,262,414,0.000296,5.0159
11, one,530,73,0.001168,6.3891
11, used,973,91,0.000944,6.1758
11, displayed,9066,576,0.000228,4.7538
11, something,1223,186,0.000618,5.7522
11, shown,3402,22,0.003893,7.5928
11, not,407,2,0.016952,9.064
11, defined,5447,3,0.013611,8.8445
12, a,257,23,0.003367,7.6617
12, an,281,42,0.00223,7.2496
12, the,262,289,0.000417,5.574
12, one,530,57,0.001495,6.85
12, used,973,71,0.001301,6.7109
12, displayed,9066,515,0.000258,5.0932
12, something,1223,151,0.000696,6.0854
12, shown,3402,19,0.003806,7.7845
12, not,407,2,0.028146,9.7853
12, defined,5447,3,0.015532,9.1908
13, a,257,42,0.001953,6.9702
13, an,281,51,0.001635,6.7926
13, the,262,671,0.000209,4.7332
13, one,530,136,0.000779,6.0511
13, used,973,44,0.001848,6.915
13, displayed,9066,245,0.000472,5.5503
13, something,1223,399,0.000321,5.1632
13, shown,3402,16,0.004748,7.8587
13, not,407,2,0.018318,9.2088
13, defined,5447,3,0.015312,9.0296
14, a,257,26,0.002568,7.2839
14, an,281,39,0.002068,7.0675
14, the,262,423,0.000292,5.1089
14, one,530,125,0.000759,6.0654
14, used,973,17,0.004175,7.7701
14, displayed,9066,121,0.000771,6.0808
14, something,1223,391,0.000314,5.1812
14, shown,3402,9,0.008927,8.53
14, not,407,2,0.01839,9.2528
14, defined,5447,4,0.015359,9.0726
15, a,257,16,0.004562,8.0146
15, an,281,19,0.003884,7.8536
15, the,262,233,0.000455,5.7096
15, one,530,56,0.001433,6.8568
15, used,973,32,0.002637,7.4664
15, displayed,9066,572,0.000215,4.9617
15, something,1223,363,0.000302,5.3001
15, shown,3402,31,0.002638,7.4671
15, not,407,6,0.0194,9.4622
15, defined,5447,2,0.027705,9.8185
16, a,257,13,0.006602,8.6673
16, an,281,17,0.005424,8.4708
16, the,262,202,0.000514,6.1154
16, one,530,39,0.002044,7.495
16, used,973,22,0.004524,8.2894
16, displayed,9066,178,0.000587,6.2473
16, something,1223,257,0.000415,5.8994
16, shown,3402,21,0.004787,8.3459
16, not,407,7,0.01837,9.6907
16, defined,5447,1,0.052982,10.7499
17, a,257,13,0.007883,8.9174
17, an,281,16,0.006201,8.6774
17, the,262,150,0.000605,6.3501
17, one,530,47,0.00205,7.5704
17, used,973,37,0.002459,7.7524
17, displayed,9066,146,0.000621,6.3765
17, something,1223,178,0.000524,6.2073
17, shown,3402,14,0.007572,8.8772
17, not,407,4,0.026958,10.147
17, defined,5447,1,0.095977,11.4168
18, a,257,14,0.008552,9.262
18, an,281,15,0.007453,9.1244
18, the,262,111,0.000721,6.7882
18, one,530,48,0.001691,7.6413
18, used,973,21,0.004082,8.5223
18, displayed,9066,66,0.001133,7.2403
18, something,1223,174,0.000463,6.345
18, shown,3402,17,0.00659,9.0013
18, not,407,5,0.022484,10.2286
18, defined,5447,1,0.138559,12.0471
19, a,257,13,0.008324,9.5293
19, an,281,15,0.006915,9.3439
19, the,262,116,0.000602,6.9031
19, one,530,41,0.002066,8.1359
19, used,973,16,0.006243,9.2416
19, displayed,9066,73,0.001011,7.421
19, something,1223,111,0.000637,6.9595
19, shown,3402,25,0.003844,8.7568
19, not,407,10,0.015016,10.1193
19, defined,5447,1,0.14372,12.3781
20, a,257,6,0.01831,10.9865
20, an,281,12,0.012148,10.5762
20, the,262,64,0.000965,8.0437
20, one,530,25,0.003297,9.2719
20, used,973,16,0.00685,10.0032
20, displayed,9066,78,0.000761,7.8054
20, something,1223,61,0.001002,8.0807
20, shown,3402,33,0.002301,8.9125
20, not,407,11,0.012416,10.598
20, defined,5447,1,0.257082,13.6284
21, a,257,5,0.02386,11.7338
21, an,281,6,0.018435,11.4759
21, the,262,57,0.001001,8.563
21, one,530,27,0.00267,9.5438
21, used,973,20,0.00436,10.0342
21, displayed,9066,56,0.001021,8.5824
21, something,1223,43,0.001581,9.0196
21, shown,3402,38,0.001824,9.1626
21, not,407,16,0.006781,10.4757
21, defined,5447,1,0.396808,14.5451
22, a,257,3,0.070283,13.3353
22, an,281,4,0.052782,13.0489
22, the,262,27,0.002743,10.0918
22, one,530,16,0.006569,10.9651
22, used,973,21,0.004616,10.6123
22, displayed,9066,52,0.001173,9.2426
22, something,1223,28,0.002641,10.0539
22, shown,3402,34,0.002349,9.9367
22, not,407,11,0.008372,11.2077
22, defined,5447,1,0.367139,14.9885
23, a,257,2,0.080582,14.3739
23, an,281,3,0.054421,13.9814
23, the,262,28,0.002853,11.0329
23, one,530,9,0.006691,11.8855
23, used,973,15,0.005254,11.6436
23, displayed,9066,37,0.001545,10.4197
23, something,1223,21,0.00374,11.3038
23, shown,3402,33,0.001746,10.5417
23, not,407,11,0.005847,11.7506
23, defined,5447,1,0.537607,16.2718
24, a,257,2,0.126397,15.1905
24, an,281,3,0.071339,14.6185
24, the,262,17,0.004013,11.7405
24, one,530,8,0.007951,12.4243
24, used,973,6,0.011168,12.7641
24, displayed,9066,23,0.003137,11.4942
24, something,1223,14,0.004262,11.8008
24, shown,3402,28,0.00261,11.3104
24, not,407,13,0.004288,11.8068
24, defined,5447,1,0.545285,16.6524
25, a,257,2,0.199955,16.0568
25, an,281,3,0.086222,15.2157
25, the,262,12,0.005193,12.4061
25, one,530,7,0.010712,13.1301
