layer,token,token_id,rank,prob,logit
0, you,345,611,0.000195,4.4766
0, to,284,139,0.000673,5.7163
0, us,514,119,0.000786,5.8708
0, developers,6505,1260,0.000108,3.8849
0, make,787,84,0.001024,6.1352
0, your,534,2231,6.5e-05,3.3707
0, with,351,329,0.000333,5.0119
0, users,2985,4388,3.2e-05,2.6729
0, the,262,1191,0.000112,3.9232
0, create,2251,416,0.000272,4.8092
1, you,345,430,0.000298,4.731
1, to,284,31,0.001675,6.4566
1, us,514,172,0.000549,5.3403
1, developers,6505,309,0.000373,4.9536
1, make,787,421,0.000304,4.7498
1, your,534,956,0.000156,4.0817
1, with,351,144,0.000631,5.481
1, users,2985,182,0.000539,5.323
1, the,262,485,0.000274,4.6454
1, create,2251,603,0.000229,4.467
2, you,345,297,0.000406,5.0112
2, to,284,13,0.002366,6.7732
2, us,514,52,0.001099,6.0068
2, developers,6505,92,0.000841,5.7387
2, make,787,186,0.000551,5.3165
2, your,534,1134,0.000145,3.9819
2, with,351,74,0.000945,5.855
2, users,2985,73,0.000948,5.859
2, the,262,334,0.000375,4.9319
2, create,2251,644,0.000226,4.4242
3, you,345,270,0.000452,5.2226
3, to,284,6,0.003137,7.1605
3, us,514,19,0.002017,6.7191
3, developers,6505,75,0.000996,6.0131
3, make,787,305,0.000422,5.1555
3, your,534,982,0.00017,4.2429
3, with,351,39,0.001368,6.3306
3, users,2985,42,0.00132,6.295
3, the,262,301,0.000424,5.1593
3, create,2251,746,0.000211,4.4616
4, you,345,177,0.000589,5.5587
4, to,284,3,0.004272,7.54
4, us,514,7,0.003174,7.243
4, developers,6505,14,0.002212,6.8819
4, make,787,240,0.00049,5.3745
4, your,534,1301,0.000138,4.1045
4, with,351,34,0.001644,6.5851
4, users,2985,49,0.001303,6.3525
4, the,262,396,0.000359,5.0638
4, create,2251,724,0.000225,4.5985
5, you,345,186,0.000581,5.7024
5, to,284,6,0.004094,7.6548
5, us,514,4,0.004283,7.6999
5, developers,6505,48,0.001407,6.5867
5, make,787,391,0.000366,5.2392
5, your,534,1613,0.000116,4.0939
5, with,351,31,0.001704,6.7781
5, users,2985,29,0.001715,6.7847
5, the,262,452,0.000329,5.1331
5, create,2251,670,0.000242,4.8248
6, you,345,79,0.000991,6.286
6, to,284,5,0.006434,8.1564
6, us,514,3,0.006922,8.2295
6, developers,6505,60,0.001207,6.4833
6, make,787,144,0.000695,5.9313
6, your,534,1187,0.000148,4.3817
6, with,351,26,0.001851,6.9107
6, users,2985,12,0.002709,7.2913
6, the,262,352,0.000398,5.3723
6, create,2251,365,0.000392,5.3592
7, you,345,68,0.001073,6.1643
7, to,284,4,0.006834,8.0158
7, us,514,2,0.010369,8.4328
7, developers,6505,55,0.001333,6.3813
7, make,787,179,0.000587,5.5606
7, your,534,1567,0.000115,3.935
7, with,351,24,0.001725,6.6391
7, users,2985,28,0.001686,6.6164
7, the,262,380,0.000356,5.0611
7, create,2251,245,0.000485,5.3704
8, you,345,52,0.001216,6.3215
8, to,284,7,0.005124,7.7599
