layer,token,token_id,rank,prob,logit
0, a,257,12,0.007457,8.2272
0, an,281,56,0.001744,6.7743
0, used,973,207,0.000486,5.4955
0, the,262,13,0.00566,7.9514
0, one,530,193,0.000525,5.5728
0, not,407,1,0.074794,10.5327
0, like,588,1473,7.8e-05,3.6711
0, just,655,180,0.000565,5.6466
0, something,1223,1176,9.9e-05,3.9006
0, software,3788,5095,2.1e-05,2.3602
1, a,257,16,0.007543,9.1681
1, an,281,56,0.001851,7.7634
1, used,973,170,0.000556,6.5601
1, the,262,20,0.007055,9.1012
1, one,530,148,0.000616,6.6637
1, not,407,1,0.14151,12.0999
1, like,588,1354,5.8e-05,4.3077
1, just,655,102,0.000875,7.0139
1, something,1223,1010,8.3e-05,4.6641
1, software,3788,6489,9e-06,2.4273
2, a,257,15,0.00772,9.3367
2, an,281,52,0.001897,7.9334
2, used,973,162,0.000629,6.8296
2, the,262,22,0.005434,8.9856
2, one,530,179,0.000564,6.7199
2, not,407,1,0.177596,12.4725
2, like,588,1090,7.8e-05,4.7363
2, just,655,170,0.000599,6.781
2, something,1223,780,0.000115,5.1293
2, software,3788,4614,1.4e-05,2.9914
3, a,257,13,0.009018,10.0626
3, an,281,42,0.00249,8.7758
3, used,973,175,0.000639,7.4149
3, the,262,24,0.005248,9.5211
3, one,530,163,0.000693,7.4964
3, not,407,1,0.205522,13.1889
3, like,588,1447,4.6e-05,4.7932
3, just,655,141,0.000781,7.6159
3, something,1223,655,0.000131,5.8311
3, software,3788,4751,1e-05,3.2774
4, a,257,9,0.012637,10.7993
4, an,281,31,0.003521,9.5214
4, used,973,164,0.000638,7.8136
4, the,262,19,0.006013,10.0565
4, one,530,152,0.000722,7.9363
4, not,407,1,0.21711,13.643
4, like,588,910,7.5e-05,5.6745
4, just,655,130,0.000896,8.1531
4, something,1223,551,0.000143,6.3202
4, software,3788,7902,4e-06,2.7373
5, a,257,22,0.005528,10.5874
5, an,281,46,0.002058,9.5992
5, used,973,69,0.001396,9.2112
5, the,262,47,0.001999,9.5702
5, one,530,221,0.000386,7.9256
5, not,407,1,0.214563,14.2462
5, like,588,787,7.4e-05,6.278
5, just,655,101,0.000908,8.7807
5, something,1223,1304,3.9e-05,5.6321
5, software,3788,7931,3e-06,2.9657
6, a,257,21,0.004178,10.4836
6, an,281,51,0.001647,9.5527
6, used,973,39,0.002113,9.8022
6, the,262,52,0.001624,9.5386
6, one,530,270,0.000259,7.7024
6, not,407,1,0.232974,14.5048
6, like,588,536,0.000105,6.8007
6, just,655,132,0.000658,8.6355
6, something,1223,1471,2.6e-05,5.4206
6, software,3788,12006,1e-06,2.0639
7, a,257,34,0.002908,10.1326
7, an,281,79,0.001431,9.4234
7, used,973,22,0.004437,10.5552
7, the,262,139,0.000717,8.7327
7, one,530,390,0.000177,7.3332
7, not,407,3,0.07534,13.3873
7, like,588,762,6.5e-05,6.3325
7, just,655,248,0.000324,7.9393
7, something,1223,1257,3.3e-05,5.6566
7, software,3788,5545,4e-06,3.4388
8, a,257,48,0.002012,10.535
8, an,281,90,0.001019,9.855
8, used,973,20,0.006273,11.6721
8, the,262,163,0.000439,9.0133
8, one,530,400,0.00013,7.7943
8, not,407,3,0.075893,14.1652
8, like,588,610,6.7e-05,7.1298
8, just,655,267,0.000233,8.3788
8, something,1223,1129,2.8e-05,6.256
8, software,3788,1203,2.5e-05,6.1533
9, a,257,49,0.001523,11.3139
9, an,281,115,0.000456,10.1075
9, used,973,18,0.007449,12.9011
9, the,262,214,0.000163,9.0798
9, one,530,162,0.000229,9.4191
9, not,407,4,0.089296,15.385
9, like,588,422,6.3e-05,8.1317
9, just,655,72,0.000795,10.6636
9, something,1223,905,1.9e-05,6.9441
9, software,3788,741,2.7e-05,7.2764
10, a,257,32,0.002436,12.3547
10, an,281,71,0.000636,11.0112
10, used,973,19,0.006101,13.2728
10, the,262,191,0.000179,9.7453
10, one,530,214,0.000158,9.6206
10, not,407,1,0.210104,16.812
10, like,588,393,6.1e-05,8.669
10, just,655,91,0.000547,10.8603
10, something,1223,553,3.3e-05,8.0514
10, software,3788,580,3e-05,7.9649
11, a,257,20,0.003326,13.8171
11, an,281,43,0.00079,12.3792
11, used,973,18,0.00417,14.0431
11, the,262,119,0.000171,10.8493
11, one,530,74,0.000356,11.5821
11, not,407,1,0.314236,18.3654
11, like,588,306,4.1e-05,9.4301
11, just,655,45,0.000696,12.253
11, something,1223,484,2e-05,8.6908
11, software,3788,450,2.2e-05,8.8057
12, a,257,14,0.005406,15.428
12, an,281,37,0.001091,13.828
12, used,973,11,0.009547,15.9967
12, the,262,104,0.000158,11.895
12, one,530,86,0.000221,12.2302
12, not,407,3,0.194479,19.0108
12, like,588,330,2e-05,9.8165
12, just,655,38,0.000895,13.6295
12, something,1223,241,3.4e-05,10.3536
12, software,3788,243,3.4e-05,10.3459
13, a,257,9,0.026851,17.2143
13, an,281,20,0.004216,15.3629
13, used,973,12,0.012253,16.4298
13, the,262,63,0.000384,12.9656
13, one,530,47,0.000712,13.5847
13, not,407,2,0.183013,19.1336
13, like,588,289,2.8e-05,10.3609
13, just,655,32,0.001698,14.4535
13, something,1223,122,0.000129,11.8727
13, software,3788,148,9.3e-05,11.5441
14, a,257,5,0.089963,19.0757
14, an,281,15,0.011299,17.001
14, used,973,9,0.024212,17.7632
14, the,262,39,0.001177,14.739
14, one,530,40,0.001157,14.7222
14, not,407,1,0.17142,19.7204
14, like,588,198,5.6e-05,11.6894
14, just,655,34,0.001707,15.1109
14, something,1223,48,0.000887,14.4563
14, software,3788,68,0.000386,13.6242
15, a,257,4,0.11851,20.5003
15, an,281,8,0.021872,18.8104
15, used,973,11,0.01675,18.5437
15, the,262,45,0.000685,15.3469
15, one,530,28,0.001593,16.1909
15, not,407,5,0.113438,20.4565
15, like,588,181,4.3e-05,12.5788
15, just,655,31,0.001422,16.0773
15, something,1223,34,0.001249,15.9474
15, software,3788,78,0.000241,14.3042
16, a,257,1,0.369623,23.2722
16, an,281,4,0.082373,21.771
16, used,973,12,0.010989,19.7566
16, the,262,46,0.00037,16.3661
16, one,530,20,0.002473,18.265
16, not,407,6,0.032163,20.8305
16, like,588,127,5e-05,14.3544
16, just,655,27,0.001181,17.5264
16, something,1223,23,0.002255,18.173
16, software,3788,64,0.000201,15.7551
17, a,257,1,0.797041,25.3218
17, an,281,2,0.132165,23.525
17, used,973,10,0.003234,19.8146
17, the,262,17,0.000784,18.3974
17, one,530,13,0.002798,19.6697
17, not,407,4,0.008566,20.7887
17, like,588,85,2.2e-05,14.8212
17, just,655,27,0.000338,17.5571
17, something,1223,11,0.003023,19.7471
17, software,3788,32,0.000202,17.0428
18, a,257,1,0.799433,25.8144
18, an,281,2,0.150454,24.1441
18, used,973,7,0.003031,20.2393
18, the,262,17,0.000588,18.5995
18, one,530,12,0.002119,19.8816
18, not,407,5,0.003899,20.4913
18, like,588,60,2.9e-05,15.5904
18, just,655,23,0.000249,17.7419
18, something,1223,9,0.002636,20.0999
18, software,3788,25,0.000242,17.7112
19, a,257,1,0.806844,25.1768
19, an,281,2,0.136145,23.3974
19, used,973,5,0.005232,20.1384
19, the,262,14,0.001428,18.8401
19, one,530,12,0.001995,19.1741
19, not,407,3,0.006975,20.4259
19, like,588,31,0.000213,16.9372
19, just,655,21,0.000513,17.816
19, something,1223,13,0.001691,19.009
19, software,3788,23,0.000463,17.714
20, a,257,1,0.857281,25.0224
20, an,281,2,0.11641,23.0258
20, used,973,3,0.003714,19.5808
20, the,262,6,0.001878,18.8991
20, one,530,4,0.00256,19.2086
20, not,407,7,0.001874,18.8967
20, like,588,28,0.000186,16.5893
20, just,655,16,0.000446,17.4608
20, something,1223,9,0.001071,18.3372
20, software,3788,15,0.000476,17.5271
21, a,257,1,0.799783,22.8614
21, an,281,2,0.154649,21.2182
21, used,973,4,0.005431,17.8692
21, the,262,5,0.00485,17.7561
21, one,530,3,0.006929,18.1128
21, not,407,6,0.002789,17.2028
21, like,588,20,0.000522,15.5273
21, just,655,13,0.000751,15.8904
21, something,1223,7,0.002019,16.8796
21, software,3788,15,0.00056,15.5972
22, a,257,1,0.612972,18.2802
22, an,281,2,0.143274,16.8267
22, used,973,6,0.015389,14.5955
22, the,262,3,0.029287,15.239
22, one,530,4,0.023369,15.0133
22, not,407,5,0.016161,14.6445
22, like,588,10,0.004211,13.2995
22, just,655,8,0.005738,13.6091
22, something,1223,7,0.006512,13.7355
22, software,3788,19,0.002654,12.8379
23, a,257,1,0.480808,16.9176
23, an,281,2,0.123451,15.5579
23, used,973,3,0.029095,14.1127
23, the,262,4,0.028816,14.103
23, one,530,5,0.020612,13.768
23, not,407,6,0.019806,13.7281
23, like,588,7,0.009829,13.0275
23, just,655,8,0.009495,12.9928
23, something,1223,9,0.009487,12.9921
23, software,3788,10,0.007221,12.7191
