layer,token,token_id,rank,prob,logit
0, to,284,479,0.000269,4.3196
0, not,407,1,0.015092,8.3482
0, for,329,406,0.000304,4.4437
0,",",11,1015,0.000149,3.7285
0, a,257,8,0.003763,6.9591
0, usually,3221,62,0.001169,5.79
0, two,734,970,0.000153,3.7587
0, the,262,65,0.001152,5.7751
0, simply,2391,112,0.00081,5.4227
0, often,1690,53,0.001242,5.8511
1, to,284,352,0.000302,4.03
1, not,407,1,0.009992,7.5299
1, for,329,324,0.000318,4.0827
1,",",11,708,0.000183,3.5277
1, a,257,5,0.00276,6.2431
1, usually,3221,78,0.000777,4.9754
1, two,734,837,0.000164,3.4223
1, the,262,67,0.000865,5.0825
1, simply,2391,170,0.000454,4.4393
1, often,1690,72,0.00082,5.0302
2, to,284,191,0.000421,4.2406
2, not,407,1,0.007589,7.1329
2, for,329,230,0.000377,4.13
2,",",11,411,0.000258,3.7513
2, a,257,5,0.002476,6.013
2, usually,3221,121,0.000567,4.5388
2, two,734,764,0.00017,3.3325
2, the,262,56,0.000796,4.8776
2, simply,2391,141,0.000488,4.389
2, often,1690,42,0.000925,5.0283
3, to,284,148,0.000532,4.5885
3, not,407,1,0.009152,7.4338
3, for,329,219,0.00042,4.353
3,",",11,493,0.000237,3.7787
3, a,257,4,0.002749,6.2311
3, usually,3221,69,0.000822,5.0239
3, two,734,1034,0.00014,3.2549
3, the,262,51,0.000937,5.1551
3, simply,2391,119,0.000598,4.7055
3, often,1690,28,0.001368,5.533
4, to,284,158,0.000537,4.6827
4, not,407,1,0.010262,7.6328
4, for,329,270,0.000383,4.3441
4,",",11,591,0.000218,3.7794
4, a,257,8,0.002507,6.2236
4, usually,3221,26,0.001594,5.7705
4, two,734,1157,0.000133,3.2881
4, the,262,89,0.000798,5.0791
4, simply,2391,210,0.000459,4.5248
4, often,1690,15,0.002199,6.0925
5, to,284,204,0.000485,4.6373
5, not,407,1,0.007521,7.3784
5, for,329,409,0.000284,4.1035
5,",",11,818,0.000176,3.6254
5, a,257,18,0.001899,6.0017
5, usually,3221,29,0.001642,5.8563
5, two,734,1904,8.8e-05,2.931
5, the,262,150,0.000626,4.8918
5, simply,2391,274,0.000389,4.4158
5, often,1690,8,0.002585,6.3105
6, to,284,280,0.000363,4.2678
6, not,407,2,0.005208,6.9319
6, for,329,466,0.000257,3.9239
6,",",11,1229,0.000128,3.2263
6, a,257,36,0.001307,5.5494
6, usually,3221,37,0.001289,5.5353
