layer,token,token_id,rank,prob,logit
0, in,287,213,0.000459,5.5375
0, with,351,2524,6.5e-05,3.5884
0, on,319,190,0.000502,5.6269
0, using,1262,5563,2.8e-05,2.7231
0, within,1626,4627,3.4e-05,2.9468
0, instructions,7729,3473,4.7e-05,3.2662
0, the,262,920,0.000161,4.4865
0, a,257,384,0.000305,5.1278
0, information,1321,991,0.000151,4.4228
0, words,2456,3223,5.1e-05,3.3464
1, in,287,92,0.00089,5.9085
1, with,351,739,0.000207,4.4522
1, on,319,33,0.001757,6.5887
1, using,1262,5182,3.6e-05,2.7099
1, within,1626,2472,7.9e-05,3.4815
1, instructions,7729,736,0.000208,4.4574
1, the,262,359,0.00035,4.9754
1, a,257,79,0.00099,6.0157
1, information,1321,198,0.000532,5.3939
1, words,2456,2637,7.5e-05,3.4311
2, in,287,50,0.001167,6.2062
2, with,351,588,0.000254,4.6808
2, on,319,12,0.002753,7.0642
2, using,1262,6324,2.9e-05,2.5221
2, within,1626,1868,0.000103,3.7788
2, instructions,7729,441,0.000312,4.8874
2, the,262,284,0.000416,5.1744
2, a,257,72,0.000969,6.0199
2, information,1321,188,0.000556,5.4646
2, words,2456,1547,0.000122,3.947
3, in,287,56,0.001216,6.2036
3, with,351,753,0.00021,4.4462
3, on,319,18,0.002314,6.8471
3, using,1262,6543,2.7e-05,2.3931
3, within,1626,1081,0.000158,4.1601
3, instructions,7729,526,0.000263,4.6722
3, the,262,301,0.000404,5.1023
3, a,257,100,0.000795,5.7787
3, information,1321,88,0.000868,5.8663
3, words,2456,2181,8.7e-05,3.5629
4, in,287,73,0.000967,5.9607
4, with,351,825,0.000189,4.3254
4, on,319,41,0.001532,6.4203
4, using,1262,4463,4.1e-05,2.8067
4, within,1626,588,0.000242,4.5766
4, instructions,7729,1584,0.000113,3.8162
4, the,262,353,0.000343,4.9243
4, a,257,156,0.000609,5.4981
4, information,1321,232,0.000474,5.2475
4, words,2456,3704,5e-05,2.9988
5, in,287,106,0.000815,5.8033
5, with,351,718,0.000209,4.4422
5, on,319,27,0.001831,6.6127
5, using,1262,3797,4.8e-05,2.9794
5, within,1626,385,0.000329,4.8956
5, instructions,7729,1029,0.000162,4.1853
5, the,262,435,0.000297,4.7952
5, a,257,175,0.000563,5.4334
5, information,1321,209,0.000501,5.3164
5, words,2456,2198,8.4e-05,3.526
6, in,287,59,0.001293,6.444
6, with,351,371,0.000363,5.1743
6, on,319,16,0.003056,7.3039
6, using,1262,1240,0.00014,4.2185
6, within,1626,336,0.000391,5.2472
6, instructions,7729,773,0.000206,4.6051
6, the,262,180,0.000614,5.6992
6, a,257,78,0.001048,6.2333
6, information,1321,101,0.00089,6.0699
6, words,2456,1421,0.000124,4.0977
7, in,287,87,0.001053,6.3699
7, with,351,543,0.000259,4.9655
7, on,319,18,0.003155,7.4671
7, using,1262,1976,8.6e-05,3.8619
7, within,1626,275,0.00044,5.4981
7, instructions,7729,186,0.000596,5.801
7, the,262,223,0.000509,5.6428
7, a,257,142,0.000754,6.0363
7, information,1321,49,0.001488,6.7159
7, words,2456,549,0.000257,4.9605
8, in,287,71,0.001218,6.5004
8, with,351,404,0.000341,5.2279
8, on,319,16,0.003744,7.6232
8, using,1262,1113,0.000154,4.4305
8, within,1626,667,0.000228,4.8233
8, instructions,7729,200,0.000558,5.7205
8, the,262,322,0.000399,5.3839
8, a,257,178,0.000594,5.7824
8, information,1321,145,0.000703,5.9507
8, words,2456,787,0.000201,4.6989
9, in,287,56,0.001543,6.6661
9, with,351,524,0.000287,4.9846
9, on,319,14,0.003006,7.3332
9, using,1262,1216,0.000141,4.2761
9, within,1626,784,0.000209,4.6688
9, instructions,7729,321,0.000401,5.3193
9, the,262,377,0.000364,5.2217
9, a,257,278,0.000439,5.4096
9, information,1321,97,0.000983,6.2153
9, words,2456,769,0.000213,4.686
10, in,287,69,0.001187,6.3521
10, with,351,507,0.000294,4.9554
10, on,319,29,0.001936,6.8415
10, using,1262,1257,0.000139,4.2045
10, within,1626,522,0.000288,4.9348
10, instructions,7729,398,0.000348,5.1241
10, the,262,276,0.000448,5.3778
10, a,257,224,0.000509,5.5054
10, information,1321,165,0.000633,5.7233
10, words,2456,792,0.000207,4.6057
11, in,287,31,0.00235,7.1137
11, with,351,323,0.00043,5.4154
11, on,319,16,0.003471,7.504
11, using,1262,997,0.000169,4.4799
11, within,1626,376,0.000386,5.3068
11, instructions,7729,149,0.000719,5.9301
11, the,262,200,0.000566,5.6908
11, a,257,105,0.000942,6.2
11, information,1321,76,0.001174,6.4198
11, words,2456,791,0.00021,4.6982
12, in,287,50,0.001551,6.7349
12, with,351,511,0.000303,5.1025
12, on,319,28,0.002476,7.2023
12, using,1262,1370,0.000126,4.2265
12, within,1626,378,0.000374,5.3123
12, instructions,7729,42,0.001833,6.9018
12, the,262,196,0.000606,5.795
12, a,257,109,0.000917,6.2086
12, information,1321,120,0.000882,6.1698
12, words,2456,341,0.000408,5.3986
13, in,287,36,0.002173,7.3265
13, with,351,229,0.000574,5.9954
13, on,319,15,0.004093,7.9597
13, using,1262,1291,0.000129,4.5032
13, within,1626,538,0.000296,5.3341
13, instructions,7729,62,0.001396,6.8844
13, the,262,185,0.000686,6.1736
13, a,257,83,0.001179,6.7154
13, information,1321,66,0.00137,6.8653
13, words,2456,265,0.000522,5.9013
14, in,287,42,0.00181,7.0929
14, with,351,231,0.000558,5.9153
14, on,319,16,0.00318,7.6562
14, using,1262,1241,0.000141,4.542
14, within,1626,540,0.000293,5.2733
14, instructions,7729,37,0.001944,7.1639
14, the,262,165,0.000724,6.1762
14, a,257,77,0.001216,6.6951
14, information,1321,108,0.000941,6.4391
14, words,2456,335,0.00043,5.6561
15, in,287,74,0.001291,6.7677
15, with,351,517,0.000291,5.278
15, on,319,21,0.002905,7.5786
15, using,1262,1407,0.000121,4.3969
15, within,1626,661,0.000242,5.0949
15, instructions,7729,63,0.001422,6.8641
15, the,262,183,0.00065,6.0818
15, a,257,124,0.000883,6.3871
15, information,1321,150,0.000794,6.282
15, words,2456,369,0.000386,5.561
16, in,287,101,0.000972,6.3162
16, with,351,734,0.000218,4.8197
16, on,319,36,0.001946,7.0106
16, using,1262,1573,0.000112,4.1579
16, within,1626,452,0.000324,5.219
16, instructions,7729,147,0.000745,6.0513
16, the,262,192,0.000629,5.882
16, a,257,179,0.000651,5.9161
16, information,1321,198,0.000617,5.8618
16, words,2456,293,0.000455,5.5577
17, in,287,120,0.000853,6.1744
17, with,351,674,0.000231,4.8697
17, on,319,47,0.001619,6.8153
17, using,1262,1437,0.00012,4.2163
17, within,1626,293,0.000449,5.5327
17, instructions,7729,199,0.000591,5.8078
17, the,262,188,0.00062,5.8553
17, a,257,169,0.000674,5.9393
17, information,1321,314,0.000419,5.4631
17, words,2456,282,0.000461,5.5592
18, in,287,206,0.000562,5.6798
18, with,351,631,0.00025,4.8694
18, on,319,76,0.001136,6.3834
18, using,1262,2614,6.6e-05,3.5322
18, within,1626,483,0.000306,5.0716
18, instructions,7729,389,0.000358,5.2283
18, the,262,203,0.000564,5.6833
18, a,257,171,0.000655,5.8328
18, information,1321,311,0.000423,5.3942
18, words,2456,130,0.000793,6.0243
19, in,287,240,0.000517,5.7138
19, with,351,658,0.000234,4.9213
19, on,319,79,0.001199,6.554
19, using,1262,1981,8.4e-05,3.8944
19, within,1626,234,0.000533,5.7434
19, instructions,7729,966,0.000165,4.57
