layer,token,token_id,rank,prob,logit
0, a,257,9,0.002633,6.3643
0, an,281,49,0.001097,5.4886
0, the,262,77,0.000838,5.2189
0, used,973,255,0.000391,4.4564
0, one,530,65,0.000955,5.3501
0, something,1223,105,0.000685,5.0184
0, displayed,9066,789,0.000173,3.6398
0, simply,2391,281,0.000355,4.3616
0, any,597,2500,7.4e-05,2.7945
0, designed,3562,186,0.000484,4.6696
1, a,257,8,0.001728,5.6393
1, an,281,50,0.000802,4.8715
1, the,262,105,0.000554,4.5028
1, used,973,340,0.000274,3.797
1, one,530,31,0.000921,5.0103
1, something,1223,110,0.000544,4.4838
1, displayed,9066,350,0.00027,3.7834
1, simply,2391,207,0.000364,4.0821
1, any,597,2892,6.7e-05,2.3835
1, designed,3562,128,0.000499,4.3966
2, a,257,10,0.001488,5.4333
2, an,281,48,0.000797,4.8088
2, the,262,123,0.000496,4.3351
2, used,973,254,0.000326,3.9162
2, one,530,43,0.000829,4.8477
2, something,1223,144,0.000456,4.2509
2, displayed,9066,397,0.00025,3.6506
2, simply,2391,172,0.000411,4.1463
2, any,597,2662,7e-05,2.3812
2, designed,3562,90,0.000603,4.5299
3, a,257,8,0.001834,5.6605
3, an,281,47,0.00089,4.9373
3, the,262,92,0.000619,4.5746
3, used,973,252,0.000341,3.9777
3, one,530,25,0.001048,5.1006
3, something,1223,133,0.00051,4.3801
3, displayed,9066,378,0.000258,3.7007
3, simply,2391,143,0.000469,4.2977
3, any,597,2425,7.5e-05,2.4594
3, designed,3562,51,0.000846,4.8866
4, a,257,11,0.001844,5.7593
4, an,281,55,0.000913,5.0566
4, the,262,107,0.000616,4.6635
4, used,973,313,0.000321,4.0112
4, one,530,34,0.001126,5.2658
4, something,1223,92,0.000679,4.7599
4, displayed,9066,615,0.000194,3.5082
4, simply,2391,177,0.000453,4.3561
4, any,597,2819,6.6e-05,2.4317
4, designed,3562,52,0.000931,5.0757
5, a,257,29,0.00136,5.5602
5, an,281,108,0.000683,4.8714
5, the,262,228,0.000414,4.3706
5, used,973,141,0.000579,4.7056
5, one,530,41,0.001088,5.3366
5, something,1223,145,0.000567,4.6857
5, displayed,9066,338,0.000322,4.1203
5, simply,2391,207,0.000452,4.4584
5, any,597,3568,5.3e-05,2.3218
5, designed,3562,15,0.001761,5.8181
6, a,257,40,0.00108,5.2841
6, an,281,119,0.000611,4.7141
6, the,262,310,0.000328,4.0924
6, used,973,186,0.000456,4.4216
6, one,530,28,0.001214,5.4007
6, something,1223,71,0.000794,4.9762
6, displayed,9066,273,0.000348,4.1527
6, simply,2391,206,0.000419,4.3365
6, any,597,4621,4.3e-05,2.0691
6, designed,3562,16,0.001809,5.7999
7, a,257,40,0.001422,5.7683
7, an,281,120,0.000699,5.0583
7, the,262,360,0.000327,4.2992
7, used,973,134,0.00065,4.9855
7, one,530,29,0.00181,6.0094
7, something,1223,49,0.001232,5.6245
7, displayed,9066,469,0.00027,4.1077
7, simply,2391,196,0.000506,4.7342
7, any,597,4625,4.1e-05,2.2112
7, designed,3562,4,0.00403,6.8096
8, a,257,34,0.001791,6.1542
8, an,281,140,0.000733,5.261
8, the,262,376,0.000333,4.4711
8, used,973,125,0.00077,5.3097
8, one,530,26,0.001961,6.2447
8, something,1223,104,0.000893,5.4582
8, displayed,9066,436,0.000293,4.3454
8, simply,2391,400,0.000313,4.41
8, any,597,3815,4.6e-05,2.4946
8, designed,3562,1,0.006654,7.4666
9, a,257,34,0.001866,6.3013
9, an,281,139,0.00074,5.3766
9, the,262,299,0.000405,4.7747
9, used,973,73,0.001208,5.8665
9, one,530,28,0.002169,6.4518
9, something,1223,83,0.001106,5.7788
