layer,token,token_id,rank,prob,logit
0, you,345,143,0.000703,5.7059
0, users,2985,9,0.004332,7.5239
0, the,262,614,0.000253,4.6841
0, us,514,46,0.001429,6.4147
0, for,329,33,0.001645,6.5555
0, a,257,140,0.000709,5.7137
0, your,534,4446,3.9e-05,2.8007
0, players,1938,37,0.001541,6.4903
0, me,502,157,0.000667,5.6527
0, to,284,67,0.001179,6.2226
1, you,345,34,0.001091,5.5731
1, users,2985,2,0.003759,6.8103
1, the,262,421,0.000288,4.2418
1, us,514,14,0.001654,5.9894
1, for,329,9,0.002112,6.2336
1, a,257,167,0.000491,4.7755
1, your,534,3150,6.5e-05,2.7523
1, players,1938,22,0.001394,5.8181
1, me,502,29,0.001202,5.6703
1, to,284,13,0.001693,6.0128
2, you,345,38,0.001161,5.7257
2, users,2985,1,0.007781,7.6277
2, the,262,713,0.000205,3.993
2, us,514,22,0.001568,6.0259
2, for,329,13,0.002077,6.307
2, a,257,249,0.000416,4.6998
2, your,534,4632,4.4e-05,2.4516
2, players,1938,25,0.00149,5.9751
2, me,502,69,0.000833,5.3938
2, to,284,28,0.001353,5.8784
3, you,345,11,0.002013,6.1832
3, users,2985,1,0.009591,7.7443
3, the,262,294,0.000348,4.4288
3, us,514,23,0.001355,5.7876
3, for,329,12,0.001908,6.1294
3, a,257,103,0.000634,5.0283
3, your,534,2606,7.6e-05,2.9025
3, players,1938,21,0.001482,5.8767
3, me,502,128,0.000562,4.9079
3, to,284,20,0.001523,5.904
4, you,345,6,0.002532,6.4467
4, users,2985,1,0.0155,8.2584
4, the,262,290,0.000358,4.4895
4, us,514,28,0.001158,5.6644
4, for,329,16,0.001541,5.9498
4, a,257,85,0.000722,5.1921
4, your,534,2239,8.7e-05,3.0705
4, players,1938,20,0.001357,5.8231
4, me,502,164,0.00051,4.844
4, to,284,21,0.001316,5.7922
5, you,345,5,0.003183,6.7739
5, users,2985,1,0.016266,8.405
5, the,262,154,0.000526,4.9735
5, us,514,50,0.000933,5.547
5, for,329,15,0.001968,6.2932
5, a,257,42,0.001123,5.732
5, your,534,2117,9e-05,3.2103
5, players,1938,43,0.001092,5.7041
5, me,502,394,0.000304,4.4255
5, to,284,14,0.001994,6.306
6, you,345,2,0.007361,7.7914
6, users,2985,1,0.021077,8.8434
6, the,262,58,0.000956,5.7502
6, us,514,29,0.00148,6.1869
6, for,329,8,0.002946,6.8758
6, a,257,26,0.001517,6.2122
6, your,534,1100,0.000155,3.9287
6, players,1938,28,0.00149,6.1942
6, me,502,209,0.000476,5.0538
6, to,284,7,0.003163,6.9468
7, you,345,3,0.006351,7.7759
7, users,2985,1,0.018515,8.8459
7, the,262,121,0.000664,5.5175
7, us,514,59,0.001082,6.0063
7, for,329,4,0.00365,7.2219
7, a,257,40,0.001365,6.2384
7, your,534,1477,0.000124,3.8434
7, players,1938,21,0.00197,6.6053
7, me,502,406,0.000338,4.8439
7, to,284,7,0.003167,7.08
8, you,345,3,0.006683,7.6864
8, users,2985,2,0.008577,7.936
8, the,262,142,0.000593,5.2651
8, us,514,55,0.001059,5.8439
8, for,329,6,0.003019,6.892
8, a,257,40,0.001346,6.0837
8, your,534,1153,0.000151,3.8959
8, players,1938,24,0.001685,6.3088
8, me,502,258,0.000428,4.9376
8, to,284,4,0.003239,6.9623
9, you,345,3,0.005548,7.4697
9, users,2985,2,0.006062,7.5583
9, the,262,154,0.00059,5.2295
9, us,514,61,0.00099,5.7465
9, for,329,13,0.001986,6.4424
9, a,257,32,0.001367,6.0689
9, your,534,1246,0.000143,3.8104
9, players,1938,22,0.001755,6.3186
9, me,502,306,0.000384,4.7994
9, to,284,4,0.002516,6.6791
10, you,345,2,0.007607,7.8105
10, users,2985,3,0.00487,7.3646
10, the,262,98,0.000743,5.4843
10, us,514,58,0.000975,5.7561
10, for,329,19,0.001823,6.3818
10, a,257,25,0.001576,6.236
10, your,534,871,0.000191,4.1256
10, players,1938,12,0.002337,6.6305
10, me,502,287,0.000398,4.8592
10, to,284,11,0.002436,6.6719
11, you,345,2,0.007333,7.7318
11, users,2985,3,0.004997,7.3483
11, the,262,93,0.000761,5.4659
11, us,514,34,0.001329,6.024
11, for,329,17,0.002021,6.4429
11, a,257,29,0.001501,6.1456
11, your,534,583,0.000248,4.3443
11, players,1938,26,0.001575,6.1935
11, me,502,224,0.000452,4.9445
11, to,284,9,0.002502,6.6567
12, you,345,3,0.004282,7.1138
12, users,2985,5,0.00275,6.6708
12, the,262,183,0.000503,4.9713
12, us,514,59,0.000905,5.5594
12, for,329,25,0.001407,6.0005
12, a,257,55,0.000952,5.6106
12, your,534,894,0.000182,3.9547
12, players,1938,47,0.001053,5.7112
12, me,502,526,0.000262,4.3195
12, to,284,16,0.001713,6.1979
13, you,345,2,0.004576,7.4131
13, users,2985,12,0.002368,6.7545
13, the,262,82,0.000888,5.7739
13, us,514,26,0.0017,6.4229
13, for,329,38,0.001401,6.2292
13, a,257,28,0.0016,6.3622
13, your,534,652,0.000238,4.4563
13, players,1938,40,0.001307,6.1604
13, me,502,376,0.000349,4.8406
13, to,284,16,0.002113,6.6404
14, you,345,3,0.004143,7.3163
14, users,2985,30,0.001511,6.3079
14, the,262,81,0.000892,5.7803
14, us,514,19,0.001855,6.513
14, for,329,49,0.001048,5.9415
14, a,257,35,0.001351,6.196
14, your,534,663,0.000234,4.4423
14, players,1938,39,0.001279,6.141
14, me,502,312,0.000395,4.9669
14, to,284,36,0.001335,6.1835
15, you,345,7,0.003404,7.1481
15, users,2985,25,0.001463,6.3038
15, the,262,95,0.000849,5.7595
15, us,514,23,0.001617,6.4034
15, for,329,81,0.0009,5.8175
15, a,257,35,0.001288,6.1764
15, your,534,571,0.000266,4.5997
15, players,1938,94,0.000856,5.7676
15, me,502,340,0.000378,4.9506
15, to,284,57,0.001088,6.0072
16, you,345,9,0.003086,7.0509
16, users,2985,35,0.001398,6.2587
16, the,262,161,0.000649,5.4919
16, us,514,19,0.001819,6.5224
16, for,329,128,0.000735,5.6165
16, a,257,117,0.000772,5.6647
16, your,534,757,0.000211,4.367
16, players,1938,124,0.000742,5.6254
16, me,502,351,0.000378,4.9512
16, to,284,96,0.000861,5.7743
17, you,345,13,0.003099,7.3138
17, users,2985,49,0.001499,6.5875
