layer,token,token_id,rank,prob,logit
0, a,257,10,0.002398,6.3043
0, an,281,53,0.001014,5.4438
0, software,3788,4654,4.2e-05,2.2612
0, used,973,209,0.00045,4.6312
0, the,262,84,0.000779,5.1804
0, not,407,1,0.01094,7.8223
0, required,2672,69,0.000873,5.2945
0, one,530,92,0.000746,5.1362
0, something,1223,175,0.000492,4.7208
0, needed,2622,46,0.001131,5.5527
1, a,257,8,0.001956,5.8271
1, an,281,37,0.000925,5.0781
1, software,3788,3490,5.7e-05,2.3002
1, used,973,329,0.000291,3.9232
1, the,262,119,0.000529,4.5189
1, not,407,1,0.007204,7.131
1, required,2672,80,0.000667,4.7516
1, one,530,23,0.001108,5.2594
1, something,1223,131,0.000498,4.4599
1, needed,2622,75,0.000684,4.7771
2, a,257,7,0.001651,5.5418
2, an,281,30,0.000885,4.9187
2, software,3788,2609,7.2e-05,2.4024
2, used,973,325,0.000277,3.7565
2, the,262,165,0.000414,4.1576
2, not,407,1,0.005798,6.7979
2, required,2672,116,0.000483,4.3137
2, one,530,27,0.000931,4.9689
2, something,1223,193,0.000386,4.0885
2, needed,2622,95,0.000564,4.4682
3, a,257,6,0.002274,5.9516
3, an,281,23,0.001089,5.2158
3, software,3788,1701,9.8e-05,2.8097
3, used,973,273,0.000324,4.0025
3, the,262,101,0.000549,4.5303
3, not,407,1,0.007362,7.1266
3, required,2672,154,0.000448,4.3267
3, one,530,13,0.001366,5.4418
3, something,1223,140,0.000462,4.3589
3, needed,2622,144,0.000458,4.3488
4, a,257,7,0.002485,6.1805
4, an,281,26,0.001333,5.5578
4, software,3788,2402,7.6e-05,2.6923
4, used,973,287,0.000355,4.2349
4, the,262,112,0.0006,4.7586
4, not,407,1,0.009045,7.4724
4, required,2672,321,0.000324,4.144
4, one,530,19,0.001518,5.6876
4, something,1223,93,0.000671,4.872
4, needed,2622,272,0.000363,4.2556
5, a,257,13,0.001981,5.9996
5, an,281,43,0.00109,5.4025
5, software,3788,1871,9e-05,2.9093
5, used,973,181,0.000499,4.6208
5, the,262,217,0.000435,4.4841
5, not,407,1,0.00935,7.5517
5, required,2672,250,0.000398,4.3947
5, one,530,29,0.001447,5.686
5, something,1223,92,0.000772,5.057
5, needed,2622,221,0.000433,4.4797
6, a,257,27,0.001539,5.737
6, an,281,56,0.000901,5.2012
6, software,3788,1310,0.000118,3.1685
6, used,973,243,0.000384,4.3496
6, the,262,414,0.00027,3.9947
6, not,407,1,0.007916,7.3745
6, required,2672,583,0.000211,3.7521
6, one,530,37,0.001175,5.4666
6, something,1223,72,0.000784,5.0626
6, needed,2622,528,0.000226,3.8185
7, a,257,35,0.001323,5.6936
7, an,281,77,0.000827,5.2245
7, software,3788,1821,9.7e-05,3.0832
7, used,973,411,0.000288,4.1701
7, the,262,590,0.000223,3.9124
7, not,407,2,0.00562,7.1402
7, required,2672,556,0.000231,3.9481
7, one,530,55,0.001015,5.4285
7, something,1223,43,0.00114,5.5446
7, needed,2622,517,0.000245,4.009
8, a,257,37,0.001426,5.8998
8, an,281,91,0.000869,5.4042
8, software,3788,2119,8.1e-05,3.0335
8, used,973,301,0.000391,4.6065
8, the,262,539,0.000244,4.1342
8, not,407,3,0.005385,7.2287
8, required,2672,888,0.000166,3.7511
8, one,530,54,0.001164,5.6967
8, something,1223,83,0.000924,5.4659
8, needed,2622,552,0.000239,4.1121
9, a,257,56,0.001222,5.8305
9, an,281,130,0.000711,5.2886
9, software,3788,3162,5.6e-05,2.7451
9, used,973,254,0.00044,4.8095
9, the,262,470,0.000279,4.3534
9, not,407,4,0.005024,7.244
9, required,2672,717,0.000196,3.9988
9, one,530,68,0.001096,5.7218
9, something,1223,51,0.001328,5.9132
9, needed,2622,579,0.000238,4.1936
10, a,257,36,0.001887,6.4324
10, an,281,113,0.00086,5.6466
10, software,3788,3571,4.6e-05,2.7243
10, used,973,249,0.000446,4.9907
10, the,262,410,0.000301,4.5974
10, not,407,4,0.006043,7.596
10, required,2672,640,0.000218,4.2738
10, one,530,41,0.001759,6.3617
10, something,1223,39,0.001849,6.4117
10, needed,2622,589,0.000232,4.3349
11, a,257,48,0.001862,6.519
11, an,281,127,0.000784,5.6545
11, software,3788,1929,8.1e-05,3.3894
11, used,973,244,0.000461,5.1229
11, the,262,399,0.000315,4.7426
11, not,407,9,0.005629,7.6251
11, required,2672,362,0.000335,4.8028
11, one,530,30,0.002376,6.7628
11, something,1223,66,0.001304,6.1626
11, needed,2622,645,0.000206,4.3174
12, a,257,68,0.00124,6.0917
12, an,281,198,0.000523,5.229
12, software,3788,926,0.000155,4.0093
12, used,973,231,0.000467,5.1158
12, the,262,523,0.000247,4.4781
12, not,407,18,0.003497,7.1283
12, required,2672,387,0.000314,4.7194
12, one,530,30,0.002236,6.6809
12, something,1223,80,0.001142,6.0086
12, needed,2622,925,0.000155,4.0097
13, a,257,83,0.001037,5.9184
13, an,281,196,0.000504,5.1963
13, software,3788,331,0.000355,4.8466
13, used,973,221,0.000469,5.1245
13, the,262,645,0.000202,4.282
13, not,407,18,0.004064,7.2839
13, required,2672,232,0.000457,5.0982
13, one,530,52,0.001607,6.3559
13, something,1223,79,0.001122,5.9967
13, needed,2622,844,0.000162,4.0594
14, a,257,89,0.001167,6.3684
14, an,281,148,0.000666,5.8075
14, software,3788,45,0.002144,6.9761
14, used,973,134,0.000735,5.9051
14, the,262,459,0.000274,4.9205
14, not,407,24,0.004621,7.7443
14, required,2672,119,0.000818,6.0121
14, one,530,52,0.001813,6.8084
14, something,1223,74,0.001353,6.5156
14, needed,2622,726,0.000184,4.5225
