layer,token,token_id,rank,prob,logit
0, to,284,115,0.000367,8.9864
0, not,407,1,0.394235,15.9647
0, simple,2829,100,0.000448,9.1842
0, the,262,10,0.01296,12.5496
0, simply,2391,71,0.000739,9.6848
0, that,326,331,9.8e-05,7.6672
0, a,257,5,0.043036,13.7498
0, two,734,150,0.000271,8.6823
0, for,329,177,0.000215,8.4502
0, as,355,178,0.000214,8.446
1, to,284,220,7.5e-05,9.5786
1, not,407,1,0.439376,18.2528
1, simple,2829,127,0.000189,10.5002
1, the,262,20,0.002747,13.1778
1, simply,2391,48,0.000733,11.857
1, that,326,595,1.3e-05,7.8264
1, a,257,9,0.010326,14.5021
1, two,734,385,2.9e-05,8.6366
1, for,329,256,5.8e-05,9.3266
1, as,355,300,4.3e-05,9.0246
2, to,284,207,6.1e-05,9.8703
2, not,407,1,0.337069,18.4824
2, simple,2829,160,0.000101,10.3667
2, the,262,23,0.002156,13.4302
2, simply,2391,32,0.001188,12.8341
2, that,326,416,1.5e-05,8.4541
2, a,257,7,0.012093,15.1548
2, two,734,536,1e-05,8.0485
2, for,329,174,8.5e-05,10.194
2, as,355,210,6e-05,9.8527
3, to,284,217,4.3e-05,10.0955
3, not,407,1,0.578313,19.6036
3, simple,2829,59,0.000409,12.3487
3, the,262,23,0.001914,13.8927
3, simply,2391,17,0.002666,14.2242
3, that,326,263,3e-05,9.7303
3, a,257,7,0.015267,15.9692
3, two,734,438,1.1e-05,8.7545
3, for,329,176,6.8e-05,10.5503
3, as,355,151,9.6e-05,10.8963
4, to,284,205,3.9e-05,9.8558
4, not,407,1,0.633283,19.5411
4, simple,2829,56,0.000488,12.3723
4, the,262,37,0.001027,13.1166
4, simply,2391,18,0.003498,14.3422
4, that,326,259,2.8e-05,9.513
4, a,257,10,0.007844,15.1499
4, two,734,406,1.2e-05,8.6492
4, for,329,197,4.4e-05,9.9693
4, as,355,121,0.000115,10.9275
5, to,284,109,5.5e-05,12.339
5, not,407,1,0.82844,21.9516
5, simple,2829,36,0.000396,14.305
5, the,262,38,0.000347,14.1742
5, simply,2391,22,0.001513,15.6461
5, that,326,247,9e-06,10.5541
5, a,257,11,0.005202,16.8811
5, two,734,403,3e-06,9.4958
5, for,329,105,6e-05,12.4113
5, as,355,81,9.3e-05,12.8571
6, to,284,45,0.000592,14.9272
6, not,407,1,0.768712,22.0967
6, simple,2829,23,0.001849,16.0668
6, the,262,59,0.000373,14.4652
6, simply,2391,21,0.002301,16.2852
6, that,326,256,2.1e-05,11.5727
6, a,257,18,0.00321,16.6181
6, two,734,696,3e-06,9.4612
6, for,329,98,0.000138,13.475
6, as,355,94,0.000144,13.5165
7, to,284,23,0.002448,16.8602
7, not,407,1,0.694294,22.5078
7, simple,2829,2,0.072299,20.2457
7, the,262,51,0.000441,15.1466
7, simply,2391,4,0.018174,18.8649
7, that,326,230,2.3e-05,12.1749
7, a,257,18,0.003842,17.311
7, two,734,504,5e-06,10.6842
7, for,329,73,0.000231,14.4976
7, as,355,123,9.2e-05,13.5835
8, to,284,5,0.017778,20.7965
8, not,407,2,0.144965,22.895
8, simple,2829,1,0.719842,24.4975
8, the,262,62,8.5e-05,15.4475
8, simply,2391,3,0.030668,21.3417
8, that,326,114,2.5e-05,14.2201
8, a,257,30,0.000294,16.6958
8, two,734,126,2e-05,14.0241
8, for,329,65,7.7e-05,15.3511
8, as,355,50,0.000101,15.6237
9, to,284,1,0.994513,29.7737
9, not,407,3,0.000979,22.85
9, simple,2829,2,0.003686,24.176
9, the,262,39,1e-06,16.1321
9, simply,2391,5,0.00014,20.9065
9, that,326,63,0.0,15.0739
9, a,257,38,1e-06,16.1835
9, two,734,44,1e-06,15.9399
9, for,329,34,1e-06,16.2831
9, as,355,36,1e-06,16.2271
10, to,284,1,0.9889,25.563
10, not,407,3,0.003499,19.919
10, simple,2829,2,0.004354,20.1374
10, the,262,23,2.6e-05,15.0338
10, simply,2391,4,0.000634,18.2102
10, that,326,20,3e-05,15.1549
10, a,257,33,1.9e-05,14.7211
10, two,734,17,4e-05,15.4521
10, for,329,11,7.7e-05,16.1074
10, as,355,25,2.6e-05,15.026
11, to,284,1,0.798961,17.2562
11, not,407,2,0.059017,14.6507
11, simple,2829,3,0.01545,13.3104
11, the,262,4,0.006241,12.4039
11, simply,2391,5,0.004674,12.1148
11, that,326,6,0.004032,11.9672
11, a,257,7,0.003599,11.8536
11, two,734,8,0.003569,11.8451
11, for,329,9,0.003553,11.8405
11, as,355,10,0.003341,11.7791
