compound,domain,word1,word2,bigram_count,word1_count,word2_count,conditional_prob,pmi,corpus_index
screen_reader,accessibility,screen,reader,32100,22952059,6113770,0.001399,-32.025465417483936,v4_piletrain_llama
alt_text,accessibility,alt,text,23306,5902287,31625337,0.003949,-32.899006364583954,v4_piletrain_llama
skip_link,accessibility,skip,link,662,2340742,18277281,0.000283,-35.91139521937416,v4_piletrain_llama
color_contrast,accessibility,color,contrast,20112,25414097,16674541,0.000791,-34.29450041353466,v4_piletrain_llama
keyboard_navigation,accessibility,keyboard,navigation,8050,2791750,2976535,0.002883,-29.943167683972153,v4_piletrain_llama
focus_indicator,accessibility,focus,indicator,1261,20169251,2923114,6.3e-05,-35.44437627724362,v4_piletrain_llama
semantic_html,accessibility,semantic,HTML,2595,1358029,4327636,0.001911,-31.07671176165614,v4_piletrain_llama
closed_captions,accessibility,closed,captions,7942,16202434,214709,0.00049,-28.706443716628844,v4_piletrain_llama
keyboard_interaction,accessibility,keyboard,interaction,1073,2791750,14562066,0.000384,-35.141015680495556,v4_piletrain_llama
section_heading,accessibility,section,heading,6949,35442214,3379568,0.000196,-34.004783139733554,v4_piletrain_llama
text_alternative,accessibility,text,alternative,1852,31625337,11847032,5.9e-05,-37.557731468927386,v4_piletrain_llama
audio_description,accessibility,audio,description,4691,5818137,12037151,0.000806,-33.79743668589246,v4_piletrain_llama
sign_language,accessibility,sign,language,113936,21817958,23766108,0.005222,-32.08355093656124,v4_piletrain_llama
sensory_characteristics,accessibility,sensory,characteristics,11206,2319830,13255016,0.004831,-31.353638954731462,v4_piletrain_llama
input_purpose,accessibility,input,purpose,53,22444667,18885925,2e-06,-42.8627570119674,v4_piletrain_llama
target_size,accessibility,target,size,21981,35113978,47331299,0.000626,-36.137863890346686,v4_piletrain_llama
touch_target,accessibility,touch,target,1114,15155629,35113978,7.4e-05,-38.79735898606046,v4_piletrain_llama
drag_movement,accessibility,drag,movement,328,7857834,15091204,4.2e-05,-38.39535283044209,v4_piletrain_llama
focus_appearance,accessibility,focus,appearance,102,20169251,8637715,5e-06,-40.635447116808535,v4_piletrain_llama
consistent_help,accessibility,consistent,help,504,13743517,64771062,3.7e-05,-40.68381404456327,v4_piletrain_llama
redundant_entry,accessibility,redundant,entry,205,1150697,11599106,0.000178,-35.92210674302638,v4_piletrain_llama
accessible_authentication,accessibility,accessible,authentication,3,3966426,1978328,1e-06,-41.25029591120936,v4_piletrain_llama
text_spacing,accessibility,text,spacing,615,31625337,1526750,1.9e-05,-36.19216733175614,v4_piletrain_llama
status_message,accessibility,status,message,20367,21786604,20077187,0.000935,-34.32204593923539,v4_piletrain_llama
error_identification,accessibility,error,identification,1566,43907005,7369923,3.6e-05,-37.58829741075437,v4_piletrain_llama
pointer_cancellation,accessibility,pointer,cancellation,2,3978237,1233873,1e-06,-41.15846027318658,v4_piletrain_llama
character_key,accessibility,character,key,1974,33933779,37841630,5.8e-05,-39.242783390223885,v4_piletrain_llama
accessibility_tree,accessibility,accessibility,tree,1307,1107895,13630511,0.00118,-33.427682614121,v4_piletrain_llama
accessible_name,accessibility,accessible,name,1619,3966426,80852659,0.000408,-37.52731281706164,v4_piletrain_llama
accessible_description,accessibility,accessible,description,716,3966426,12037151,0.000181,-35.956583059527,v4_piletrain_llama
live_region,accessibility,live,region,1112,27609336,30168875,4e-05,-39.44626934672658,v4_piletrain_llama
tab_panel,accessibility,tab,panel,3519,5865681,13214414,0.0006,-34.358526497632134,v4_piletrain_llama
radio_group,accessibility,radio,group,6694,12463066,81142986,0.000537,-37.13646591126729,v4_piletrain_llama
tree_grid,accessibility,tree,grid,865,13630511,5571544,6.3e-05,-36.35342574615092,v4_piletrain_llama
menu_bar,accessibility,menu,bar,106878,6410860,36980559,0.016671,-31.046744779293704,v4_piletrain_llama
tool_tip,accessibility,tool,tip,17356,14249060,5654654,0.001218,-32.11222386212379,v4_piletrain_llama
combo_box,accessibility,combo,box,50410,756730,17286711,0.066616,-27.95115685098785,v4_piletrain_llama
semantic_markup,accessibility,semantic,markup,4776,1358029,543186,0.003517,-27.202582506648454,v4_piletrain_llama
focus_management,accessibility,focus,management,989,20169251,17858042,4.9e-05,-38.40589803553506,v4_piletrain_llama
reading_order,accessibility,reading,order,9225,17460665,85517931,0.000528,-37.23599558778402,v4_piletrain_llama
text_formatting,accessibility,text,formatting,28514,31625337,815777,0.000902,-29.753010007183835,v4_piletrain_llama
form_field,accessibility,form,field,51864,70850015,49395092,0.000732,-35.97368332915006,v4_piletrain_llama
landmark_region,accessibility,landmark,region,128,997856,30168875,0.000128,-37.77502967403965,v4_piletrain_llama
low_vision,accessibility,low,vision,36811,53370536,7407330,0.00069,-33.322213023524,v4_piletrain_llama
cognitive_disabilities,accessibility,cognitive,disabilities,10189,5758086,1281905,0.00177,-29.432290980513567,v4_piletrain_llama
universal_design,accessibility,universal,design,9030,4729445,33389182,0.001909,-34.02560660383111,v4_piletrain_llama
decorative_image,accessibility,decorative,image,749,698566,37927579,0.001072,-35.041958941229744,v4_piletrain_llama
informative_image,accessibility,informative,image,520,1186902,37927579,0.000438,-36.3331455243151,v4_piletrain_llama
responsive_design,accessibility,responsive,design,35628,1827621,33389182,0.019494,-30.673689028965182,v4_piletrain_llama
