layer,token,token_id,rank,prob,logit
0, you,345,4,0.021097,13.0905
0, users,2985,37,0.00225,10.8523
0, for,329,52,0.001367,10.3541
0, the,262,29,0.003383,11.2602
0, a,257,17,0.005536,11.7526
0, us,514,5,0.01745,12.9007
0, players,1938,524,8.7e-05,7.6021
0, people,661,264,0.0002,8.4326
0, your,534,73,0.000788,9.8029
0, to,284,19,0.00473,11.5952
1, you,345,3,0.076934,14.2081
1, users,2985,27,0.004836,11.4411
1, for,329,16,0.00824,11.974
1, the,262,26,0.005217,11.517
1, a,257,18,0.007832,11.9233
1, us,514,4,0.029288,13.2423
1, players,1938,548,0.000129,7.8205
1, people,661,150,0.000576,9.3136
1, your,534,65,0.001571,10.317
1, to,284,14,0.008791,12.0388
2, you,345,3,0.050998,13.6512
2, users,2985,11,0.014693,12.4067
2, for,329,58,0.002796,10.7476
2, the,262,21,0.008519,11.8616
2, a,257,18,0.009326,11.9522
2, us,514,1,0.07205,13.9967
2, players,1938,323,0.000303,8.5242
2, people,661,151,0.000693,9.3532
2, your,534,124,0.000912,9.6271
2, to,284,25,0.006078,11.524
3, you,345,1,0.11982,15.2353
3, users,2985,3,0.06446,14.6154
3, for,329,26,0.006129,12.2624
3, the,262,17,0.009627,12.7139
3, a,257,25,0.006772,12.3621
3, us,514,2,0.098533,15.0397
3, players,1938,86,0.001176,10.6116
3, people,661,108,0.000922,10.3684
3, your,534,75,0.001462,10.8294
3, to,284,12,0.011992,12.9336
4, you,345,1,0.16029,15.7298
4, users,2985,3,0.04243,14.4006
4, for,329,32,0.004684,12.1969
4, the,262,11,0.013825,13.2792
4, a,257,17,0.009077,12.8585
4, us,514,2,0.122952,15.4646
4, players,1938,75,0.001333,10.94
4, people,661,97,0.000992,10.6445
4, your,534,107,0.000885,10.5307
4, to,284,18,0.008996,12.8496
5, you,345,2,0.079106,15.3595
5, users,2985,10,0.019542,13.9613
5, for,329,31,0.005262,12.6493
5, the,262,11,0.016019,13.7626
5, a,257,12,0.011712,13.4494
5, us,514,1,0.17231,16.1381
5, players,1938,112,0.000793,10.7564
5, people,661,68,0.001563,11.4356
5, your,534,147,0.000519,10.333
5, to,284,13,0.011654,13.4444
6, you,345,3,0.043512,16.4188
6, users,2985,1,0.391752,18.6164
6, for,329,41,0.001074,12.7167
6, the,262,13,0.004374,14.1215
6, a,257,17,0.003899,14.0064
6, us,514,2,0.27018,18.2448
6, players,1938,44,0.001,12.646
6, people,661,28,0.002204,13.436
6, your,534,176,0.000128,10.5934
6, to,284,14,0.004352,14.1165
7, you,345,3,0.038987,18.7149
7, users,2985,1,0.700987,21.6041
7, for,329,121,3.8e-05,11.7703
7, the,262,20,0.000543,14.4414
7, a,257,19,0.000545,14.4439
7, us,514,2,0.169883,20.1868
7, players,1938,34,0.000264,13.7201
7, people,661,10,0.00249,15.964
7, your,534,61,9e-05,12.646
7, to,284,30,0.000332,13.9499
8, you,345,2,0.01397,21.4132
8, users,2985,1,0.958434,25.6416
8, for,329,138,3e-06,12.9095
8, the,262,22,6e-05,15.9583
8, a,257,28,4e-05,15.5648
8, us,514,3,0.008889,20.9612
8, players,1938,24,5e-05,15.7826
8, people,661,9,0.000523,18.129
8, your,534,49,1.4e-05,14.5355
8, to,284,76,7e-06,13.788
9, you,345,2,0.005311,22.99
9, users,2985,1,0.988134,28.216
9, for,329,28,1.4e-05,17.0486
9, the,262,25,1.7e-05,17.271
9, a,257,45,4e-06,15.8444
9, us,514,3,0.003332,22.5237
9, players,1938,12,9.1e-05,18.9239
9, people,661,9,0.000166,19.5265
9, your,534,41,5e-06,16.0429
9, to,284,106,1e-06,14.0074
10, you,345,2,0.374308,20.9784
10, users,2985,1,0.582244,21.4202
10, for,329,4,0.005868,16.8229
10, the,262,7,0.002841,16.0976
10, a,257,18,0.000531,14.4201
10, us,514,3,0.009893,17.3451
10, players,1938,6,0.002927,16.1272
10, people,661,5,0.002984,16.1465
10, your,534,17,0.000532,14.4218
10, to,284,23,0.000271,13.7487
11, you,345,1,0.46745,16.0702
11, users,2985,2,0.172837,15.0752
11, for,329,3,0.068387,14.1481
11, the,262,4,0.050109,13.8371
11, a,257,5,0.016676,12.7368
11, us,514,6,0.010646,12.2881
11, players,1938,7,0.010056,12.231
11, people,661,8,0.009897,12.2151
11, your,534,9,0.007606,11.9519
11, to,284,10,0.006561,11.8041
