compound,domain,word1,word2,bigram_count,word1_count,word2_count,conditional_prob,pmi,corpus_index
accessibility_tree,accessibility,accessibility,tree,27026,17244920,230945885,0.001567,-37.100587319588996,v4_olmo-mix-1124_llama
accessible_authentication,accessibility,accessible,authentication,479,73358835,27464520,7e-06,-41.93565128855089,v4_olmo-mix-1124_llama
accessible_description,accessibility,accessible,description,13071,73358835,146821187,0.000178,-39.58387042358159,v4_olmo-mix-1124_llama
accessible_name,accessibility,accessible,name,45152,73358835,1018894452,0.000615,-40.59032258294473,v4_olmo-mix-1124_llama
alt_text,accessibility,alt,text,1510749,72461750,478220452,0.020849,-34.416984346114006,v4_olmo-mix-1124_llama
audio_description,accessibility,audio,description,219940,103708810,146821187,0.002121,-36.01069766238048,v4_olmo-mix-1124_llama
character_key,accessibility,character,key,25654,560891478,529420200,4.6e-05,-43.396088253864946,v4_olmo-mix-1124_llama
closed_captions,accessibility,closed,captions,242540,211447960,4871878,0.001147,-31.98391080383938,v4_olmo-mix-1124_llama
cognitive_disabilities,accessibility,cognitive,disabilities,216716,65548078,22211587,0.003306,-32.645413137740604,v4_olmo-mix-1124_llama
color_contrast,accessibility,color,contrast,402263,382541175,152514954,0.001052,-37.077635744565676,v4_olmo-mix-1124_llama
combo_box,accessibility,combo,box,367125,19375774,299405082,0.018948,-33.87936224031814,v4_olmo-mix-1124_llama
consistent_help,accessibility,consistent,help,11735,120959399,1661595640,9.7e-05,-43.961339603867785,v4_olmo-mix-1124_llama
decorative_image,accessibility,decorative,image,13806,10979614,425455995,0.001257,-38.29975091150864,v4_olmo-mix-1124_llama
drag_movement,accessibility,drag,movement,2541,172597032,305830269,1.5e-05,-44.23980771601981,v4_olmo-mix-1124_llama
error_identification,accessibility,error,identification,14184,236289570,50396594,6e-05,-39.61082678549652,v4_olmo-mix-1124_llama
focus_appearance,accessibility,focus,appearance,759,431911058,131265120,2e-06,-46.086111308065504,v4_olmo-mix-1124_llama
focus_indicator,accessibility,focus,indicator,27185,431911058,36953422,6.3e-05,-39.09484043776777,v4_olmo-mix-1124_llama
focus_management,accessibility,focus,management,21831,431911058,280729378,5.1e-05,-42.33667322381001,v4_olmo-mix-1124_llama
form_field,accessibility,form,field,534535,876298065,466078029,0.00061,-39.47491780748298,v4_olmo-mix-1124_llama
informative_image,accessibility,informative,image,6612,23347468,425455995,0.000283,-40.45032643557871,v4_olmo-mix-1124_llama
input_purpose,accessibility,input,purpose,1195,177151214,304873161,7e-06,-45.36124511815538,v4_olmo-mix-1124_llama
keyboard_interaction,accessibility,keyboard,interaction,20053,53762449,106162866,0.000373,-38.05026903995118,v4_olmo-mix-1124_llama
keyboard_navigation,accessibility,keyboard,navigation,128716,53762449,63080643,0.002394,-34.61695767918208,v4_olmo-mix-1124_llama
landmark_region,accessibility,landmark,region,1258,13147582,245347495,9.6e-05,-41.221629252758355,v4_olmo-mix-1124_llama
live_region,accessibility,live,region,17991,707711497,245347495,2.5e-05,-43.13384965809566,v4_olmo-mix-1124_llama
low_vision,accessibility,low,vision,591201,679403103,178054279,0.00087,-37.574145248330716,v4_olmo-mix-1124_llama
menu_bar,accessibility,menu,bar,1718658,98283753,522038270,0.017487,-34.797178887550224,v4_olmo-mix-1124_llama
pointer_cancellation,accessibility,pointer,cancellation,63,24766460,10496026,3e-06,-41.907944275089356,v4_olmo-mix-1124_llama
radio_group,accessibility,radio,group,47148,181573257,836004723,0.00026,-41.55000338891038,v4_olmo-mix-1124_llama
reading_order,accessibility,reading,order,155818,445397832,965966024,0.00035,-41.32841412315228,v4_olmo-mix-1124_llama
redundant_entry,accessibility,redundant,entry,2731,16448813,145695261,0.000166,-39.67464525460052,v4_olmo-mix-1124_llama
responsive_design,accessibility,responsive,design,681068,19871422,518375969,0.034274,-33.81617605475097,v4_olmo-mix-1124_llama
screen_reader,accessibility,screen,reader,987882,339750667,123276070,0.002908,-35.30323947628672,v4_olmo-mix-1124_llama
section_heading,accessibility,section,heading,109764,264343794,66208813,0.000415,-37.21431470957004,v4_olmo-mix-1124_llama
semantic_html,accessibility,semantic,HTML,70955,16638580,62217177,0.004264,-33.76422184844487,v4_olmo-mix-1124_llama
semantic_markup,accessibility,semantic,markup,149063,16638580,9251624,0.008959,-29.94374150624082,v4_olmo-mix-1124_llama
sensory_characteristics,accessibility,sensory,characteristics,65401,29449380,104455093,0.002221,-35.45301644660677,v4_olmo-mix-1124_llama
sign_language,accessibility,sign,language,3428369,359048284,511886235,0.009548,-35.641759631013095,v4_olmo-mix-1124_llama
