layer,token,token_id,rank,prob,logit
0, to,281,292,0.000213,3.9309
0, so,594,11218,1.3e-05,1.165
0, not,417,544,0.000145,3.5448
0, two,767,17258,8e-06,0.636
0, for,323,68,0.000696,5.1132
0, that,326,8519,1.8e-05,1.4652
0,",",13,858,0.000111,3.2747
0, simply,3365,43922,1e-06,-1.6922
0,:,27,369,0.000186,3.7916
0, primarily,8558,23496,5e-06,0.156
1, to,281,113,0.000449,4.5985
1, so,594,10362,1.6e-05,1.2472
1, not,417,651,0.000141,3.44
1, two,767,14390,1.1e-05,0.8739
1, for,323,65,0.00085,5.2377
1, that,326,9467,1.7e-05,1.3468
1,",",13,234,0.00027,4.0892
1, simply,3365,43802,1e-06,-1.6772
1,:,27,167,0.000348,4.3444
1, primarily,8558,15556,1e-05,0.7729
2, to,281,146,0.000404,4.4252
2, so,594,7640,2.3e-05,1.5695
2, not,417,591,0.000157,3.4806
2, two,767,21219,7e-06,0.3288
2, for,323,42,0.001326,5.6133
2, that,326,13843,1.2e-05,0.9215
2,",",13,317,0.000238,3.8968
2, simply,3365,41686,1e-06,-1.4021
2,:,27,171,0.000352,4.2859
2, primarily,8558,11861,1.5e-05,1.1086
3, to,281,38,0.001302,5.6397
3, so,594,4607,3.8e-05,2.1055
3, not,417,706,0.000161,3.5487
3, two,767,4908,3.6e-05,2.0482
3, for,323,33,0.00148,5.7677
3, that,326,7693,2.3e-05,1.6161
3,",",13,433,0.00022,3.8619
3, simply,3365,39573,1e-06,-1.2132
3,:,27,141,0.000488,4.6574
3, primarily,8558,5377,3.3e-05,1.9665
4, to,281,6,0.004608,6.7738
4, so,594,1168,0.00012,3.1259
4, not,417,223,0.000368,4.2478
4, two,767,3545,5.2e-05,2.2987
4, for,323,12,0.002458,6.1453
4, that,326,1760,9e-05,2.8436
4,",",13,309,0.000296,4.0278
4, simply,3365,18375,9e-06,0.5509
4,:,27,33,0.0012,5.4285
4, primarily,8558,3761,5e-05,2.2491
5, to,281,2,0.011064,7.7437
5, so,594,294,0.000326,4.2197
5, not,417,75,0.0008,5.1168
5, two,767,1394,0.000103,3.0715
5, for,323,8,0.004144,6.7617
5, that,326,624,0.000186,3.6577
5,",",13,117,0.00063,4.8772
5, simply,3365,3513,4.9e-05,2.3253
5,:,27,28,0.00176,5.9054
5, primarily,8558,1181,0.000117,3.1909
6, to,281,1,0.023126,8.4654
6, so,594,140,0.000538,4.7054
6, not,417,7,0.003483,6.5725
6, two,767,276,0.000346,4.2644
6, for,323,4,0.003778,6.6536
6, that,326,60,0.001012,5.3363
6,",",13,94,0.000718,4.9938
6, simply,3365,924,0.000148,3.4135
6,:,27,21,0.001984,6.0094
6, primarily,8558,405,0.000263,3.9897
7, to,281,1,0.062354,9.4862
7, so,594,56,0.00095,5.3022
7, not,417,2,0.008604,7.5056
7, two,767,130,0.000583,4.8133
7, for,323,3,0.007142,7.3193
7, that,326,23,0.001756,5.9165
7,",",13,27,0.001494,5.7551
7, simply,3365,72,0.000845,5.1846
7,:,27,46,0.001065,5.4167
7, primarily,8558,191,0.000457,4.5706
8, to,281,1,0.015473,7.8717
8, so,594,69,0.000755,4.8514
8, not,417,2,0.012328,7.6444
8, two,767,427,0.000226,3.6472
8, for,323,24,0.001411,5.477
8, that,326,44,0.00099,5.1225
8,",",13,147,0.000487,4.4125
8, simply,3365,16,0.00201,5.8308
8,:,27,18,0.001743,5.6883
8, primarily,8558,36,0.001148,5.2705
