layer,token,token_id,rank,prob,logit
0, a,247,108,0.000472,4.658
0, software,3694,1666,7.5e-05,2.8226
0, an,271,4864,3.3e-05,1.9896
0, used,908,1038,0.000105,3.1504
0, the,253,1640,7.6e-05,2.8337
0, computer,4382,625,0.000142,3.4583
0, one,581,3977,3.9e-05,2.1596
0, often,2223,9967,1.7e-05,1.3048
0, typically,5431,10048,1.6e-05,1.2952
0, designed,4158,4625,3.4e-05,2.0372
1, a,247,77,0.00066,4.936
1, software,3694,1830,7.3e-05,2.7401
1, an,271,4636,3.5e-05,2.0082
1, used,908,575,0.000163,3.5375
1, the,253,1010,0.000112,3.1596
1, computer,4382,512,0.000175,3.6068
1, one,581,3295,4.7e-05,2.295
1, often,2223,8382,2.1e-05,1.4784
1, typically,5431,11861,1.4e-05,1.0974
1, designed,4158,5055,3.3e-05,1.9337
2, a,247,96,0.000559,4.7364
2, software,3694,2337,6.5e-05,2.5786
2, an,271,2710,5.7e-05,2.4541
2, used,908,336,0.000233,3.8588
2, the,253,816,0.000133,3.2991
2, computer,4382,424,0.000197,3.695
2, one,581,3088,5.1e-05,2.3486
2, often,2223,6596,2.7e-05,1.7039
2, typically,5431,9233,1.9e-05,1.376
2, designed,4158,3681,4.5e-05,2.2111
3, a,247,218,0.000359,4.2556
3, software,3694,3002,5.7e-05,2.4223
3, an,271,2918,5.9e-05,2.4488
3, used,908,142,0.000469,4.5249
3, the,253,1340,0.000106,3.0336
3, computer,4382,261,0.000324,4.155
3, one,581,2175,7.4e-05,2.6795
3, often,2223,3552,5e-05,2.2922
3, typically,5431,5188,3.6e-05,1.9625
3, designed,4158,3189,5.5e-05,2.3754
4, a,247,226,0.000342,4.1486
4, software,3694,604,0.000178,3.4949
4, an,271,2178,7.4e-05,2.6229
4, used,908,72,0.000806,5.0054
4, the,253,1792,8.6e-05,2.762
4, computer,4382,79,0.000725,4.8993
4, one,581,1025,0.000127,3.1578
4, often,2223,3199,5.6e-05,2.3409
4, typically,5431,3341,5.4e-05,2.3088
4, designed,4158,3869,4.8e-05,2.1926
5, a,247,601,0.00018,3.4307
5, software,3694,1815,8.7e-05,2.7023
5, an,271,1386,0.000106,2.8999
5, used,908,24,0.001556,5.5859
5, the,253,952,0.000134,3.1369
5, computer,4382,262,0.000316,3.9927
5, one,581,994,0.000131,3.1128
5, often,2223,334,0.000273,3.8444
5, typically,5431,143,0.000475,4.4001
5, designed,4158,2613,6.7e-05,2.4438
6, a,247,214,0.000394,4.2571
6, software,3694,2633,6.7e-05,2.4897
6, an,271,308,0.000303,3.9942
6, used,908,5,0.003182,6.3449
6, the,253,225,0.000384,4.231
6, computer,4382,503,0.000221,3.6756
6, one,581,117,0.000613,4.6977
6, often,2223,33,0.001178,5.3514
6, typically,5431,14,0.002017,5.8893
6, designed,4158,1149,0.000124,3.1035
7, a,247,140,0.000549,4.6831
7, software,3694,1150,0.000126,3.2143
7, an,271,215,0.000409,4.3871
7, used,908,2,0.009287,7.5106
7, the,253,189,0.00044,4.4612
7, computer,4382,549,0.00021,3.7237
7, one,581,46,0.001271,5.5221
7, often,2223,5,0.005159,6.9227
7, typically,5431,7,0.005055,6.9024
7, designed,4158,191,0.000435,4.4494
8, a,247,85,0.000706,4.8357
8, software,3694,331,0.000281,3.9143
8, an,271,120,0.000554,4.5927
8, used,908,3,0.008057,7.2706
8, the,253,248,0.000334,4.0868
8, computer,4382,390,0.000251,3.8032
8, one,581,31,0.001516,5.6003
8, often,2223,2,0.0117,7.6436
8, typically,5431,5,0.006034,6.9814
8, designed,4158,117,0.000559,4.603
9, a,247,59,0.000838,5.0036
9, software,3694,974,0.000132,3.153
9, an,271,125,0.000507,4.5019
9, used,908,15,0.002805,6.2122
9, the,253,107,0.000559,4.5997
9, computer,4382,2741,6.2e-05,2.4031
9, one,581,38,0.001195,5.3593
9, often,2223,2,0.010565,7.5385
9, typically,5431,3,0.008919,7.3691
9, designed,4158,229,0.000356,4.1474
10, a,247,64,0.000774,4.8996
10, software,3694,1719,8.6e-05,2.7082
10, an,271,142,0.00047,4.4013
10, used,908,12,0.003467,6.3994
10, the,253,63,0.000774,4.8999
10, computer,4382,3028,5.7e-05,2.2848
10, one,581,35,0.00115,5.2956
10, often,2223,2,0.013205,7.7366
10, typically,5431,3,0.011567,7.6041
10, designed,4158,59,0.000791,4.9221
11, a,247,62,0.000841,5.1325
11, software,3694,340,0.00027,3.9959
11, an,271,126,0.000557,4.7199
11, used,908,8,0.005499,7.0104
11, the,253,66,0.000819,5.1067
11, computer,4382,3825,4.5e-05,2.2068
11, one,581,48,0.000999,5.3051
11, often,2223,2,0.019342,8.2682
11, typically,5431,1,0.021972,8.3957
11, designed,4158,37,0.001209,5.496
12, a,247,10,0.005919,7.3657
12, software,3694,234,0.0004,4.671
12, an,271,21,0.003376,6.8041
12, used,908,8,0.007593,7.6148
12, the,253,19,0.003491,6.8377
12, computer,4382,1723,7.9e-05,3.0437
12, one,581,14,0.003983,6.9695
12, often,2223,1,0.022771,8.7131
12, typically,5431,2,0.018058,8.4811
12, designed,4158,50,0.001442,5.9534
13, a,247,6,0.007462,7.5359
13, software,3694,329,0.000333,4.427
13, an,271,16,0.003895,6.8858
13, used,908,5,0.008205,7.6308
13, the,253,13,0.004823,7.0994
13, computer,4382,1029,0.000131,3.4929
13, one,581,15,0.003929,6.8945
13, often,2223,2,0.01076,7.9019
13, typically,5431,3,0.009245,7.7502
13, designed,4158,71,0.001161,5.6754
14, a,247,1,0.029382,9.3041
14, software,3694,314,0.000356,4.892
14, an,271,4,0.012907,8.4814
14, used,908,13,0.008033,8.0073
14, the,253,3,0.013606,8.5342
14, computer,4382,922,0.000133,3.9076
14, one,581,8,0.010052,8.2314
14, often,2223,7,0.010504,8.2754
14, typically,5431,12,0.008636,8.0797
14, designed,4158,135,0.000747,5.6316
15, a,247,1,0.039041,9.5887
15, software,3694,431,0.000255,4.5589
15, an,271,3,0.018605,8.8475
15, used,908,9,0.009319,8.1561
15, the,253,4,0.017407,8.7809
15, computer,4382,879,0.000133,3.9096
15, one,581,11,0.009088,8.1311
15, often,2223,8,0.010337,8.2598
15, typically,5431,17,0.006467,7.7907
15, designed,4158,155,0.000654,5.4989
16, a,247,1,0.068586,10.3921
16, software,3694,418,0.000244,4.7528
16, an,271,3,0.028878,9.5271
16, used,908,22,0.005407,7.8517
16, the,253,2,0.03151,9.6143
16, computer,4382,972,0.000102,3.8845
16, one,581,7,0.011996,8.6486
16, often,2223,11,0.010086,8.4751
16, typically,5431,24,0.005076,7.7885
16, designed,4158,181,0.00057,5.6018
17, a,247,1,0.086892,10.7154
17, software,3694,261,0.000368,5.2501
17, an,271,3,0.031715,9.7076
17, used,908,15,0.007909,8.3188
17, the,253,4,0.028163,9.5888
17, computer,4382,455,0.000221,4.7428
17, one,581,18,0.007105,8.2116
17, often,2223,9,0.011218,8.6683
17, typically,5431,22,0.005731,7.9967
17, designed,4158,99,0.000994,6.2452
18, a,247,1,0.130012,11.1825
18, software,3694,184,0.000524,5.6696
18, an,271,2,0.05566,10.3342
18, used,908,18,0.006274,8.1514
18, the,253,4,0.024851,9.5278
18, computer,4382,281,0.000348,5.2596
18, one,581,12,0.00741,8.3177
18, often,2223,6,0.011674,8.7723
18, typically,5431,20,0.005363,7.9944
18, designed,4158,80,0.00114,6.4459
19, a,247,1,0.166461,11.2033
19, software,3694,133,0.000685,5.7097
19, an,271,2,0.062263,10.2199
19, used,908,11,0.006327,7.9334
19, the,253,3,0.025046,9.3092
19, computer,4382,281,0.00034,5.009
19, one,581,15,0.005019,7.7017
19, often,2223,6,0.009673,8.3578
19, typically,5431,22,0.003551,7.3558
19, designed,4158,40,0.001835,6.6955
20, a,247,1,0.349758,12.7207
20, software,3694,118,0.000551,6.2669
20, an,271,2,0.125723,11.6976
20, used,908,8,0.006549,8.7428
20, the,253,3,0.036609,10.4638
20, computer,4382,312,0.000198,5.2464
20, one,581,6,0.010713,9.235
20, often,2223,12,0.004935,8.4598
20, typically,5431,21,0.003106,7.9969
20, designed,4158,37,0.001494,7.2649
21, a,247,1,0.474552,13.8449
21, software,3694,69,0.000709,7.3391
21, an,271,2,0.136611,12.5996
21, used,908,9,0.004393,9.1625
21, the,253,3,0.032604,11.1669
21, computer,4382,243,0.000188,6.011
21, one,581,6,0.012957,10.2442
21, often,2223,13,0.003698,8.9903
21, typically,5431,30,0.001709,8.2184
21, designed,4158,45,0.001,7.6828
22, a,247,1,0.60486,14.6831
22, software,3694,36,0.000758,8.0013
22, an,271,2,0.168443,13.4047
22, used,908,8,0.003609,9.5616
22, the,253,3,0.021678,11.3544
22, computer,4382,145,0.000207,6.7027
22, one,581,4,0.012733,10.8223
22, often,2223,15,0.00157,8.729
22, typically,5431,35,0.000762,8.0061
22, designed,4158,66,0.000439,7.4555
23, a,247,1,0.634715,14.9084
23, software,3694,9,0.001754,9.0173
23, an,271,2,0.21463,13.8241
23, used,908,6,0.002379,9.322
23, the,253,3,0.018116,11.352
23, computer,4382,73,0.000264,7.1239
23, one,581,4,0.008584,10.6052
23, often,2223,16,0.001079,8.5314
23, typically,5431,26,0.000556,7.8684
23, designed,4158,45,0.000395,7.5254
24, a,247,1,0.667047,15.8646
24, software,3694,5,0.001944,10.0265
24, an,271,2,0.248983,14.8792
24, used,908,6,0.00162,9.8442
24, the,253,3,0.009287,11.5904
24, computer,4382,26,0.000289,8.1211
24, one,581,4,0.007631,11.394
24, often,2223,16,0.000572,8.8026
24, typically,5431,29,0.000283,8.0984
24, designed,4158,38,0.000264,8.031
25, a,247,1,0.709514,16.753
25, software,3694,5,0.002221,10.9862
25, an,271,2,0.236201,15.6531
25, used,908,6,0.002115,10.9372
25, the,253,3,0.005814,11.9486
25, computer,4382,21,0.000297,8.9752
25, one,581,4,0.003903,11.5501
25, often,2223,20,0.000298,8.9777
25, typically,5431,41,0.000184,8.4938
25, designed,4158,32,0.000212,8.6389
26, a,247,1,0.770074,17.7798
26, software,3694,6,0.001348,11.4317
26, an,271,2,0.19698,16.4164
26, used,908,5,0.001427,11.4889
26, the,253,3,0.004151,12.5567
26, computer,4382,26,0.000167,9.341
26, one,581,4,0.003673,12.4342
26, often,2223,24,0.000169,9.3527
26, typically,5431,44,9.3e-05,8.7592
26, designed,4158,31,0.000139,9.1604
27, a,247,1,0.767082,18.1328
27, software,3694,5,0.001871,12.1165
27, an,271,2,0.203709,16.8069
27, used,908,6,0.001041,11.5306
27, the,253,4,0.00308,12.6151
27, computer,4382,19,0.000188,9.8176
27, one,581,3,0.003416,12.7188
27, often,2223,20,0.000178,9.7655
27, typically,5431,36,0.00011,9.2875
27, designed,4158,24,0.000153,9.6146
28, a,247,1,0.795928,18.3748
28, software,3694,5,0.002368,12.5574
28, an,271,2,0.174344,16.8563
28, used,908,6,0.001562,12.1414
28, the,253,3,0.003079,12.8197
28, computer,4382,17,0.000227,10.2116
28, one,581,4,0.00275,12.7068
28, often,2223,22,0.000172,9.9323
28, typically,5431,23,0.000162,9.8744
28, designed,4158,19,0.000198,10.0763
29, a,247,1,0.773471,19.3905
29, software,3694,5,0.001344,13.0355
29, an,271,2,0.205532,18.0652
29, used,908,6,0.001215,12.9346
29, the,253,4,0.00279,13.7655
