layer,token,token_id,rank,prob,logit
0, you,368,255,0.000324,4.3489
0, to,281,33,0.002111,6.2234
0, developers,12259,10514,1.5e-05,1.2965
0, web,4384,8301,2e-05,1.5534
0, your,634,368,0.000253,4.1008
0, us,441,42,0.001517,5.8928
0, the,253,715,0.000155,3.6113
0, users,4212,11679,1.4e-05,1.1729
0, make,1056,86,0.000745,5.1821
0, with,342,76,0.000832,5.2917
1, you,368,146,0.000523,4.8158
1, to,281,26,0.003267,6.6481
1, developers,12259,9753,1.7e-05,1.3711
1, web,4384,6535,2.5e-05,1.7858
1, your,634,434,0.000222,3.9576
1, us,441,17,0.00381,6.8017
1, the,253,380,0.000242,4.0452
1, users,4212,15597,9e-06,0.8016
1, make,1056,78,0.000928,5.3898
1, with,342,62,0.001202,5.6484
2, you,368,140,0.000539,4.8785
2, to,281,34,0.002582,6.4454
2, developers,12259,6164,2.6e-05,1.8603
2, web,4384,8208,2e-05,1.5603
2, your,634,524,0.000194,3.8578
2, us,441,6,0.007138,7.4621
2, the,253,256,0.000327,4.3788
2, users,4212,11368,1.4e-05,1.1993
2, make,1056,154,0.0005,4.8036
2, with,342,101,0.000796,5.268
3, you,368,55,0.001329,5.7533
3, to,281,20,0.00343,6.7014
3, developers,12259,4821,3.5e-05,2.1247
3, web,4384,5227,3.3e-05,2.0448
3, your,634,383,0.000247,4.0712
3, us,441,13,0.004425,6.9563
3, the,253,224,0.000365,4.4603
3, users,4212,6107,2.8e-05,1.8937
3, make,1056,108,0.000702,5.1145
3, with,342,106,0.000704,5.1174
4, you,368,10,0.003695,6.7293
4, to,281,4,0.007001,7.3685
4, developers,12259,5368,3.3e-05,2.0064
4, web,4384,7974,2.2e-05,1.6041
4, your,634,131,0.000618,4.9409
4, us,441,8,0.004045,6.8198
4, the,253,87,0.000821,5.2254
4, users,4212,4855,3.6e-05,2.1005
4, make,1056,101,0.000756,5.1427
4, with,342,62,0.001154,5.566
5, you,368,5,0.005836,7.0263
5, to,281,6,0.005801,7.0202
5, developers,12259,5095,3.6e-05,1.9468
