layer,token,token_id,rank,prob,logit
0, a,247,81,0.000626,4.9786
0, an,271,3652,4e-05,2.2387
0, used,908,1488,8e-05,2.9144
0, generally,3839,14295,1e-05,0.8842
0, the,253,1213,9.3e-05,3.0685
0, typically,5431,11463,1.4e-05,1.1472
0, one,581,3334,4.3e-05,2.3069
0, provided,2530,32415,3e-06,-0.5154
0, often,2223,11023,1.4e-05,1.1908
0, defined,2931,10132,1.6e-05,1.2894
1, a,247,79,0.000635,4.8901
1, an,271,3972,4.1e-05,2.1399
1, used,908,603,0.000158,3.5002
1, generally,3839,9129,1.9e-05,1.3929
1, the,253,941,0.000118,3.2104
1, typically,5431,13331,1.3e-05,0.9699
1, one,581,3418,4.6e-05,2.2659
1, provided,2530,26451,4e-06,-0.0599
1, often,2223,13255,1.3e-05,0.9786
1, defined,2931,8129,2.2e-05,1.5131
2, a,247,70,0.000785,5.1172
2, an,271,1958,7.3e-05,2.7353
2, used,908,353,0.000232,3.8978
2, generally,3839,8700,2e-05,1.4611
2, the,253,589,0.000166,3.5605
2, typically,5431,8543,2.1e-05,1.4776
2, one,581,1745,7.9e-05,2.8239
2, provided,2530,13595,1.2e-05,0.9579
2, often,2223,10525,1.7e-05,1.2558
2, defined,2931,4106,4e-05,2.152
3, a,247,75,0.00074,5.013
3, an,271,1503,9.5e-05,2.9589
3, used,908,145,0.000457,4.5301
3, generally,3839,4643,3.9e-05,2.0769
3, the,253,1190,0.00011,3.111
3, typically,5431,6143,3e-05,1.8238
3, one,581,745,0.000152,3.432
3, provided,2530,4610,4e-05,2.0832
3, often,2223,10291,1.8e-05,1.2959
3, defined,2931,2376,6.6e-05,2.5979
4, a,247,39,0.001202,5.4365
4, an,271,645,0.000175,3.5121
4, used,908,88,0.000706,4.9049
4, generally,3839,1430,0.0001,2.9531
4, the,253,440,0.000221,3.7418
4, typically,5431,3597,5e-05,2.2588
4, one,581,196,0.000379,4.2819
4, provided,2530,2330,7.1e-05,2.6083
4, often,2223,6551,3e-05,1.7373
4, defined,2931,1559,9.4e-05,2.89
5, a,247,97,0.00057,4.614
5, an,271,352,0.000246,3.7732
5, used,908,13,0.002349,6.0297
5, generally,3839,246,0.000306,3.9903
5, the,253,388,0.000234,3.7218
5, typically,5431,209,0.000337,4.089
5, one,581,227,0.000318,4.0298
5, provided,2530,1113,0.000117,3.0261
5, often,2223,762,0.000154,3.3017
5, defined,2931,573,0.000182,3.4738
6, a,247,56,0.001041,5.2722
6, an,271,151,0.000504,4.5466
6, used,908,3,0.00649,7.102
6, generally,3839,63,0.000971,5.2022
6, the,253,100,0.000665,4.8244
6, typically,5431,43,0.001265,5.4668
6, one,581,37,0.001338,5.5228
6, provided,2530,270,0.000334,4.1359
6, often,2223,88,0.000732,4.9201
6, defined,2931,128,0.000561,4.6538
7, a,247,19,0.002739,6.4192
7, an,271,53,0.001326,5.6941
7, used,908,1,0.027676,8.7322
7, generally,3839,12,0.00395,6.7854
7, the,253,80,0.000952,5.3628
7, typically,5431,6,0.005002,7.0216
7, one,581,15,0.00325,6.5902
7, provided,2530,40,0.00165,5.9121
7, often,2223,18,0.002747,6.422
7, defined,2931,60,0.001182,5.5786
8, a,247,33,0.001486,5.684
8, an,271,80,0.000835,5.1078
8, used,908,1,0.024309,8.4787
8, generally,3839,4,0.008726,7.4541
8, the,253,88,0.000803,5.0685
8, typically,5431,3,0.008848,7.4681
8, one,581,17,0.002413,6.1689
8, provided,2530,25,0.001892,5.9254
8, often,2223,5,0.007875,7.3515
8, defined,2931,52,0.001132,5.4116
9, a,247,47,0.001164,5.5403
9, an,271,44,0.001253,5.6138
9, used,908,5,0.011482,7.8293
9, generally,3839,2,0.026696,8.6731
9, the,253,83,0.000764,5.1193
9, typically,5431,1,0.02746,8.7013
9, one,581,27,0.001793,5.9725
9, provided,2530,37,0.00141,5.7318
9, often,2223,4,0.021456,8.4546
9, defined,2931,60,0.001026,5.414
10, a,247,81,0.000734,4.8962
10, an,271,74,0.000761,4.932
10, used,908,5,0.010653,7.5716
10, generally,3839,1,0.021556,8.2764
10, the,253,56,0.000891,5.0902
10, typically,5431,2,0.017777,8.0836
10, one,581,34,0.001301,5.469
10, provided,2530,36,0.001281,5.4533
10, often,2223,3,0.014692,7.8931
10, defined,2931,42,0.001091,5.2924
11, a,247,36,0.001496,5.8391
11, an,271,42,0.001277,5.6812
11, used,908,5,0.011104,7.8436
11, generally,3839,2,0.028035,8.7697
11, the,253,67,0.000962,5.3978
11, typically,5431,1,0.037324,9.0559
11, one,581,18,0.002363,6.2961
11, provided,2530,48,0.001118,5.5478
11, often,2223,3,0.027289,8.7428
11, defined,2931,39,0.001347,5.7344
12, a,247,9,0.004683,7.0915
