layer,token,token_id,rank,prob,logit
0, the,253,5928,0.0,15.121
0, a,247,2451,0.0,18.3409
0, images,3888,46,0.000161,27.6154
0, information,1491,251,5e-06,24.1566
0,"
",187,19586,0.0,8.0032
0, and,285,1042,0.0,20.8738
0,",",13,4308,0.0,16.4218
0, content,2600,9103,0.0,13.1514
0, video,3492,3814,0.0,16.8945
0, an,271,3361,0.0,17.3425
1, the,253,3853,0.0,16.2353
1, a,247,1322,0.0,19.5285
1, images,3888,10,0.003967,29.4321
1, information,1491,104,6.8e-05,25.3595
1,"
",187,23578,0.0,5.4843
1, and,285,1076,0.0,20.1181
1,",",13,3330,0.0,16.7594
1, content,2600,5714,0.0,14.665
1, video,3492,203,1.7e-05,23.9618
1, an,271,1722,0.0,18.795
2, the,253,8690,0.0,13.5641
2, a,247,3779,0.0,17.2901
2, images,3888,102,4.5e-05,26.6933
2, information,1491,386,3e-06,23.9679
2,"
",187,21285,0.0,6.7786
2, and,285,837,0.0,22.0086
2,",",13,4193,0.0,16.9054
2, content,2600,1527,0.0,20.3655
2, video,3492,391,3e-06,23.9522
2, an,271,3513,0.0,17.5785
3, the,253,10151,0.0,11.2551
3, a,247,5824,0.0,14.0718
3, images,3888,54,8.1e-05,27.1225
3, information,1491,1074,0.0,19.9666
3,"
",187,9052,0.0,11.8896
3, and,285,377,1e-06,22.7931
3,",",13,2333,0.0,17.5087
3, content,2600,790,0.0,20.782
3, video,3492,1332,0.0,19.3261
3, an,271,6822,0.0,13.2963
4, the,253,7682,0.0,13.0502
4, a,247,5305,0.0,14.8889
4, images,3888,167,7.8e-05,25.8077
4, information,1491,1222,0.0,20.4417
4,"
",187,3113,0.0,17.1532
4, and,285,631,3e-06,22.4649
4,",",13,741,2e-06,21.9913
4, content,2600,389,1e-05,23.7731
4, video,3492,5979,0.0,14.299
4, an,271,7868,0.0,12.9202
5, the,253,7007,0.0,13.3199
5, a,247,4777,0.0,14.9811
5, images,3888,285,2.8e-05,23.2327
5, information,1491,892,2e-06,20.3688
5,"
",187,7693,0.0,12.8628
5, and,285,1503,0.0,18.974
5,",",13,4558,0.0,15.2117
5, content,2600,2033,0.0,18.0459
5, video,3492,2746,0.0,17.0829
5, an,271,6752,0.0,13.4997
6, the,253,8721,0.0,12.2206
6, a,247,3898,0.0,15.7637
6, images,3888,423,9e-06,22.3643
6, information,1491,257,2.6e-05,23.423
6,"
",187,8469,0.0,12.3938
6, and,285,4966,0.0,14.8001
6,",",13,12087,0.0,10.3763
6, content,2600,1313,0.0,19.3393
6, video,3492,736,2e-06,20.8169
6, an,271,4563,0.0,15.1378
7, the,253,6845,0.0,14.104
7, a,247,3888,0.0,16.4398
7, images,3888,84,0.000456,26.0562
7, information,1491,48,0.001074,26.9137
7,"
",187,8988,0.0,12.7092
7, and,285,4455,0.0,15.9013
7,",",13,12202,0.0,10.958
7, content,2600,41,0.001416,27.1905
7, video,3492,305,3.8e-05,23.579
7, an,271,5484,0.0,15.0653
8, the,253,1846,0.0,19.8426
8, a,247,3865,0.0,16.9753
8, images,3888,31,0.000697,30.7762
8, information,1491,18,0.003382,32.3562
8,"
",187,1346,0.0,20.9893
8, and,285,1960,0.0,19.6105
8,",",13,5753,0.0,15.1743
8, content,2600,108,5.9e-05,28.3033
8, video,3492,86,8.8e-05,28.7079
8, an,271,5443,0.0,15.4209
9, the,253,711,0.0,23.3421
9, a,247,603,0.0,23.9881
9, images,3888,23,0.000284,33.5682
9, information,1491,7,0.004543,36.3412
9,"
",187,329,0.0,25.8086
9, and,285,479,0.0,24.6685
9,",",13,3118,0.0,17.3975
9, content,2600,57,2.7e-05,31.2262
9, video,3492,31,0.000139,32.8566
9, an,271,684,0.0,23.5121
10, the,253,395,1e-06,27.7612
10, a,247,328,2e-06,28.2679
10, images,3888,12,0.008469,36.4533
10, information,1491,3,0.038483,37.9671
10,"
",187,1321,0.0,23.7199
10, and,285,582,0.0,26.555
10,",",13,2061,0.0,22.0643
10, content,2600,9,0.010922,36.7077
10, video,3492,68,0.00017,32.5472
10, an,271,337,2e-06,28.2222
11, the,253,1,0.058241,28.7136
11, a,247,2,0.05131,28.5869
11, images,3888,3,0.02468,27.855
11, information,1491,4,0.024572,27.8506
11,"
",187,5,0.021992,27.7397
11, and,285,6,0.020243,27.6568
11,",",13,7,0.01466,27.3341
11, content,2600,8,0.014387,27.3153
11, video,3492,9,0.013895,27.2805
11, an,271,10,0.012029,27.1363
