layer,token,token_id,rank,prob,logit
0, it,352,13799,0.0,8.9205
0, the,253,2820,0.0,16.0562
0, of,273,995,0.0,19.2982
0, a,247,17258,0.0,7.3421
0, color,3295,3660,0.0,15.1345
0, there,627,7635,0.0,12.0952
0, you,368,24141,0.0,4.4442
0, many,1142,78,0.000127,25.2688
0, we,359,417,3e-06,21.5582
0, its,697,264,8e-06,22.4881
1, it,352,10967,0.0,10.9483
1, the,253,2347,0.0,17.925
1, of,273,1939,0.0,18.5964
1, a,247,11065,0.0,10.8913
1, color,3295,1495,0.0,19.4914
1, there,627,7307,0.0,13.1736
1, you,368,19208,0.0,6.6276
1, many,1142,40,0.000663,28.0507
1, we,359,244,1.4e-05,24.2042
1, its,697,600,2e-06,21.9799
2, it,352,5511,0.0,14.6383
2, the,253,1819,0.0,18.7922
2, of,273,1133,0.0,20.2922
2, a,247,9646,0.0,11.8836
2, color,3295,445,1e-06,22.6815
2, there,627,6570,0.0,13.8807
2, you,368,12811,0.0,10.1178
2, many,1142,67,3e-05,26.5662
2, we,359,114,1.1e-05,25.5457
2, its,697,156,6e-06,25.0187
3, it,352,3692,0.0,15.0391
3, the,253,2649,0.0,16.4411
3, of,273,541,1e-06,21.7737
3, a,247,7265,0.0,11.9176
3, color,3295,2724,0.0,16.3316
3, there,627,3433,0.0,15.3329
3, you,368,6136,0.0,12.7694
3, many,1142,9,0.008419,30.8054
3, we,359,420,2e-06,22.4823
3, its,697,753,0.0,20.754
4, it,352,9892,0.0,11.2499
4, the,253,5452,0.0,14.6713
4, of,273,590,0.0,23.0481
4, a,247,13939,0.0,8.8644
4, color,3295,450,0.0,23.8974
4, there,627,5721,0.0,14.4229
4, you,368,13186,0.0,9.2952
4, many,1142,23,0.000197,30.8311
4, we,359,2073,0.0,18.9758
4, its,697,3487,0.0,16.8972
5, it,352,2101,0.0,19.5502
5, the,253,1136,0.0,21.5518
5, of,273,147,0.0,26.9019
5, a,247,6808,0.0,14.4093
5, color,3295,1404,0.0,20.8532
5, there,627,347,0.0,24.912
5, you,368,6723,0.0,14.4807
5, many,1142,5,0.001697,35.4517
5, we,359,119,1e-06,27.3557
5, its,697,3548,0.0,17.4997
6, it,352,446,0.0,22.7357
6, the,253,3869,0.0,15.5551
6, of,273,726,0.0,21.3925
6, a,247,12364,0.0,9.5889
6, color,3295,6817,0.0,13.0046
6, there,627,171,0.0,25.1728
6, you,368,7597,0.0,12.4842
6, many,1142,2,0.051306,37.6722
6, we,359,173,0.0,25.1405
6, its,697,2909,0.0,16.7134
7, it,352,97,2.9e-05,26.789
7, the,253,1179,0.0,20.1789
7, of,273,1180,0.0,20.177
7, a,247,4256,0.0,15.3024
7, color,3295,94,3.1e-05,26.8808
7, there,627,170,8e-06,25.5635
7, you,368,3734,0.0,15.8869
7, many,1142,4,0.020056,33.3404
7, we,359,502,1e-06,22.7954
7, its,697,277,3e-06,24.4472
8, it,352,2,0.000738,39.5995
8, the,253,142,0.0,28.6338
8, of,273,386,0.0,25.6553
8, a,247,1025,0.0,22.45
8, color,3295,1,0.997666,46.8091
8, there,627,32,1e-06,33.2013
8, you,368,910,0.0,22.8982
8, many,1142,8,7.9e-05,37.3684
8, we,359,60,0.0,30.8153
8, its,697,36,1e-06,32.5071
9, it,352,2,0.084697,48.4426
9, the,253,52,0.0,35.2215
9, of,273,54,0.0,35.158
9, a,247,233,0.0,29.6442
9, color,3295,1,0.903387,50.8097
9, there,627,9,0.000135,42.0024
9, you,368,114,0.0,32.2719
9, many,1142,3,0.007014,45.9514
9, we,359,37,1e-06,36.8085
9, its,697,31,1e-06,37.304
10, it,352,3,0.008106,46.3841
10, the,253,39,1e-06,36.8843
10, of,273,179,0.0,31.7711
10, a,247,248,0.0,30.7101
10, color,3295,1,0.976945,51.176
10, there,627,48,0.0,36.2661
10, you,368,426,0.0,28.6726
10, many,1142,11,3.6e-05,40.9667
10, we,359,123,0.0,33.13
10, its,697,52,0.0,36.0804
11, it,352,1,0.483485,32.8485
11, the,253,2,0.095669,31.2284
11, of,273,3,0.073565,30.9656
11, a,247,4,0.02113,29.7181
11, color,3295,5,0.019742,29.6502
11, there,627,6,0.011427,29.1035
11, you,368,7,0.01093,29.059
11, many,1142,8,0.010045,28.9745
11, we,359,9,0.007424,28.6722
11, its,697,10,0.006776,28.5809
