layer,token,token_id,rank,prob,logit
0, a,247,970,0.0,19.0265
0, an,271,422,3e-06,21.1749
0, used,908,1757,0.0,17.2912
0, able,2104,10845,0.0,10.3533
0, the,253,890,0.0,19.2281
0, typically,5431,136,4.4e-05,23.9194
0, not,417,224,1.3e-05,22.679
0, one,581,186,2.1e-05,23.1939
0, known,1929,22,0.001394,27.3785
0, generally,3839,99,7.7e-05,24.4875
1, a,247,1263,0.0,20.1217
1, an,271,257,1e-06,24.594
1, used,908,536,0.0,22.7461
1, able,2104,3097,0.0,17.011
1, the,253,581,0.0,22.5014
1, typically,5431,71,2.8e-05,27.6151
1, not,417,485,0.0,23.0875
1, one,581,422,0.0,23.4277
1, known,1929,34,0.000133,29.1598
1, generally,3839,67,3.5e-05,27.8301
2, a,247,273,0.0,24.2666
2, an,271,139,0.0,26.2613
2, used,908,185,0.0,25.423
2, able,2104,727,0.0,21.6834
2, the,253,359,0.0,23.5516
2, typically,5431,15,2.4e-05,31.0925
2, not,417,148,0.0,26.0573
2, one,581,254,0.0,24.3863
2, known,1929,49,2e-06,28.4427
2, generally,3839,6,0.000473,34.0763
3, a,247,4158,0.0,15.1814
3, an,271,4300,0.0,15.0326
3, used,908,69,0.0,28.1447
3, able,2104,179,0.0,25.5881
3, the,253,1380,0.0,19.5291
3, typically,5431,8,0.000388,35.042
3, not,417,101,0.0,27.0726
3, one,581,593,0.0,22.1599
3, known,1929,85,0.0,27.6189
3, generally,3839,5,0.00073,35.6741
4, a,247,927,0.0,22.3707
4, an,271,1099,0.0,21.7009
4, used,908,106,0.0,29.0304
4, able,2104,147,0.0,28.0908
4, the,253,353,0.0,25.5417
4, typically,5431,2,0.016719,40.6085
4, not,417,224,0.0,26.756
4, one,581,95,0.0,29.3316
4, known,1929,39,2e-06,31.3063
4, generally,3839,5,0.005401,39.4785
5, a,247,149,0.0,27.724
5, an,271,98,0.0,28.7611
5, used,908,119,0.0,28.175
5, able,2104,61,1e-06,30.1748
5, the,253,211,0.0,26.8063
5, typically,5431,3,0.183493,42.9801
5, not,417,134,0.0,27.9561
5, one,581,19,1.3e-05,33.3957
5, known,1929,129,0.0,28.0077
5, generally,3839,2,0.284368,43.4182
6, a,247,89,0.0,32.33
6, an,271,26,4e-06,36.1199
6, used,908,78,0.0,32.8818
6, able,2104,14,2.5e-05,37.9294
6, the,253,365,0.0,27.658
6, typically,5431,1,0.53216,47.909
6, not,417,67,0.0,33.1935
6, one,581,30,3e-06,35.6987
6, known,1929,37,2e-06,35.1978
6, generally,3839,2,0.402397,47.6295
7, a,247,102,4e-06,30.196
7, an,271,92,6e-06,30.5278
7, used,908,264,0.0,27.2728
7, able,2104,15,0.000677,35.2759
7, the,253,632,0.0,24.3076
7, typically,5431,2,0.022377,38.7744
7, not,417,13,0.000975,35.6407
7, one,581,19,0.000343,34.5974
7, known,1929,3,0.014166,38.3171
7, generally,3839,4,0.009659,37.9342
8, a,247,24,4e-06,35.625
8, an,271,17,1.1e-05,36.5965
8, used,908,61,0.0,31.9768
8, able,2104,29,2e-06,34.7054
8, the,253,587,0.0,23.4963
8, typically,5431,1,0.756467,47.7101
8, not,417,16,1.6e-05,36.943
8, one,581,67,0.0,31.6065
8, known,1929,10,8.2e-05,38.5806
8, generally,3839,2,0.161895,46.1684
9, a,247,6,0.002968,42.8222
9, an,271,3,0.036076,45.32
9, used,908,15,3.8e-05,38.4521
9, able,2104,31,4e-06,36.1624
9, the,253,158,0.0,30.4935
9, typically,5431,2,0.244757,47.2347
9, not,417,17,2.5e-05,38.0311
9, one,581,22,1.2e-05,37.2803
9, known,1929,23,8e-06,36.8558
9, generally,3839,1,0.693201,48.2757
10, a,247,7,0.051366,47.4223
10, an,271,5,0.078579,47.8475
10, used,908,100,0.0,35.0692
10, able,2104,18,0.00011,41.2753
10, the,253,112,0.0,34.5818
10, typically,5431,1,0.346664,49.3317
10, not,417,20,5.4e-05,40.5679
10, one,581,42,3e-06,37.6507
10, known,1929,11,0.000246,42.0825
10, generally,3839,2,0.178236,48.6665
11, a,247,1,0.497284,33.7775
11, an,271,2,0.120133,32.3569
11, used,908,3,0.018372,30.4792
11, able,2104,4,0.015108,30.2835
11, the,253,5,0.011529,30.0132
11, typically,5431,6,0.011041,29.9699
11, not,417,7,0.010574,29.9268
11, one,581,8,0.009125,29.7793
11, known,1929,9,0.008056,29.6547
11, generally,3839,10,0.007974,29.6445
