layer,token,token_id,rank,prob,logit
0, to,281,181,0.000446,4.5529
0, not,417,6,0.005419,7.0505
0,:,27,731,0.000167,3.5734
0, the,253,22,0.002016,6.0619
0, that,326,407,0.000255,3.9955
0, for,323,827,0.000151,3.4733
0, as,347,516,0.000219,3.8432
0,"
",187,5721,3.2e-05,1.9076
0, simply,3365,1772,8.5e-05,2.898
0, simple,2969,1149,0.000119,3.2296
1, to,281,114,0.000738,5.138
1, not,417,1,0.031057,8.8771
1,:,27,720,0.000162,3.6204
1, the,253,7,0.004714,6.9919
1, that,326,93,0.000846,5.2745
1, for,323,446,0.000232,3.9808
1, as,347,1224,0.000109,3.2225
1,"
",187,1513,9.3e-05,3.07
1, simply,3365,227,0.000407,4.5431
1, simple,2969,603,0.000183,3.7435
2, to,281,28,0.002369,6.3868
2, not,417,1,0.022978,8.659
2,:,27,220,0.000439,4.7002
2, the,253,8,0.006854,7.4493
2, that,326,82,0.000979,5.5032
2, for,323,197,0.000471,4.7724
2, as,347,327,0.000298,4.3153
2,"
",187,114,0.000722,5.1984
2, simply,3365,35,0.001945,6.1896
2, simple,2969,107,0.000747,5.2323
3, to,281,96,0.000828,5.3117
3, not,417,10,0.003648,6.7949
3,:,27,194,0.000499,4.8048
3, the,253,16,0.002389,6.3715
3, that,326,841,0.000166,3.7044
3, for,323,38,0.001421,5.8516
3, as,347,2430,7.1e-05,2.8497
3,"
",187,163,0.000542,4.8883
3, simply,3365,50,0.001186,5.6712
3, simple,2969,287,0.000374,4.5167
4, to,281,236,0.000432,4.7064
4, not,417,12,0.003948,6.9191
4,:,27,147,0.000577,4.9968
4, the,253,18,0.002957,6.63
4, that,326,376,0.00028,4.2717
4, for,323,57,0.001229,5.7521
4, as,347,1668,8.7e-05,3.1019
4,"
",187,825,0.000158,3.7037
4, simply,3365,61,0.001138,5.6748
4, simple,2969,202,0.000473,4.7983
5, to,281,43,0.001495,6.0604
5, not,417,18,0.004234,7.1012
5,:,27,40,0.001624,6.1432
5, the,253,31,0.002278,6.4815
5, that,326,728,0.000169,3.8782
5, for,323,125,0.000645,5.2198
5, as,347,925,0.000141,3.7014
5,"
",187,140,0.00059,5.1297
5, simply,3365,8,0.00783,7.716
5, simple,2969,86,0.000839,5.4825
6, to,281,32,0.002007,6.4483
6, not,417,2,0.014618,8.4341
6,:,27,249,0.000447,4.9456
6, the,253,21,0.002514,6.6737
6, that,326,53,0.001324,6.0328
6, for,323,36,0.001733,6.3018
6, as,347,608,0.000212,4.2007
6,"
",187,43,0.001528,6.1756
6, simply,3365,16,0.003186,6.9105
6, simple,2969,56,0.001276,5.9955
7, to,281,74,0.000893,5.4885
7, not,417,10,0.00531,7.2718
7,:,27,306,0.000327,4.4855
7, the,253,153,0.000561,5.0247
7, that,326,2134,7.4e-05,2.9978
7, for,323,308,0.000325,4.4787
7, as,347,1860,8.4e-05,3.1217
7,"
",187,804,0.000163,3.7873
7, simply,3365,14,0.003039,6.7136
7, simple,2969,207,0.000455,4.8154
8, to,281,18,0.004894,7.7065
8, not,417,2,0.042031,9.8569
8,:,27,79,0.001118,6.2299
8, the,253,37,0.002358,6.9764
8, that,326,686,0.000156,4.2628
8, for,323,119,0.000768,5.854
8, as,347,110,0.000837,5.9399
