layer,token,token_id,rank,prob,logit
0, you,368,205,0.000325,4.6338
0, users,4212,1235,9.2e-05,3.3659
0, the,253,48,0.000698,5.3968
0, for,323,3,0.011682,8.2146
0, a,247,472,0.000194,4.1177
0, us,441,2,0.021652,8.8317
0, your,634,17018,6e-06,0.7037
0, me,479,100,0.000505,5.0729
0, people,952,816,0.000127,3.6938
0, an,271,463,0.000197,4.1345
1, you,368,133,0.000531,4.7363
1, users,4212,17,0.002175,6.1454
1, the,253,10,0.003656,6.6647
1, for,323,2,0.016244,8.1561
1, a,247,43,0.001078,5.4438
1, us,441,3,0.007653,7.4036
1, your,634,24864,5e-06,0.0392
1, me,479,487,0.000231,3.9047
1, people,952,529,0.000217,3.8399
1, an,271,238,0.000371,4.3771
2, you,368,26,0.002041,6.319
2, users,4212,9,0.004178,7.0355
2, the,253,7,0.007125,7.5692
2, for,323,1,0.032122,9.0752
2, a,247,34,0.001523,6.0264
2, us,441,2,0.018715,8.535
2, your,634,19858,6e-06,0.4693
2, me,479,121,0.000636,5.153
2, people,952,555,0.000217,4.0769
2, an,271,141,0.000569,5.0409
3, you,368,93,0.000702,5.4739
3, users,4212,20,0.002056,6.5489
3, the,253,6,0.009038,8.0294
3, for,323,1,0.121799,10.6303
3, a,247,9,0.006152,7.6447
3, us,441,4,0.015743,8.5844
3, your,634,10488,1.3e-05,1.4521
3, me,479,11,0.003845,7.1749
3, people,952,657,0.000168,4.0462
3, an,271,74,0.000806,5.6121
4, you,368,33,0.001245,5.7306
4, users,4212,21,0.00155,5.9497
4, the,253,6,0.00564,7.2415
4, for,323,2,0.021064,8.5591
4, a,247,15,0.001924,6.1658
4, us,441,4,0.017238,8.3587
4, your,634,9723,1.8e-05,1.4765
4, me,479,10,0.002713,6.5095
4, people,952,2103,8e-05,2.9808
4, an,271,149,0.000503,4.8243
5, you,368,33,0.00147,6.0271
5, users,4212,8,0.004167,7.0691
5, the,253,7,0.005613,7.3669
5, for,323,4,0.0184,8.5542
5, a,247,32,0.001534,6.0699
5, us,441,1,0.03847,9.2917
5, your,634,3902,4.1e-05,2.4535
5, me,479,11,0.003488,6.8911
5, people,952,1083,0.000125,3.5656
5, an,271,58,0.001082,5.7203
6, you,368,18,0.002134,6.4282
6, users,4212,10,0.006226,7.4991
6, the,253,9,0.006504,7.5428
6, for,323,7,0.007333,7.6628
6, a,247,16,0.002339,6.52
6, us,441,1,0.031993,9.1359
6, your,634,370,0.000296,4.4545
6, me,479,12,0.003821,7.0108
6, people,952,1447,0.000103,3.397
6, an,271,22,0.001881,6.3024
7, you,368,9,0.005891,7.5625
7, users,4212,14,0.004006,7.1769
7, the,253,8,0.006231,7.6186
7, for,323,7,0.007893,7.855
7, a,247,11,0.004209,7.2263
7, us,441,1,0.097764,10.3716
7, your,634,438,0.000249,4.3974
7, me,479,6,0.009646,8.0556
7, people,952,401,0.00026,4.4421
7, an,271,16,0.003034,6.8989
8, you,368,3,0.022694,9.2449
8, users,4212,4,0.020407,9.1386
8, the,253,7,0.010991,8.5198
8, for,323,8,0.007862,8.1849
8, a,247,13,0.004504,7.6278
8, us,441,1,0.172318,11.2721
8, your,634,79,0.000789,5.8852
8, me,479,18,0.003275,7.3089
8, people,952,89,0.000753,5.8386
8, an,271,64,0.001068,6.1882
9, you,368,4,0.046073,11.4519
9, users,4212,2,0.102967,12.2561
9, the,253,5,0.017659,10.4929
9, for,323,6,0.011492,10.0633
9, a,247,15,0.003154,8.7703
9, us,441,1,0.480425,13.7963
9, your,634,55,0.000656,7.2003
9, me,479,22,0.002152,8.388
9, people,952,24,0.001959,8.294
9, an,271,39,0.001011,7.6326
10, you,368,2,0.318642,14.3401
10, users,4212,3,0.119306,13.3578
10, the,253,6,0.015206,11.2977
10, for,323,4,0.018961,11.5184
10, a,247,12,0.002454,9.4738
10, us,441,1,0.337427,14.3974
10, your,634,21,0.001882,9.2086
10, me,479,35,0.0009,8.4713
10, people,952,18,0.001999,9.2689
10, an,271,44,0.000589,8.0474
11, you,368,4,0.047088,15.3606
11, users,4212,1,0.643319,17.9752
11, the,253,7,0.005992,13.299
11, for,323,5,0.016108,14.2878
11, a,247,13,0.001267,11.7452
11, us,441,2,0.153972,16.5453
11, your,634,35,0.000252,10.1313
11, me,479,10,0.001857,12.1277
11, people,952,17,0.000809,11.2961
11, an,271,40,0.000213,9.9623
12, you,368,3,0.149969,16.1767
12, users,4212,1,0.395172,17.1456
12, the,253,6,0.016249,13.9543
12, for,323,4,0.065537,15.3489
12, a,247,8,0.005645,12.8971
12, us,441,2,0.243367,16.6609
12, your,634,18,0.001019,11.1853
12, me,479,7,0.006865,13.0927
12, people,952,10,0.002531,12.0948
12, an,271,22,0.000889,11.0482
13, you,368,4,0.056551,14.0557
13, users,4212,2,0.25092,15.5456
13, the,253,5,0.050061,13.9338
13, for,323,1,0.349006,15.8756
13, a,247,7,0.017589,12.8878
13, us,441,6,0.046263,13.8548
13, your,634,27,0.001335,10.3094
13, me,479,12,0.004017,11.411
13, people,952,13,0.003385,11.24
13, an,271,16,0.002452,10.9174
14, you,368,2,0.15566,16.4234
14, users,4212,1,0.500259,17.5909
14, the,253,6,0.042558,15.1266
14, for,323,3,0.072478,15.659
14, a,247,7,0.024644,14.5803
14, us,441,4,0.060522,15.4788
14, your,634,12,0.003061,12.4946
