layer,token,token_id,rank,prob,logit
0, you,368,107,0.000864,5.7566
0, to,281,91,0.000994,5.896
0, us,441,23,0.002372,6.7661
0, developers,12259,1026,0.00015,4.0077
0, make,1056,453,0.000298,4.6925
0, in,275,450,0.000303,4.7071
0, the,253,36,0.001561,6.3479
0, with,342,313,0.000392,4.9657
0, people,952,1525,0.000108,3.676
0, users,4212,12672,1e-05,1.2764
1, you,368,169,0.000684,5.7213
1, to,281,25,0.002945,7.1818
1, us,441,108,0.00098,6.0817
1, developers,12259,9963,1.2e-05,1.6695
1, make,1056,87,0.00118,6.2673
1, in,275,55,0.001599,6.5712
1, the,253,24,0.003029,7.2097
1, with,342,56,0.001574,6.5552
1, people,952,1241,0.000125,4.0228
1, users,4212,8397,1.5e-05,1.8892
2, you,368,188,0.000652,5.6636
2, to,281,61,0.001517,6.5086
2, us,441,109,0.000935,6.0243
2, developers,12259,7291,1.9e-05,2.1475
2, make,1056,229,0.000543,5.4811
2, in,275,183,0.00067,5.6904
2, the,253,10,0.005268,7.7533
2, with,342,60,0.001529,6.516
2, people,952,1633,9.6e-05,3.749
2, users,4212,1910,8.4e-05,3.6175
3, you,368,1248,0.000138,3.8833
3, to,281,188,0.000584,5.3264
3, us,441,16,0.00225,6.6748
3, developers,12259,973,0.000169,4.0858
3, make,1056,2439,7.4e-05,3.264
3, in,275,70,0.001126,5.983
3, the,253,79,0.001035,5.8989
3, with,342,60,0.001229,6.0699
3, people,952,96,0.000961,5.824
3, users,4212,1534,0.000114,3.6957
4, you,368,664,0.000218,4.2742
4, to,281,179,0.0006,5.2874
4, us,441,14,0.00304,6.9098
4, developers,12259,2289,7.6e-05,3.2208
4, make,1056,1045,0.000153,3.9194
4, in,275,550,0.000254,4.4276
4, the,253,105,0.000842,5.6263
4, with,342,512,0.000269,4.4829
4, people,952,426,0.000309,4.622
4, users,4212,3621,4.8e-05,2.7688
5, you,368,120,0.000759,5.6643
5, to,281,81,0.000984,5.9248
5, us,441,1,0.04967,9.8461
5, developers,12259,2643,6.1e-05,3.1497
5, make,1056,1054,0.000143,3.9977
5, in,275,188,0.000562,5.3641
5, the,253,121,0.000757,5.6623
5, with,342,540,0.000243,4.5276
5, people,952,284,0.000406,5.0401
5, users,4212,1337,0.000116,3.79
6, you,368,24,0.002189,6.6952
6, to,281,120,0.000667,5.5069
6, us,441,1,0.121137,10.7088
6, developers,12259,1301,0.000108,3.6819
6, make,1056,1915,7.8e-05,3.3555
6, in,275,225,0.000426,5.0588
