layer,token,token_id,rank,prob,logit
0, a,247,13,0.003076,6.5515
0, an,271,82,0.000836,5.2483
0, used,908,1801,8.4e-05,2.9457
0, typically,5431,272,0.000344,4.3603
0, one,581,62,0.000992,5.4202
0, the,253,20,0.002426,6.314
0, basically,10323,263,0.000352,4.3846
0, often,2223,41,0.00134,5.7209
0, generally,3839,309,0.000314,4.2682
0, commonly,7744,822,0.000152,3.5437
1, a,247,4,0.00644,7.2959
1, an,271,23,0.002066,6.159
1, used,908,318,0.000294,4.2105
1, typically,5431,844,0.000146,3.508
1, one,581,10,0.003752,6.7556
1, the,253,11,0.00347,6.6775
1, basically,10323,488,0.000215,3.8969
1, often,2223,296,0.000311,4.2646
1, generally,3839,5066,3.5e-05,2.0896
1, commonly,7744,4721,3.7e-05,2.1493
2, a,247,4,0.00875,7.6548
2, an,271,13,0.004026,6.8787
2, used,908,495,0.000236,4.0414
2, typically,5431,2109,7.5e-05,2.8969
2, one,581,15,0.00322,6.6551
2, the,253,18,0.002709,6.4822
2, basically,10323,1102,0.000124,3.3953
2, often,2223,398,0.000274,4.1926
2, generally,3839,7862,2.2e-05,1.6665
2, commonly,7744,4486,3.9e-05,2.2373
3, a,247,5,0.006987,7.8048
3, an,271,28,0.002546,6.7952
3, used,908,112,0.000804,5.6424
3, typically,5431,167,0.000574,5.306
3, one,581,4,0.008962,8.0537
3, the,253,39,0.001996,6.5517
3, basically,10323,246,0.000433,5.0241
3, often,2223,43,0.001859,6.4806
3, generally,3839,759,0.000175,4.1154
3, commonly,7744,364,0.000323,4.7293
4, a,247,2,0.023712,9.0046
4, an,271,14,0.005942,7.6207
4, used,908,81,0.001061,5.8976
4, typically,5431,12,0.007623,7.8697
4, one,581,8,0.009272,8.0657
4, the,253,42,0.001936,6.499
4, basically,10323,64,0.001265,6.0738
4, often,2223,3,0.013702,8.4562
4, generally,3839,38,0.002129,6.5945
4, commonly,7744,44,0.001812,6.4331
5, a,247,4,0.011252,8.242
5, an,271,27,0.002758,6.836
5, used,908,318,0.000325,4.6966
5, typically,5431,16,0.003541,7.0859
5, one,581,29,0.00252,6.7456
5, the,253,166,0.00059,5.2939
5, basically,10323,9,0.006695,7.7229
5, often,2223,2,0.014063,8.465
5, generally,3839,20,0.003442,7.0576
5, commonly,7744,58,0.001505,6.2304
6, a,247,18,0.006256,8.1743
6, an,271,67,0.001247,6.5613
6, used,908,35,0.002824,7.3789
6, typically,5431,5,0.020468,9.3597
6, one,581,65,0.001257,6.5692
6, the,253,40,0.002204,7.131
6, basically,10323,3,0.024529,9.5407
6, often,2223,2,0.03237,9.8181
6, generally,3839,10,0.01234,8.8537
6, commonly,7744,16,0.007766,8.3906
7, a,247,16,0.009124,8.9075
7, an,271,94,0.000896,6.587
7, used,908,63,0.001289,6.9504
7, typically,5431,3,0.04581,10.5211
7, one,581,48,0.001557,7.1391
7, the,253,35,0.002724,7.6986
7, basically,10323,4,0.044543,10.4931
7, often,2223,1,0.05922,10.7779
7, generally,3839,6,0.025213,9.9239
7, commonly,7744,11,0.018554,9.6172
8, a,247,4,0.060183,11.2232
8, an,271,27,0.002772,8.1456
8, used,908,52,0.001382,7.4496
8, typically,5431,2,0.09092,11.6358
8, one,581,26,0.003018,8.2304
8, the,253,21,0.004077,8.5313
8, basically,10323,1,0.095756,11.6876
8, often,2223,3,0.077382,11.4746
8, generally,3839,5,0.059368,11.2096
8, commonly,7744,8,0.030466,10.5424
9, a,247,3,0.113955,13.2008
9, an,271,18,0.007548,10.4863
9, used,908,19,0.007222,10.4421
9, typically,5431,1,0.140538,13.4105
9, one,581,26,0.003803,9.8009
9, the,253,33,0.002889,9.5261
9, basically,10323,2,0.123622,13.2822
9, often,2223,8,0.030574,11.8851
9, generally,3839,5,0.05304,12.436
