layer,token,token_id,rank,prob,logit
0, text,2505,31380,0.0,-0.6074
0, the,253,8120,4e-06,2.1414
0, capt,3403,39617,0.0,-1.7367
0, a,247,2998,1.4e-05,3.3761
0, subt,8482,14594,2e-06,1.2496
0, on,327,2037,2.2e-05,3.8039
0, audio,9797,10718,3e-06,1.7506
0, caption,11743,1276,3.5e-05,4.2808
0, an,271,1471,3e-05,4.1277
0, in,275,14788,2e-06,1.2262
1, text,2505,28688,1e-06,-0.3195
1, the,253,15317,4e-06,1.1038
1, capt,3403,37092,0.0,-1.3042
1, a,247,6449,1.2e-05,2.3475
1, subt,8482,19201,2e-06,0.6714
1, on,327,2740,3.4e-05,3.3631
1, audio,9797,2601,3.6e-05,3.4249
1, caption,11743,2127,4.5e-05,3.6366
1, an,271,2593,3.6e-05,3.4293
1, in,275,13693,4e-06,1.2799
2, text,2505,30176,1e-06,-0.4582
2, the,253,11742,1e-05,1.4139
2, capt,3403,18218,5e-06,0.7138
2, a,247,5176,2.8e-05,2.4623
2, subt,8482,21525,4e-06,0.3978
2, on,327,1055,0.000139,4.076
2, audio,9797,2696,5.6e-05,3.1596
2, caption,11743,580,0.000238,4.6137
2, an,271,2493,6e-05,3.2423
2, in,275,9144,1.4e-05,1.7648
3, text,2505,34730,1e-06,-0.9179
3, the,253,7003,2e-05,2.0649
3, capt,3403,25539,3e-06,0.0094
3, a,247,6061,2.4e-05,2.2353
3, subt,8482,22614,3e-06,0.2886
3, on,327,1377,0.000106,3.7278
3, audio,9797,3009,5e-05,2.9783
3, caption,11743,611,0.000216,4.4357
3, an,271,3689,4.1e-05,2.7696
3, in,275,6729,2.1e-05,2.1113
4, text,2505,12065,1.1e-05,1.3251
4, the,253,3498,4.6e-05,2.7721
4, capt,3403,30694,2e-06,-0.4971
4, a,247,3207,5.1e-05,2.8589
4, subt,8482,20753,4e-06,0.4289
4, on,327,614,0.000211,4.286
4, audio,9797,2745,5.8e-05,3.0035
4, caption,11743,807,0.00017,4.069
4, an,271,1712,9.1e-05,3.4444
4, in,275,7377,2.1e-05,1.9763
5, text,2505,8106,2.2e-05,1.8017
5, the,253,3742,5e-05,2.6254
5, capt,3403,30414,2e-06,-0.455
5, a,247,3841,4.8e-05,2.6031
5, subt,8482,19076,6e-06,0.5709
5, on,327,334,0.000351,4.5836
5, audio,9797,4599,4.1e-05,2.4322
5, caption,11743,589,0.000229,4.1545
5, an,271,3820,4.9e-05,2.6092
5, in,275,6657,2.8e-05,2.0374
6, text,2505,34857,1e-06,-0.9201
6, the,253,11025,1.4e-05,1.4212
6, capt,3403,26222,3e-06,-0.0946
6, a,247,11396,1.3e-05,1.3764
6, subt,8482,18965,6e-06,0.5745
6, on,327,6951,2.5e-05,2.0146
6, audio,9797,5273,3.4e-05,2.3165
6, caption,11743,605,0.00022,4.182
6, an,271,9150,1.8e-05,1.6703
6, in,275,27210,3e-06,-0.1831
7, text,2505,38286,1e-06,-1.2554
7, the,253,4090,4.5e-05,2.4896
7, capt,3403,22519,5e-06,0.2354
7, a,247,10041,1.7e-05,1.5065
7, subt,8482,14809,1e-05,0.9707
7, on,327,8604,2e-05,1.6852
7, audio,9797,6079,3e-05,2.085
7, caption,11743,2056,8.5e-05,3.1169
7, an,271,10058,1.7e-05,1.5043
7, in,275,20682,6e-06,0.4045
8, text,2505,36095,1e-06,-1.0312
8, the,253,13642,1.1e-05,1.1151
8, capt,3403,11575,1.4e-05,1.3462
8, a,247,14736,1e-05,1.0012
8, subt,8482,8074,2.2e-05,1.7958
8, on,327,6217,3e-05,2.0963
8, audio,9797,5329,3.5e-05,2.2673
8, caption,11743,879,0.00017,3.837
8, an,271,11444,1.4e-05,1.3612
8, in,275,28161,3e-06,-0.2632
9, text,2505,32766,2e-06,-0.6856
9, the,253,10778,1.6e-05,1.4129
9, capt,3403,13410,1.2e-05,1.1146
9, a,247,15305,1e-05,0.9247
9, subt,8482,5344,3.6e-05,2.22
9, on,327,7228,2.6e-05,1.8963
9, audio,9797,4541,4.2e-05,2.3747
9, caption,11743,700,0.000201,3.9349
9, an,271,10090,1.8e-05,1.4937
9, in,275,29389,3e-06,-0.3739
10, text,2505,21001,5e-06,0.3752
10, the,253,17449,7e-06,0.7129
10, capt,3403,29240,3e-06,-0.3662
10, a,247,18487,7e-06,0.6139
10, subt,8482,9451,1.8e-05,1.5934
10, on,327,9102,1.9e-05,1.6386
10, audio,9797,2089,8.2e-05,3.1094
10, caption,11743,475,0.000258,4.2601
10, an,271,9788,1.7e-05,1.5547
10, in,275,34262,2e-06,-0.8305
11, text,2505,25629,3e-06,-0.0452
11, the,253,29573,2e-06,-0.3932
