layer,token,token_id,rank,prob,logit
0, it,352,24359,0.0,0.1765
0, color,3295,35566,0.0,-1.1952
0, of,273,7473,1e-06,2.3516
0, the,253,38981,0.0,-1.7116
0,",",13,46826,0.0,-3.6958
0, colors,9830,35723,0.0,-1.2161
0, people,952,27284,0.0,-0.1513
0, a,247,38471,0.0,-1.6273
0, many,1142,38597,0.0,-1.6487
0, we,359,22837,0.0,0.3503
1, it,352,23750,0.0,0.2305
1, color,3295,30896,0.0,-0.573
1, of,273,1809,1.9e-05,4.0679
1, the,253,35921,0.0,-1.2228
1,",",13,45727,0.0,-3.1637
1, colors,9830,27056,0.0,-0.1348
1, people,952,27483,0.0,-0.1866
1, a,247,37860,0.0,-1.4953
1, many,1142,29719,0.0,-0.4428
1, we,359,14236,1e-06,1.319
2, it,352,27167,0.0,-0.1718
2, color,3295,28477,0.0,-0.3143
2, of,273,8892,3e-06,1.9838
2, the,253,44973,0.0,-2.8112
2,",",13,49528,0.0,-4.9733
2, colors,9830,22010,1e-06,0.3874
2, people,952,39328,0.0,-1.674
2, a,247,45065,0.0,-2.8362
2, many,1142,38374,0.0,-1.5252
2, we,359,16541,1e-06,0.9844
3, it,352,22649,1e-06,0.2954
3, color,3295,35203,0.0,-1.1015
3, of,273,15703,1e-06,1.0831
3, the,253,45117,0.0,-2.8519
3,",",13,50124,0.0,-6.0732
3, colors,9830,21130,1e-06,0.46
3, people,952,38650,0.0,-1.5816
3, a,247,48546,0.0,-4.1257
3, many,1142,37515,0.0,-1.4165
3, we,359,18444,1e-06,0.7602
4, it,352,15121,2e-06,1.1254
4, color,3295,39103,0.0,-1.6222
4, of,273,17832,1e-06,0.8196
4, the,253,47093,0.0,-3.3916
4,",",13,50147,0.0,-5.9998
4, colors,9830,23827,1e-06,0.1734
4, people,952,41530,0.0,-2.0232
4, a,247,48529,0.0,-4.0282
4, many,1142,37685,0.0,-1.4193
4, we,359,17969,1e-06,0.8041
5, it,352,17067,3e-06,0.8351
5, color,3295,38782,0.0,-1.5164
5, of,273,11343,6e-06,1.5221
5, the,253,45429,0.0,-2.6959
5,",",13,49895,0.0,-4.9567
5, colors,9830,30309,1e-06,-0.5113
5, people,952,43839,0.0,-2.3519
5, a,247,48954,0.0,-3.9712
5, many,1142,30623,1e-06,-0.5444
5, we,359,15778,3e-06,0.9751
6, it,352,13459,6e-06,1.2515
6, color,3295,45576,0.0,-2.7152
6, of,273,18389,3e-06,0.6971
6, the,253,44020,0.0,-2.385
6,",",13,48793,0.0,-3.8496
6, colors,9830,31974,1e-06,-0.6915
6, people,952,46515,0.0,-2.9663
6, a,247,49777,0.0,-4.726
6, many,1142,17576,4e-06,0.7856
6, we,359,21911,2e-06,0.3472
7, it,352,14612,7e-06,1.0699
7, color,3295,40154,0.0,-1.6339
7, of,273,17385,5e-06,0.7689
7, the,253,36934,1e-06,-1.2086
7,",",13,47885,0.0,-3.2876
7, colors,9830,18062,5e-06,0.6982
7, people,952,44757,0.0,-2.4345
7, a,247,49113,0.0,-3.8994
7, many,1142,7287,1.9e-05,2.0454
7, we,359,23073,3e-06,0.2158
8, it,352,6108,2.4e-05,2.2144
8, color,3295,40316,1e-06,-1.6095
8, of,273,4165,3.6e-05,2.6232
8, the,253,20042,4e-06,0.4852
8,",",13,42105,0.0,-1.8762
8, colors,9830,22536,3e-06,0.2515
8, people,952,31660,1e-06,-0.6076
8, a,247,45983,0.0,-2.6538
8, many,1142,3772,4e-05,2.7281
8, we,359,11151,1.1e-05,1.4593
9, it,352,5837,2.5e-05,2.2457
9, color,3295,37224,1e-06,-1.2134
9, of,273,6893,2.1e-05,2.0564
9, the,253,21009,4e-06,0.4021
9,",",13,42148,0.0,-1.8764
9, colors,9830,22020,4e-06,0.3043
9, people,952,24889,3e-06,0.0279
9, a,247,44433,0.0,-2.2738
9, many,1142,2078,7.4e-05,3.3059
9, we,359,13154,9e-06,1.2096
10, it,352,4141,4.1e-05,2.5808
10, color,3295,30627,2e-06,-0.5038
10, of,273,5121,3.3e-05,2.3629
10, the,253,17115,7e-06,0.7627
10,",",13,38641,1e-06,-1.3702
10, colors,9830,17375,6e-06,0.7372
10, people,952,14943,8e-06,1.0006
10, a,247,43506,0.0,-2.073
10, many,1142,1224,0.000124,3.6951
10, we,359,12786,1.1e-05,1.2295
11, it,352,4491,3.6e-05,2.4864
11, color,3295,30363,2e-06,-0.4841
11, of,273,1692,8.9e-05,3.3943
11, the,253,15073,8e-06,0.9952
11,",",13,35430,1e-06,-0.9902
11, colors,9830,12821,1e-05,1.2425
11, people,952,7240,2.2e-05,1.986
11, a,247,43634,0.0,-2.1121
11, many,1142,687,0.000193,4.1676
11, we,359,4097,3.9e-05,2.573
12, it,352,801,0.000175,3.9083
12, color,3295,21680,5e-06,0.3441
12, of,273,929,0.000156,3.7927
12, the,253,9445,1.8e-05,1.6317
12,",",13,26678,3e-06,-0.1222
12, colors,9830,3874,4.7e-05,2.5855
12, people,952,6361,2.8e-05,2.0874
12, a,247,40836,1e-06,-1.6337
12, many,1142,30,0.002015,6.3545
12, we,359,806,0.000174,3.9063
13, it,352,12,0.003943,6.9882
13, color,3295,8391,2.1e-05,1.7614
13, of,273,122,0.000638,5.1667
13, the,253,5710,3.2e-05,2.1721
13,",",13,9039,1.9e-05,1.6711
13, colors,9830,1469,0.000106,3.3735
13, people,952,1629,9.9e-05,3.2987
13, a,247,32600,2e-06,-0.6737
13, many,1142,22,0.002343,6.4679
13, we,359,102,0.000725,5.2942
14, it,352,6,0.008545,7.8875
14, color,3295,8901,1.7e-05,1.6744
14, of,273,9,0.005586,7.4624
14, the,253,1694,8.9e-05,3.318
14,",",13,14733,9e-06,0.9979
14, colors,9830,3569,4.5e-05,2.638
14, people,952,277,0.000344,4.6755
14, a,247,27983,2e-06,-0.2516
14, many,1142,3,0.014931,8.4455
14, we,359,98,0.000712,5.4031
15, it,352,8,0.007585,7.9076
15, color,3295,7439,1.8e-05,1.8578
15, of,273,40,0.001303,6.1461
15, the,253,4759,2.8e-05,2.3201
15,",",13,18510,5e-06,0.6025
15, colors,9830,3983,3.4e-05,2.4861
15, people,952,242,0.000326,4.7612
15, a,247,34489,1e-06,-0.8794
15, many,1142,2,0.030287,9.292
15, we,359,88,0.000654,5.4562
16, it,352,4,0.0302,9.3834
16, color,3295,173,0.000404,5.0684
16, of,273,49,0.000985,5.9602
16, the,253,2784,4.4e-05,2.8424
16,",",13,19613,4e-06,0.4982
16, colors,9830,159,0.000427,5.1251
16, people,952,130,0.000471,5.2236
16, a,247,21868,3e-06,0.2926
16, many,1142,3,0.047526,9.8368
16, we,359,40,0.001175,6.1368
17, it,352,3,0.092489,11.0554
17, color,3295,4,0.055968,10.553
17, of,273,17,0.003197,7.6904
17, the,253,380,0.000155,4.6635
17,",",13,4530,1.6e-05,2.4129
17, colors,9830,6,0.025106,9.7514
17, people,952,43,0.001175,6.6892
17, a,247,3599,2e-05,2.6365
17, many,1142,1,0.159658,11.6013
17, we,359,14,0.004446,8.0203
18, it,352,2,0.103189,13.0014
18, color,3295,1,0.508907,14.5971
18, of,273,19,0.001507,8.7752
18, the,253,103,0.000154,6.4924
18,",",13,805,1.7e-05,4.2846
18, colors,9830,3,0.098303,12.9529
18, people,952,33,0.000558,7.7818
18, a,247,423,3.1e-05,4.9057
18, many,1142,4,0.063145,12.5103
18, we,359,18,0.00163,8.8535
19, it,352,2,0.276324,13.66
19, color,3295,1,0.306089,13.7623
19, of,273,13,0.005857,9.8061
19, the,253,42,0.000674,7.6446
19,",",13,259,8.3e-05,5.5438
19, colors,9830,4,0.05363,12.0205
19, people,952,22,0.00133,8.3233
19, a,247,167,0.000136,6.046
19, many,1142,3,0.088877,12.5257
19, we,359,15,0.004583,9.5607
20, it,352,1,0.231545,13.2234
20, color,3295,2,0.212514,13.1376
20, of,273,7,0.01484,10.4759
20, the,253,17,0.00425,9.2256
20,",",13,96,0.000481,7.0474
20, colors,9830,4,0.023384,10.9307
20, people,952,22,0.003063,8.898
20, a,247,45,0.001183,7.9468
20, many,1142,3,0.122081,12.5833
20, we,359,12,0.009628,10.0433
21, it,352,2,0.259794,13.7891
21, color,3295,1,0.281647,13.8699
21, of,273,6,0.013877,10.8594
21, the,253,14,0.006025,10.0251
21,",",13,42,0.001216,8.4248
21, colors,9830,4,0.020279,11.2388
21, people,952,18,0.003509,9.4846
21, a,247,20,0.002741,9.2374
21, many,1142,3,0.09428,12.7755
21, we,359,12,0.007009,10.1764
22, it,352,1,0.681338,15.9838
22, color,3295,2,0.069186,13.6965
22, of,273,4,0.013136,12.0351
22, the,253,6,0.010634,11.8238
22,",",13,18,0.002194,10.2453
22, colors,9830,14,0.003143,10.6048
22, people,952,16,0.002943,10.5392
22, a,247,7,0.006179,11.2809
22, many,1142,3,0.034844,13.0106
22, we,359,8,0.0051,11.0891
23, it,352,1,0.63382,15.9519
23, color,3295,3,0.047116,13.3527
23, of,273,4,0.023986,12.6776
23, the,253,5,0.017191,12.3445
23,",",13,13,0.004322,10.9639
23, colors,9830,26,0.001685,10.0219
23, people,952,16,0.00328,10.6878
23, a,247,7,0.008781,11.6727
23, many,1142,2,0.047258,13.3557
23, we,359,10,0.006012,11.2939
24, it,352,1,0.616755,15.8713
24, color,3295,2,0.053761,13.4313
24, of,273,3,0.033338,12.9535
24, the,253,5,0.019361,12.4101
24,",",13,12,0.005254,11.1058
24, colors,9830,26,0.001963,10.1211
