layer,token,token_id,rank,prob,logit
0, a,247,33573,0.0,-0.8756
0, an,271,26706,0.0,-0.0679
0, used,908,42872,0.0,-2.4235
0, provided,2530,39342,0.0,-1.7209
0, typically,5431,9322,2e-06,2.0066
0, known,1929,18193,1e-06,0.8725
0, often,2223,11172,1e-06,1.7354
0, commonly,7744,17744,1e-06,0.9248
0, generally,3839,13300,1e-06,1.4581
0, one,581,33491,0.0,-0.8646
1, a,247,32341,0.0,-0.7055
1, an,271,29009,0.0,-0.321
1, used,908,37012,0.0,-1.3082
1, provided,2530,31417,0.0,-0.5963
1, typically,5431,4212,8e-06,2.983
1, known,1929,12960,2e-06,1.4556
1, often,2223,10974,2e-06,1.7087
1, commonly,7744,10687,2e-06,1.7449
1, generally,3839,8256,3e-06,2.105
1, one,581,28221,0.0,-0.2333
2, a,247,31682,0.0,-0.612
2, an,271,22695,1e-06,0.3344
2, used,908,34563,0.0,-0.9401
2, provided,2530,32920,0.0,-0.756
2, typically,5431,1415,4.9e-05,4.0295
2, known,1929,12932,3e-06,1.3792
2, often,2223,4483,1.4e-05,2.7797
2, commonly,7744,3364,1.9e-05,3.1104
2, generally,3839,1478,4.7e-05,3.9844
2, one,581,23118,1e-06,0.2925
3, a,247,43607,0.0,-2.3325
3, an,271,36521,0.0,-1.1946
3, used,908,34803,0.0,-0.9847
3, provided,2530,31045,1e-06,-0.5579
3, typically,5431,750,0.000118,4.5398
3, known,1929,10834,6e-06,1.6104
3, often,2223,3668,2.4e-05,2.9537
3, commonly,7744,7318,1.1e-05,2.1343
3, generally,3839,1585,5.7e-05,3.8165
3, one,581,33953,1e-06,-0.8879
4, a,247,46977,0.0,-3.1216
4, an,271,41358,0.0,-1.8903
4, used,908,20575,3e-06,0.4978
4, provided,2530,9302,1.1e-05,1.8073
4, typically,5431,509,0.000208,4.7703
4, known,1929,4568,2.6e-05,2.6861
4, often,2223,3997,3e-05,2.8364
4, commonly,7744,3284,3.7e-05,3.0385
4, generally,3839,1485,8.2e-05,3.8408
4, one,581,30327,1e-06,-0.4921
5, a,247,48040,0.0,-3.324
5, an,271,40879,0.0,-1.7254
5, used,908,13122,9e-06,1.2389
5, provided,2530,5585,2.8e-05,2.3471
5, typically,5431,111,0.000866,5.7894
5, known,1929,7512,2e-05,2.0063
5, often,2223,724,0.000186,4.251
5, commonly,7744,1652,9.1e-05,3.5416
5, generally,3839,1069,0.000136,3.9403
5, one,581,29715,2e-06,-0.4264
6, a,247,49554,0.0,-4.1501
6, an,271,46279,0.0,-2.7391
6, used,908,19729,5e-06,0.5277
6, provided,2530,7035,2.2e-05,2.0683
6, typically,5431,123,0.000811,5.678
6, known,1929,2950,5.6e-05,3.0002
6, often,2223,810,0.000174,4.1384
6, commonly,7744,2105,7.8e-05,3.3315
6, generally,3839,564,0.000237,4.4486
6, one,581,17786,6e-06,0.7255
7, a,247,36704,1e-06,-1.1341
7, an,271,33234,2e-06,-0.7534
7, used,908,12288,1.2e-05,1.2792
7, provided,2530,1731,9.7e-05,3.3411
7, typically,5431,15,0.002564,6.615
7, known,1929,673,0.000208,4.1012
7, often,2223,66,0.001157,5.8193
7, commonly,7744,883,0.000169,3.8954
7, generally,3839,440,0.000287,4.4244
7, one,581,10865,1.5e-05,1.4451
8, a,247,46572,0.0,-2.7984
8, an,271,41498,0.0,-1.8022
8, used,908,10576,1.3e-05,1.5448
8, provided,2530,888,0.000162,4.0622
8, typically,5431,5,0.006856,7.8071
8, known,1929,3568,4.6e-05,2.803
8, often,2223,64,0.001251,6.1062
8, commonly,7744,573,0.000232,4.4201
8, generally,3839,253,0.000441,5.0634
8, one,581,25208,3e-06,-0.0101
9, a,247,42923,0.0,-1.9826
9, an,271,36381,1e-06,-1.1013
9, used,908,7764,2.1e-05,1.8863
9, provided,2530,1822,9e-05,3.3378
9, typically,5431,4,0.006067,7.5481
9, known,1929,2777,6.2e-05,2.9722
9, often,2223,12,0.003257,6.9262
9, commonly,7744,837,0.000169,3.9677
9, generally,3839,260,0.000427,4.8944
9, one,581,18079,6e-06,0.6883
10, a,247,43050,0.0,-1.982
10, an,271,35009,1e-06,-0.9481
10, used,908,7051,2.2e-05,1.9968
10, provided,2530,1027,0.000145,3.8602
10, typically,5431,3,0.010381,8.1311
10, known,1929,683,0.000205,4.2063
10, often,2223,14,0.003218,6.9598
10, commonly,7744,234,0.000447,4.9864
10, generally,3839,34,0.002007,6.4879
10, one,581,19129,5e-06,0.5655
11, a,247,39276,1e-06,-1.4316
11, an,271,31589,2e-06,-0.5922
11, used,908,1045,0.000142,3.8379
11, provided,2530,441,0.00029,4.5495
11, typically,5431,1,0.017334,8.6412
11, known,1929,508,0.000263,4.4519
11, often,2223,4,0.010948,8.1817
11, commonly,7744,120,0.000757,5.5095
11, generally,3839,17,0.00333,6.9914
11, one,581,21895,4e-06,0.2935
12, a,247,21057,4e-06,0.3738
12, an,271,17092,6e-06,0.7492
12, used,908,225,0.000431,4.949
12, provided,2530,107,0.000828,5.6018
12, typically,5431,2,0.020396,8.8064
12, known,1929,1212,0.000118,3.658
12, often,2223,1,0.020998,8.8355
12, commonly,7744,58,0.001304,6.0567
12, generally,3839,5,0.008981,7.9861
12, one,581,15279,8e-06,0.9246
13, a,247,21987,4e-06,0.2949
13, an,271,10356,1.4e-05,1.4765
13, used,908,210,0.00044,4.8936
13, provided,2530,326,0.000325,4.5921
13, typically,5431,5,0.008736,7.8822
13, known,1929,355,0.000304,4.5248
13, often,2223,2,0.017172,8.558
13, commonly,7744,58,0.001132,5.8385
13, generally,3839,6,0.008272,7.8276
13, one,581,7904,2e-05,1.7987
14, a,247,11832,1.1e-05,1.2967
14, an,271,4534,3.5e-05,2.4169
14, used,908,32,0.002314,6.6172
14, provided,2530,55,0.001256,6.0062
14, typically,5431,3,0.01448,8.4512
14, known,1929,305,0.000333,4.6781
14, often,2223,1,0.020332,8.7906
14, commonly,7744,45,0.001667,6.2892
14, generally,3839,4,0.01274,8.3232
14, one,581,6418,2.4e-05,2.0454
15, a,247,2838,4.6e-05,2.8398
15, an,271,731,0.000141,3.9568
15, used,908,8,0.008094,8.008
15, provided,2530,46,0.001543,6.3506
15, typically,5431,3,0.029864,9.3135
15, known,1929,182,0.000443,5.1021
15, often,2223,1,0.085998,10.3712
15, commonly,7744,14,0.004057,7.3173
15, generally,3839,4,0.016497,8.72
15, one,581,988,0.000112,3.727
16, a,247,383,0.000198,4.6008
16, an,271,130,0.00047,5.4648
16, used,908,10,0.007805,8.2748
16, provided,2530,30,0.002334,7.0675
16, typically,5431,2,0.07459,10.5321
16, known,1929,91,0.000777,5.9679
16, often,2223,4,0.0708,10.4799
16, commonly,7744,9,0.008473,8.357
16, generally,3839,3,0.073071,10.5115
16, one,581,222,0.000302,5.0213
17, a,247,28,0.00245,8.2317
17, an,271,17,0.005856,9.1033
17, used,908,8,0.012017,9.8221
17, provided,2530,15,0.006207,9.1615
17, typically,5431,1,0.186113,12.5621
17, known,1929,21,0.004111,8.7495
17, often,2223,4,0.105921,11.9984
17, commonly,7744,6,0.01257,9.867
17, generally,3839,2,0.162294,12.4251
17, one,581,46,0.001304,7.6012
18, a,247,7,0.024526,11.6641
18, an,271,5,0.053091,12.4363
18, used,908,9,0.021229,11.5197
18, provided,2530,14,0.007855,10.5255
18, typically,5431,3,0.127505,13.3125
18, known,1929,11,0.009493,10.7149
18, often,2223,2,0.15654,13.5176
18, commonly,7744,6,0.028444,11.8122
18, generally,3839,1,0.195626,13.7405
18, one,581,35,0.001549,8.9018
19, a,247,5,0.070963,13.166
19, an,271,6,0.060209,13.0016
19, used,908,7,0.048511,12.7856
19, provided,2530,10,0.018643,11.8293
19, typically,5431,4,0.100627,13.5152
19, known,1929,11,0.017096,11.7427
19, often,2223,1,0.162683,13.9956
19, commonly,7744,8,0.027344,12.2123
19, generally,3839,2,0.133345,13.7968
19, one,581,21,0.003797,10.2381
20, a,247,1,0.220842,14.7815
20, an,271,2,0.148754,14.3864
20, used,908,7,0.040469,13.0846
20, provided,2530,11,0.011096,11.7907
20, typically,5431,6,0.060818,13.492
20, known,1929,10,0.011767,11.8493
20, often,2223,3,0.130879,14.2583
20, commonly,7744,8,0.026236,12.6512
20, generally,3839,4,0.086188,13.8406
20, one,581,9,0.015243,12.1082
21, a,247,1,0.400519,16.051
