layer,token,token_id,rank,prob,logit
0, a,247,35064,0.0,-1.0618
0, an,271,25092,0.0,0.1149
0, software,3694,27896,0.0,-0.1976
0, used,908,42446,0.0,-2.3164
0, not,417,23737,0.0,0.2615
0, the,253,40553,0.0,-1.9225
0, available,2130,41702,0.0,-2.1597
0, designed,4158,29382,0.0,-0.3629
0, often,2223,10817,1e-06,1.7839
0, typically,5431,10417,2e-06,1.8348
1, a,247,34963,0.0,-1.0297
1, an,271,29209,0.0,-0.3556
1, software,3694,11666,3e-06,1.6156
1, used,908,41490,0.0,-2.0329
1, not,417,12079,3e-06,1.559
1, the,253,41375,0.0,-2.0139
1, available,2130,32486,0.0,-0.7168
1, designed,4158,20593,1e-06,0.5577
1, often,2223,15974,2e-06,1.0649
1, typically,5431,5904,7e-06,2.5358
2, a,247,34137,0.0,-0.8868
2, an,271,22512,2e-06,0.3421
2, software,3694,7824,8e-06,2.0475
2, used,908,38978,0.0,-1.526
2, not,417,10776,5e-06,1.6215
2, the,253,41231,0.0,-1.8872
2, available,2130,33126,1e-06,-0.7674
2, designed,4158,22270,2e-06,0.3672
2, often,2223,6706,1e-05,2.2493
2, typically,5431,2197,3.6e-05,3.4975
3, a,247,41863,0.0,-1.9517
3, an,271,30842,1e-06,-0.5151
3, software,3694,6909,1.3e-05,2.1589
3, used,908,35633,1e-06,-1.0548
3, not,417,15233,4e-06,1.0614
3, the,253,44799,0.0,-2.5344
3, available,2130,32932,1e-06,-0.7487
3, designed,4158,26281,1e-06,-0.0496
3, often,2223,4873,2e-05,2.565
3, typically,5431,1329,7.4e-05,3.8897
4, a,247,43367,0.0,-2.1636
4, an,271,30568,1e-06,-0.492
4, software,3694,9557,1.2e-05,1.7126
4, used,908,27136,2e-06,-0.1459
4, not,417,19001,4e-06,0.6582
4, the,253,44891,0.0,-2.4881
4, available,2130,24897,2e-06,0.0817
4, designed,4158,5933,2.2e-05,2.3066
4, often,2223,4833,2.7e-05,2.524
4, typically,5431,708,0.00016,4.2888
5, a,247,44392,0.0,-2.2802
5, an,271,38070,1e-06,-1.31
5, software,3694,3066,5.7e-05,2.8901
5, used,908,16319,8e-06,0.8809
5, not,417,23089,4e-06,0.2257
5, the,253,46103,0.0,-2.6632
5, available,2130,5099,3.5e-05,2.3972
5, designed,4158,6003,2.9e-05,2.217
5, often,2223,926,0.000163,3.9414
5, typically,5431,182,0.000567,5.1889
6, a,247,45007,0.0,-2.3379
6, an,271,42748,0.0,-1.9361
6, software,3694,2230,8.3e-05,3.1732
6, used,908,14297,1e-05,1.0761
6, not,417,15185,9e-06,0.9797
6, the,253,42021,1e-06,-1.8263
6, available,2130,5773,3.2e-05,2.2356
6, designed,4158,10690,1.5e-05,1.4962
6, often,2223,425,0.000299,4.4581
6, typically,5431,221,0.000468,4.9067
7, a,247,33871,2e-06,-0.8117
7, an,271,33864,2e-06,-0.8114
7, software,3694,1614,0.000104,3.3298
7, used,908,8399,2.1e-05,1.7542
7, not,417,3104,6e-05,2.7825
7, the,253,34101,2e-06,-0.8343
7, available,2130,1922,8.9e-05,3.181
7, designed,4158,9567,1.8e-05,1.592
7, often,2223,10,0.003203,6.761
7, typically,5431,37,0.001536,6.0264
8, a,247,43574,0.0,-2.0624
8, an,271,36944,1e-06,-1.1555
8, software,3694,1399,0.000114,3.4965
8, used,908,4371,4.2e-05,2.503
8, not,417,9076,1.9e-05,1.6878
8, the,253,44601,0.0,-2.2499
8, available,2130,11819,1.3e-05,1.3355
8, designed,4158,2464,7.1e-05,3.033
8, often,2223,12,0.002989,6.7666
8, typically,5431,5,0.005652,7.4037
9, a,247,36325,1e-06,-1.0521
9, an,271,25373,4e-06,-0.0076
9, software,3694,827,0.000166,3.7795
9, used,908,5065,3.6e-05,2.2653
9, not,417,6323,2.9e-05,2.0407
9, the,253,36756,1e-06,-1.1022
9, available,2130,12965,1.2e-05,1.1712
9, designed,4158,2690,6.5e-05,2.8376
9, often,2223,4,0.007792,7.6301
9, typically,5431,5,0.007691,7.6171
10, a,247,35918,1e-06,-1.0335
10, an,271,23953,4e-06,0.1103
10, software,3694,642,0.000207,4.1349
10, used,908,2099,7.7e-05,3.1471
10, not,417,6463,2.7e-05,2.0847
10, the,253,33736,1e-06,-0.8073
10, available,2130,3284,5.2e-05,2.7568
10, designed,4158,534,0.000244,4.3012
10, often,2223,5,0.007581,7.7359
10, typically,5431,4,0.00818,7.812
11, a,247,30297,2e-06,-0.4721
11, an,271,23864,4e-06,0.1239
11, software,3694,1204,0.000126,3.5875
11, used,908,590,0.000224,4.1641
11, not,417,6392,2.7e-05,2.0485
11, the,253,20686,5e-06,0.4186
11, available,2130,1359,0.000113,3.4824
11, designed,4158,530,0.000243,4.247
11, often,2223,5,0.007204,7.6351
11, typically,5431,10,0.004083,7.0672
12, a,247,18604,6e-06,0.6122
12, an,271,15380,9e-06,0.9236
12, software,3694,1141,0.000122,3.579
12, used,908,687,0.000186,3.9994
12, not,417,3079,5.3e-05,2.7495
12, the,253,19044,6e-06,0.5718
12, available,2130,1450,0.000101,3.3923
12, designed,4158,2215,7.1e-05,3.0366
12, often,2223,2,0.012542,8.2092
12, typically,5431,9,0.004784,7.2454
13, a,247,8253,2.2e-05,1.7564
13, an,271,3918,4.7e-05,2.5224
13, software,3694,410,0.000278,4.3075
13, used,908,344,0.000314,4.4304
13, not,417,2434,7e-05,2.9348
13, the,253,7174,2.5e-05,1.9161
13, available,2130,691,0.000189,3.9234
13, designed,4158,1479,0.000106,3.3431
13, often,2223,3,0.010991,7.9845
13, typically,5431,7,0.004253,7.0351
14, a,247,670,0.000163,4.0481
14, an,271,456,0.000215,4.3275
14, software,3694,130,0.000569,5.3012
14, used,908,37,0.001746,6.4215
14, not,417,98,0.000711,5.5228
14, the,253,999,0.000115,3.7009
14, available,2130,148,0.00054,5.2475
14, designed,4158,269,0.000312,4.7
14, often,2223,3,0.024881,9.0785
14, typically,5431,4,0.013066,8.4344
15, a,247,187,0.000438,5.0478
15, an,271,143,0.000536,5.2506
15, software,3694,42,0.001625,6.3599
15, used,908,26,0.002489,6.7862
15, not,417,39,0.00175,6.4338
15, the,253,511,0.000207,4.2979
