layer,token,token_id,rank,prob,logit
0, a,247,34256,0.0,-0.966
0, an,271,26243,0.0,-0.0135
0, used,908,42378,0.0,-2.2968
0, typically,5431,9041,2e-06,2.0467
0, the,253,39132,0.0,-1.673
0, one,581,30988,0.0,-0.5591
0, generally,3839,11758,1e-06,1.6502
0, provided,2530,38468,0.0,-1.5646
0, defined,2931,40324,0.0,-1.8762
0, usually,3798,6035,4e-06,2.585
1, a,247,42498,0.0,-2.2564
1, an,271,32564,0.0,-0.7545
1, used,908,41295,0.0,-2.0142
1, typically,5431,5992,6e-06,2.5417
1, the,253,42354,0.0,-2.2279
1, one,581,29661,0.0,-0.4103
1, generally,3839,10003,3e-06,1.837
1, provided,2530,37304,0.0,-1.3775
1, defined,2931,42769,0.0,-2.3173
1, usually,3798,5434,7e-06,2.6665
2, a,247,34712,1e-06,-0.9507
2, an,271,20352,2e-06,0.5643
2, used,908,36224,0.0,-1.1468
2, typically,5431,1479,6.2e-05,3.8564
2, the,253,36249,0.0,-1.1507
2, one,581,18040,3e-06,0.7986
2, generally,3839,1269,7.2e-05,4.0081
2, provided,2530,36277,0.0,-1.1539
2, defined,2931,39467,0.0,-1.5984
2, usually,3798,1089,8.2e-05,4.1337
3, a,247,45758,0.0,-2.7958
3, an,271,38537,0.0,-1.4384
3, used,908,38358,0.0,-1.4167
3, typically,5431,1383,7.1e-05,3.8647
3, the,253,44717,0.0,-2.5297
3, one,581,33171,1e-06,-0.7705
3, generally,3839,2393,4.2e-05,3.3284
3, provided,2530,33417,1e-06,-0.7964
3, defined,2931,43140,0.0,-2.2034
3, usually,3798,882,0.000106,4.2625
4, a,247,46467,0.0,-2.8911
4, an,271,38112,1e-06,-1.3494
4, used,908,31452,1e-06,-0.5946
4, typically,5431,1317,9.3e-05,3.8152
4, the,253,44779,0.0,-2.4617
4, one,581,35143,1e-06,-0.9954
4, generally,3839,2555,5.1e-05,3.2058
4, provided,2530,14811,6e-06,1.0675
4, defined,2931,38118,1e-06,-1.3502
4, usually,3798,687,0.000162,4.3698
5, a,247,47511,0.0,-3.0279
5, an,271,33223,1e-06,-0.7683
5, used,908,24049,3e-06,0.1222
5, typically,5431,149,0.000642,5.3568
5, the,253,44779,0.0,-2.3247
5, one,581,28049,2e-06,-0.2524
5, generally,3839,2727,6.2e-05,3.0161
5, provided,2530,5650,2.9e-05,2.2728
5, defined,2931,32688,1e-06,-0.7125
5, usually,3798,132,0.000718,5.4697
6, a,247,48227,0.0,-3.2571
6, an,271,35956,1e-06,-1.055
6, used,908,22790,4e-06,0.2197
6, typically,5431,86,0.000977,5.7428
6, the,253,40319,1e-06,-1.5881
6, one,581,13003,1e-05,1.1966
6, generally,3839,1035,0.000144,3.8293
6, provided,2530,5649,3e-05,2.259
6, defined,2931,28652,2e-06,-0.3124
6, usually,3798,182,0.000575,5.2131
7, a,247,23449,4e-06,0.1571
7, an,271,9988,1.6e-05,1.5243
7, used,908,4838,3.7e-05,2.3473
7, typically,5431,2,0.008319,7.7559
7, the,253,21246,5e-06,0.3612
7, one,581,5872,3e-05,2.1385
7, generally,3839,60,0.001055,5.6912
7, provided,2530,809,0.000169,3.8575
7, defined,2931,18310,7e-06,0.6342
7, usually,3798,7,0.00613,7.4505
8, a,247,36748,1e-06,-1.1561
8, an,271,24181,3e-06,0.0904
8, used,908,2621,6.4e-05,3.0595
8, typically,5431,2,0.014008,8.4485
8, the,253,42485,0.0,-1.9077
8, one,581,19032,5e-06,0.5809
8, generally,3839,59,0.001268,6.0464
8, provided,2530,1684,9.5e-05,3.4591
8, defined,2931,5788,2.8e-05,2.2484
8, usually,3798,8,0.00503,7.4243
9, a,247,39699,1e-06,-1.5084
9, an,271,27669,3e-06,-0.2223
9, used,908,5847,3e-05,2.214
9, typically,5431,4,0.007821,7.7874
9, the,253,43862,0.0,-2.1352
9, one,581,27762,3e-06,-0.2305
9, generally,3839,153,0.00059,5.2037
9, provided,2530,4081,4.3e-05,2.5889
9, defined,2931,5150,3.4e-05,2.355
