layer,token,token_id,rank,prob,logit
0, to,281,7157,9e-06,2.7145
0, not,417,92,0.001392,7.7117
0, for,323,8169,8e-06,2.4912
0, that,326,5265,1.5e-05,3.1884
0, simple,2969,38402,0.0,-1.8108
0, simply,3365,1594,7.9e-05,4.8425
0, so,594,7680,8e-06,2.6009
0,:,27,12330,4e-06,1.727
0, a,247,456,0.000311,6.2125
0,",",13,395,0.000351,6.3337
1, to,281,2088,5.3e-05,4.5363
1, not,417,6,0.010924,9.8697
1, for,323,3248,3e-05,3.9779
1, that,326,2638,4e-05,4.2519
1, simple,2969,29313,0.0,-0.5164
1, simply,3365,635,0.000215,5.9406
1, so,594,1468,8.3e-05,4.9861
1,:,27,11286,4e-06,1.9672
1, a,247,112,0.001188,7.6511
1,",",13,239,0.000598,6.9649
2, to,281,1069,0.000108,5.2448
2, not,417,9,0.00933,9.7082
2, for,323,3601,2.4e-05,3.7614
2, that,326,803,0.000147,5.5578
2, simple,2969,18576,1e-06,0.8509
2, simply,3365,279,0.000468,6.7166
2, so,594,1370,8e-05,4.9445
2,:,27,5881,1.2e-05,3.0504
2, a,247,120,0.000993,7.4683
2,",",13,122,0.000942,7.4148
3, to,281,66,0.001584,8.012
3, not,417,8,0.015482,10.292
3, for,323,2973,2.8e-05,3.9803
3, that,326,239,0.000484,6.8272
3, simple,2969,19542,1e-06,0.747
3, simply,3365,193,0.0006,7.0423
3, so,594,3096,2.7e-05,3.9254
3,:,27,3431,2.3e-05,3.7909
3, a,247,43,0.002532,8.4815
3,",",13,47,0.002381,8.4196
4, to,281,1390,9.1e-05,4.7296
4, not,417,38,0.002726,8.1317
4, for,323,16876,2e-06,1.0485
4, that,326,2009,6e-05,4.312
4, simple,2969,28835,1e-06,-0.4202
4, simply,3365,560,0.000247,5.7286
4, so,594,14123,3e-06,1.4283
4,:,27,12921,4e-06,1.6085
4, a,247,232,0.00052,6.4754
4,",",13,3777,2.7e-05,3.5341
5, to,281,376,0.000305,6.2357
5, not,417,31,0.002942,8.5019
5, for,323,3834,2.2e-05,3.5894
5, that,326,1302,8e-05,4.8985
5, simple,2969,14813,2e-06,1.3833
5, simply,3365,38,0.002463,8.3241
5, so,594,6250,1.1e-05,2.8854
5,:,27,2469,3.7e-05,4.1284
5, a,247,462,0.000248,6.0302
5,",",13,1830,5.4e-05,4.5104
6, to,281,97,0.000878,7.8063
6, not,417,3,0.028115,11.2728
6, for,323,2969,1.9e-05,3.9827
6, that,326,2589,2.3e-05,4.1508
6, simple,2969,1676,4e-05,4.7121
