layer,token,token_id,rank,prob,logit
0, a,247,407,0.000325,6.2655
0, an,271,1506,8.2e-05,4.8877
0, used,908,14092,3e-06,1.4459
0, one,581,26004,1e-06,-0.0997
0, provided,2530,6144,1.2e-05,2.9429
0, any,667,5469,1.4e-05,3.1236
0, typically,5431,2055,5.5e-05,4.4982
0, defined,2931,14373,3e-06,1.4021
0, the,253,4574,1.9e-05,3.4028
0, generally,3839,2856,3.7e-05,4.08
1, a,247,276,0.000527,6.6521
1, an,271,2774,4e-05,4.0774
1, used,908,7198,1e-05,2.7058
1, one,581,5000,1.8e-05,3.2531
1, provided,2530,4932,1.8e-05,3.2703
1, any,667,2679,4.2e-05,4.1175
1, typically,5431,2770,4e-05,4.0786
1, defined,2931,24182,1e-06,0.1213
1, the,253,629,0.000213,5.7451
1, generally,3839,711,0.00019,5.6339
2, a,247,272,0.000525,6.5819
2, an,271,1541,8.1e-05,4.7175
2, used,908,6284,1.3e-05,2.8844
2, one,581,5754,1.5e-05,3.0266
2, provided,2530,5884,1.4e-05,2.9893
2, any,667,4502,2.1e-05,3.3839
2, typically,5431,2307,5e-05,4.2243
2, defined,2931,24770,1e-06,0.0564
2, the,253,1025,0.000129,5.1763
2, generally,3839,1429,9e-05,4.8197
3, a,247,445,0.000339,6.0106
3, an,271,1466,9.4e-05,4.7243
3, used,908,11874,5e-06,1.7748
3, one,581,3668,3.1e-05,3.6066
3, provided,2530,7301,1.1e-05,2.6207
3, any,667,16696,2e-06,1.0812
3, typically,5431,3513,3.3e-05,3.673
3, defined,2931,18113,2e-06,0.8896
3, the,253,1591,8.6e-05,4.6364
3, generally,3839,1095,0.00013,5.0478
4, a,247,279,0.000526,6.3355
4, an,271,347,0.000425,6.1214
4, used,908,11450,6e-06,1.8359
4, one,581,1673,8.8e-05,4.5456
4, provided,2530,5216,2.1e-05,3.0939
4, any,667,16007,3e-06,1.1568
4, typically,5431,1741,8.3e-05,4.4904
4, defined,2931,21846,1e-06,0.3925
4, the,253,1095,0.000136,4.9827
4, generally,3839,748,0.000202,5.3776
5, a,247,298,0.000442,6.4951
5, an,271,103,0.001205,7.4992
5, used,908,11301,4e-06,1.8616
5, one,581,2870,3.6e-05,3.9978
5, provided,2530,217,0.000591,6.7859
5, any,667,6009,1.2e-05,2.9301
5, typically,5431,286,0.000455,6.5244
5, defined,2931,2633,4.1e-05,4.1063
5, the,253,398,0.000323,6.1831
5, generally,3839,193,0.000658,6.8941
6, a,247,639,0.000212,5.6259
6, an,271,44,0.00229,8.007
6, used,908,10661,5e-06,1.9449
6, one,581,6655,1.2e-05,2.7289
6, provided,2530,206,0.000622,6.7042
6, any,667,3183,3.3e-05,3.7699
6, typically,5431,470,0.000291,5.9425
6, defined,2931,1321,9.6e-05,4.8347
6, the,253,1101,0.000119,5.0491
6, generally,3839,312,0.000419,6.3074
7, a,247,194,0.000516,6.7335
7, an,271,14,0.006356,9.2448
7, used,908,3575,2.3e-05,3.6043
7, one,581,795,0.000132,5.3713
7, provided,2530,127,0.000829,7.2077
7, any,667,7294,8e-06,2.603
7, typically,5431,46,0.002335,8.2436
7, defined,2931,432,0.000246,5.9933
7, the,253,178,0.000548,6.794
7, generally,3839,89,0.001148,7.5332
8, a,247,68,0.001533,7.6042
