layer,token,token_id,rank,prob,logit
0, you,368,30101,0.0,-0.6234
0, users,4212,5908,9e-06,3.0302
0, the,253,39587,0.0,-2.0232
0, a,247,30314,0.0,-0.6534
0, for,323,27465,0.0,-0.2877
0, us,441,40316,0.0,-2.1583
0, your,634,42624,0.0,-2.6308
0, one,581,35696,0.0,-1.4043
0, navigation,15034,26934,0.0,-0.2203
0, an,271,39537,0.0,-2.0156
1, you,368,29321,0.0,-0.4859
1, users,4212,4128,2.2e-05,3.4562
1, the,253,16343,2e-06,1.117
1, a,247,16565,2e-06,1.0874
1, for,323,17873,2e-06,0.9152
1, us,441,22831,1e-06,0.2843
1, your,634,40674,0.0,-2.1404
1, one,581,6524,1.1e-05,2.7757
1, navigation,15034,27305,1e-06,-0.2574
1, an,271,37013,0.0,-1.5221
2, you,368,22721,1e-06,0.2991
2, users,4212,6306,1.1e-05,2.7966
2, the,253,7498,8e-06,2.5397
2, a,247,5154,1.5e-05,3.0903
2, for,323,12822,3e-06,1.6114
2, us,441,17892,2e-06,0.8994
2, your,634,34363,0.0,-1.1284
2, one,581,3190,2.8e-05,3.7582
2, navigation,15034,23308,1e-06,0.2302
2, an,271,14538,3e-06,1.3633
3, you,368,12487,4e-06,1.6448
3, users,4212,6361,1.2e-05,2.7646
3, the,253,4240,2.2e-05,3.3402
3, a,247,6734,1.1e-05,2.6777
3, for,323,5142,1.7e-05,3.0785
3, us,441,5609,1.5e-05,2.9482
3, your,634,18980,2e-06,0.7518
3, one,581,4265,2.1e-05,3.3332
3, navigation,15034,14723,3e-06,1.3173
3, an,271,13679,3e-06,1.4716
4, you,368,18437,2e-06,0.8348
4, users,4212,13054,4e-06,1.5594
4, the,253,5006,2e-05,3.137
4, a,247,17648,2e-06,0.9353
4, for,323,15791,3e-06,1.178
4, us,441,5637,1.7e-05,2.9708
4, your,634,20592,2e-06,0.5677
4, one,581,4235,2.5e-05,3.3576
4, navigation,15034,9895,7e-06,2.0652
4, an,271,14802,3e-06,1.3093
5, you,368,2353,5.4e-05,4.1113
5, users,4212,6408,1.4e-05,2.7586
5, the,253,814,0.000164,5.2307
5, a,247,4273,2.5e-05,3.3461
5, for,323,2785,4.4e-05,3.9134
5, us,441,66,0.001421,7.3871
5, your,634,10525,6e-06,1.953
5, one,581,5823,1.6e-05,2.9041
5, navigation,15034,7500,1.1e-05,2.5186
5, an,271,3655,3.1e-05,3.5559
6, you,368,2955,4e-05,3.7593
6, users,4212,2710,4.4e-05,3.8583
6, the,253,403,0.000312,5.8059
6, a,247,3297,3.5e-05,3.6301
6, for,323,4854,2.2e-05,3.1374
6, us,441,427,0.000294,5.748
6, your,634,10177,7e-06,2.003
6, one,581,3660,3.1e-05,3.5016
6, navigation,15034,2164,5.8e-05,4.1246
6, an,271,1123,0.000118,4.8321
7, you,368,2982,3.3e-05,3.7617
7, users,4212,839,0.000128,5.1081
7, the,253,294,0.000325,6.0431
7, a,247,5801,1.4e-05,2.87
7, for,323,2678,3.8e-05,3.8873
7, us,441,455,0.000227,5.6852
7, your,634,12435,4e-06,1.6439
7, one,581,4433,2e-05,3.2511
7, navigation,15034,2819,3.5e-05,3.8256
7, an,271,1250,8.6e-05,4.7194
8, you,368,3641,2.7e-05,3.4328
8, users,4212,1159,0.000101,4.7473
8, the,253,742,0.000159,5.1986
8, a,247,6873,1.1e-05,2.5591
8, for,323,14456,3e-06,1.3065
8, us,441,602,0.000195,5.4033
8, your,634,6452,1.3e-05,2.6614
8, one,581,5556,1.5e-05,2.8693
8, navigation,15034,3120,3.3e-05,3.6339
8, an,271,638,0.000184,5.3454
9, you,368,1771,7.4e-05,4.2012
9, users,4212,1983,6.6e-05,4.086
9, the,253,857,0.000159,4.9635
9, a,247,5084,2.1e-05,2.9366
9, for,323,11478,6e-06,1.7067
9, us,441,249,0.000509,6.1274
9, your,634,1938,6.8e-05,4.1105
9, one,581,6190,1.6e-05,2.6625
9, navigation,15034,2824,4.5e-05,3.6926
9, an,271,221,0.000569,6.2404
10, you,368,804,0.000176,4.9642
10, users,4212,34,0.00295,7.7819
10, the,253,139,0.000939,6.6373
10, a,247,1362,0.000103,4.427
10, for,323,2413,5.5e-05,3.8021
10, us,441,21,0.004873,8.2838
10, your,634,603,0.000234,5.2461
10, one,581,489,0.000287,5.4502
10, navigation,15034,149,0.000888,6.5819
10, an,271,65,0.001572,7.1527
11, you,368,329,0.000386,5.6464
11, users,4212,38,0.002686,7.5873
11, the,253,71,0.001462,6.9786
11, a,247,1124,0.000116,4.4413
11, for,323,3533,3.5e-05,3.2388
11, us,441,7,0.009274,8.8264
11, your,634,243,0.000526,5.9571
11, one,581,451,0.000289,5.3575
11, navigation,15034,644,0.000208,5.0309
11, an,271,170,0.000704,6.2483
12, you,368,55,0.001497,7.1402
12, users,4212,3,0.023292,9.8852
12, the,253,15,0.003737,8.0554
12, a,247,185,0.000613,6.2477
12, for,323,412,0.000302,5.5381
12, us,441,1,0.084132,11.1695
12, your,634,19,0.003173,7.8919
12, one,581,420,0.000293,5.511
12, navigation,15034,22,0.002972,7.8264
12, an,271,33,0.002046,7.4528
13, you,368,11,0.003955,8.4504
13, users,4212,3,0.057218,11.1222
13, the,253,17,0.002614,8.0361
13, a,247,100,0.000663,6.6642
13, for,323,500,0.000164,5.2678
13, us,441,1,0.309482,12.8102
13, your,634,22,0.002321,7.9173
13, one,581,78,0.000807,6.8611
13, navigation,15034,21,0.002457,7.9742
13, an,271,31,0.001787,7.6556
14, you,368,4,0.011125,10.663
14, users,4212,2,0.094122,12.7984
14, the,253,39,0.000582,7.7122
14, a,247,196,0.000143,6.3104
14, for,323,519,5.8e-05,5.399
14, us,441,1,0.607284,14.6628
14, your,634,16,0.001769,8.8244
14, one,581,332,8.8e-05,5.8246
14, navigation,15034,11,0.002372,9.1174
14, an,271,89,0.000299,7.0475
15, you,368,4,0.065597,12.9819
15, users,4212,2,0.149741,13.8072
15, the,253,47,0.00043,7.9538
15, a,247,69,0.000272,7.4951
15, for,323,216,8.4e-05,6.3211
15, us,441,1,0.48005,14.9722
15, your,634,8,0.007716,10.8417
15, one,581,94,0.000193,7.1538
15, navigation,15034,26,0.000796,8.5706
15, an,271,101,0.000178,7.0698
16, you,368,2,0.331249,17.5608
16, users,4212,3,0.047392,15.6164
16, the,253,7,0.00487,13.3411
16, a,247,11,0.001391,12.0881
16, for,323,12,0.000844,11.5887
16, us,441,1,0.550135,18.0681
16, your,634,10,0.002096,12.498
16, one,581,86,4.5e-05,8.6481
16, navigation,15034,13,0.000757,11.4796
16, an,271,30,0.000221,10.2477
17, you,368,3,0.147475,16.1072
17, users,4212,1,0.415608,17.1433
17, the,253,5,0.015134,13.8305
17, a,247,10,0.003315,12.3121
17, for,323,7,0.008518,13.2557
17, us,441,2,0.224897,16.5292
17, your,634,11,0.002286,11.9404
17, one,581,32,0.000375,10.1315
17, navigation,15034,39,0.000336,10.0235
17, an,271,25,0.000567,10.5462
18, you,368,1,0.275335,18.3291
18, users,4212,2,0.191183,17.9644
18, the,253,5,0.073943,17.0144
18, a,247,7,0.050664,16.6363
18, for,323,6,0.061312,16.8271
18, us,441,3,0.146966,17.7013
18, your,634,17,0.001574,13.1649
18, one,581,29,0.000924,12.6325
18, navigation,15034,300,2.2e-05,8.9158
18, an,271,12,0.004449,14.2039
19, you,368,1,0.823333,20.7088
19, users,4212,2,0.111981,18.7137
19, the,253,4,0.008567,16.1433
19, a,247,7,0.003275,15.1817
19, for,323,8,0.002236,14.7999
19, us,441,3,0.024325,17.1869
19, your,634,6,0.004534,15.507
19, one,581,17,0.000231,12.5304
19, navigation,15034,97,1.7e-05,9.9217
19, an,271,21,0.000192,12.3474
20, you,368,1,0.577844,18.2702
20, users,4212,2,0.229706,17.3477
20, the,253,3,0.044636,15.7094
20, a,247,6,0.017314,14.7624
