layer,token,token_id,rank,prob,logit
0, to,281,163,0.000254,3.4343
0, not,417,28,0.000757,4.528
0, for,323,710,0.000116,2.6482
0, so,594,9751,2.3e-05,1.0535
0, that,326,21,0.000953,4.7582
0,",",13,1373,8.3e-05,2.3118
0, two,767,16401,1.5e-05,0.5787
0, primarily,8558,1821,7.1e-05,2.1608
0, simple,2969,1374,8.2e-05,2.311
0, simply,3365,809,0.000108,2.5767
1, to,281,191,0.000224,3.2201
1, not,417,32,0.000641,4.2735
1, for,323,995,0.000101,2.427
1, so,594,9356,2.6e-05,1.063
1, that,326,65,0.00043,3.8734
1,",",13,3506,5.1e-05,1.741
1, two,767,27135,8e-06,-0.073
1, primarily,8558,4083,4.6e-05,1.6409
1, simple,2969,3205,5.4e-05,1.792
1, simply,3365,2750,5.9e-05,1.8816
2, to,281,294,0.000188,3.053
2, not,417,58,0.000462,3.9497
2, for,323,1918,7.2e-05,2.0891
2, so,594,5259,3.9e-05,1.4843
2, that,326,79,0.000361,3.7044
2,",",13,2948,5.7e-05,1.8542
2, two,767,26840,8e-06,-0.0622
2, primarily,8558,6084,3.5e-05,1.3805
2, simple,2969,1277,8.9e-05,2.3085
2, simply,3365,1739,7.6e-05,2.1444
3, to,281,24,0.000903,4.7222
3, not,417,16,0.001327,5.1074
3, for,323,140,0.000335,3.7311
3, so,594,1511,9.2e-05,2.439
3, that,326,18,0.001285,5.0752
3,",",13,483,0.000171,3.0581
3, two,767,14742,1.7e-05,0.7302
3, primarily,8558,6213,3.7e-05,1.5205
3, simple,2969,502,0.000166,3.0255
3, simply,3365,209,0.000269,3.5122
4, to,281,22,0.001103,4.9669
4, not,417,12,0.002069,5.5955
4, for,323,162,0.000312,3.7037
4, so,594,7860,3e-05,1.3558
4, that,326,100,0.000389,3.9242
4,",",13,2115,7.6e-05,2.2957
4, two,767,32714,5e-06,-0.4712
4, primarily,8558,6598,3.4e-05,1.4975
4, simple,2969,1374,9.9e-05,2.5581
4, simply,3365,216,0.000273,3.5687
5, to,281,1,0.007375,6.9273
5, not,417,2,0.004404,6.4118
5, for,323,162,0.00035,3.8801
5, so,594,4254,4.9e-05,1.9182
5, that,326,141,0.000373,3.9442
5,",",13,1356,0.000106,2.682
5, two,767,26692,7e-06,-0.0717
5, primarily,8558,2630,6.9e-05,2.2527
5, simple,2969,729,0.000151,3.0389
5, simply,3365,43,0.000725,4.6081
6, to,281,1,0.013849,7.5771
6, not,417,6,0.002987,6.0433
6, for,323,146,0.000355,3.9145
6, so,594,4430,4.6e-05,1.8686
6, that,326,113,0.000418,4.077
6,",",13,428,0.00021,3.3865
6, two,767,17356,1.3e-05,0.5736
6, primarily,8558,1789,8.8e-05,2.5154
6, simple,2969,80,0.000499,4.2545
6, simply,3365,13,0.001661,5.4566
7, to,281,1,0.023729,8.2274
7, not,417,12,0.002254,5.8733
7, for,323,111,0.000496,4.3599
7, so,594,4481,4.4e-05,1.9396
7, that,326,31,0.001185,5.2303
7,",",13,45,0.000863,4.9138
7, two,767,8216,2.6e-05,1.4034
7, primarily,8558,529,0.00019,3.3996
7, simple,2969,298,0.000268,3.7458
7, simply,3365,26,0.001369,5.3747
8, to,281,1,0.083917,9.8155
8, not,417,4,0.004977,6.9905
8, for,323,56,0.001087,5.469
8, so,594,634,0.000178,3.6602
8, that,326,24,0.001695,5.9134
8,",",13,19,0.00195,6.0537
8, two,767,3903,4.2e-05,2.2191
8, primarily,8558,1782,8e-05,2.8553
8, simple,2969,161,0.000466,4.6231
8, simply,3365,35,0.001449,5.7563
9, to,281,1,0.107755,10.3422
9, not,417,2,0.01206,8.1522
9, for,323,16,0.003277,6.8492
9, so,594,473,0.000229,4.1888
9, that,326,31,0.002084,6.3965
9,",",13,17,0.002955,6.7459
9, two,767,1143,0.00011,3.4592
9, primarily,8558,273,0.000354,4.6247
9, simple,2969,67,0.001017,5.6788
9, simply,3365,55,0.00123,5.8691
10, to,281,1,0.128634,10.9477
10, not,417,2,0.025468,9.3282
10, for,323,19,0.003812,7.429
10, so,594,170,0.000623,5.6181
10, that,326,34,0.002274,6.9123
10,",",13,13,0.004722,7.6429
10, two,767,1079,0.000104,3.8283
10, primarily,8558,345,0.000323,4.9594
10, simple,2969,78,0.001207,6.2793
10, simply,3365,65,0.001355,6.3943
11, to,281,1,0.264353,12.6247
11, not,417,3,0.035678,10.622
11, for,323,12,0.009205,9.2672
11, so,594,131,0.000684,6.6681
11, that,326,26,0.003061,8.1662
11,",",13,6,0.014672,9.7334
11, two,767,376,0.000207,5.47
11, primarily,8558,382,0.000202,5.4463
11, simple,2969,67,0.001267,7.2842
11, simply,3365,30,0.002635,8.0162
12, to,281,1,0.311145,12.86
12, not,417,4,0.018755,10.0512
12, for,323,7,0.009806,9.4028
12, so,594,100,0.000885,6.9976
12, that,326,33,0.002323,7.9627
12,",",13,10,0.009213,9.3404
12, two,767,297,0.000277,5.8352
12, primarily,8558,57,0.00133,7.4051
12, simple,2969,44,0.001638,7.6134
12, simply,3365,22,0.003143,8.2651
13, to,281,1,0.344002,13.3258
13, not,417,5,0.021888,10.5711
13, for,323,6,0.02043,10.5022
13, so,594,30,0.002358,8.3432
13, that,326,50,0.00147,7.8702
13,",",13,11,0.010237,9.8112
13, two,767,130,0.000605,6.9827
13, primarily,8558,67,0.00113,7.6078
13, simple,2969,28,0.002445,8.3793
13, simply,3365,44,0.0018,8.0729
14, to,281,1,0.282494,13.2161
14, not,417,8,0.017739,10.4481
14, for,323,4,0.02134,10.633
14, so,594,70,0.001283,7.8213
14, that,326,26,0.003299,8.766
14,",",13,11,0.012334,10.0847
14, two,767,90,0.001022,7.594
14, primarily,8558,30,0.002983,8.6654
14, simple,2969,31,0.002689,8.5615
14, simply,3365,63,0.001413,7.9178
15, to,281,1,0.330523,14.3658
15, not,417,9,0.023699,11.7306
15, for,323,6,0.030098,11.9696
15, so,594,49,0.0018,9.1528
15, that,326,17,0.005246,10.2227
15,",",13,8,0.025837,11.817
15, two,767,68,0.001278,8.8105
15, primarily,8558,98,0.000868,8.4235
15, simple,2969,50,0.00178,9.1418
15, simply,3365,70,0.001239,8.7794
16, to,281,1,0.355888,15.1493
16, not,417,5,0.034448,12.8141
16, for,323,7,0.025434,12.5107
16, so,594,31,0.00265,10.249
16, that,326,14,0.007143,11.2408
16,",",13,6,0.03036,12.6878
16, two,767,76,0.001007,9.2817
16, primarily,8558,101,0.000646,8.8372
16, simple,2969,52,0.001666,9.7852
16, simply,3365,102,0.000633,8.8172
17, to,281,1,0.42126,16.1952
17, not,417,7,0.026601,13.4329
17, for,323,11,0.013685,12.7683
17, so,594,54,0.001486,10.5482
17, that,326,16,0.00573,11.8977
17,",",13,4,0.037194,13.7681
17, two,767,81,0.000855,9.9954
17, primarily,8558,132,0.000332,9.0489
17, simple,2969,64,0.001149,10.291
17, simply,3365,128,0.000357,9.1206
18, to,281,1,0.563007,17.2546
18, not,417,7,0.023022,14.0577
18, for,323,10,0.012695,13.4625
18, so,594,26,0.002468,11.8249
18, that,326,19,0.003869,12.2744
18,",",13,5,0.034199,14.4535
18, two,767,58,0.000898,10.8137
18, primarily,8558,157,0.000168,9.1401
18, simple,2969,42,0.001494,11.323
18, simply,3365,112,0.000291,9.688
19, to,281,1,0.569105,17.3474
19, not,417,2,0.045161,14.8135
19, for,323,9,0.016781,13.8235
19, so,594,36,0.001806,11.5943
19, that,326,30,0.002153,11.7702
19,",",13,5,0.025282,14.2334
19, two,767,46,0.001227,11.2075
19, primarily,8558,118,0.000265,9.6747
19, simple,2969,34,0.001845,11.6159
19, simply,3365,116,0.000267,9.6837
20, to,281,1,0.614547,17.7174
20, not,417,2,0.052902,15.265
20, for,323,10,0.012496,13.8219
20, so,594,27,0.002009,11.9943
20, that,326,25,0.00207,12.024
20,",",13,5,0.023855,14.4686
20, two,767,23,0.00209,12.0335
20, primarily,8558,131,0.000175,9.5554
20, simple,2969,30,0.001575,11.7507
20, simply,3365,119,0.000215,9.7613
21, to,281,1,0.622784,17.9815
21, not,417,2,0.045105,15.3563
21, for,323,10,0.010332,13.8825
