layer,token,token_id,rank,prob,logit
0, it,352,13,0.001201,5.013
0, the,253,4895,4.4e-05,1.7096
0, of,273,4,0.003079,5.9547
0, color,3295,6234,3.7e-05,1.5224
0,",",13,1020,0.000115,2.6712
0, we,359,67,0.000434,3.9946
0, people,952,2276,7.2e-05,2.2019
0, our,776,1149,0.000108,2.6088
0, a,247,2109,7.5e-05,2.2422
0, humans,7497,8856,2.8e-05,1.2418
1, it,352,69,0.000455,3.9951
1, the,253,14548,1.7e-05,0.7298
1, of,273,15,0.001218,4.9805
1, color,3295,6386,3.6e-05,1.4539
1,",",13,8607,2.8e-05,1.2246
1, we,359,229,0.000235,3.3333
1, people,952,3853,5.1e-05,1.8055
1, our,776,397,0.000184,3.0927
1, a,247,5083,4.2e-05,1.6149
1, humans,7497,5678,3.9e-05,1.538
2, it,352,47,0.000583,4.2045
2, the,253,19740,1.3e-05,0.3756
2, of,273,16,0.001016,4.7596
2, color,3295,5964,3.8e-05,1.4756
2,",",13,11048,2.3e-05,0.9865
2, we,359,64,0.000448,3.9406
2, people,952,3206,5.8e-05,1.8906
2, our,776,421,0.00017,2.9701
2, a,247,10870,2.4e-05,1.0
2, humans,7497,3585,5.4e-05,1.8186
3, it,352,28,0.000934,4.7554
3, the,253,20004,1.2e-05,0.3683
3, of,273,5,0.003283,6.0121
3, color,3295,4357,4.7e-05,1.7602
3,",",13,9802,2.5e-05,1.1242
3, we,359,157,0.000295,3.6026
3, people,952,2166,7.4e-05,2.2259
3, our,776,1617,8.8e-05,2.3884
3, a,247,10480,2.3e-05,1.0654
3, humans,7497,1480,9.2e-05,2.4375
4, it,352,9,0.0018,5.4492
4, the,253,9208,2.6e-05,1.2158
4, of,273,3,0.00596,6.6464
4, color,3295,2047,7.9e-05,2.3245
4,",",13,2118,7.7e-05,2.2983
4, we,359,248,0.000255,3.4964
4, people,952,3871,5.1e-05,1.8914
4, our,776,223,0.00027,3.553
4, a,247,5440,4e-05,1.6492
4, humans,7497,4531,4.6e-05,1.7829
5, it,352,2,0.005147,6.4873
5, the,253,12682,2e-05,0.918
5, of,273,1,0.005752,6.5983
5, color,3295,3402,5.8e-05,2.0017
5,",",13,1121,0.000117,2.7005
5, we,359,28,0.000783,4.6041
5, people,952,2295,7.5e-05,2.2629
5, our,776,447,0.00019,3.1889
5, a,247,958,0.000126,2.7744
5, humans,7497,4279,4.9e-05,1.8407
6, it,352,2,0.00375,6.1531
6, the,253,8171,3e-05,1.3105
6, of,273,1,0.012621,7.3667
6, color,3295,2938,6.5e-05,2.0938
6,",",13,807,0.000136,2.8375
6, we,359,38,0.000598,4.318
6, people,952,716,0.000146,2.9102
6, our,776,293,0.000229,3.3552
6, a,247,1854,8.6e-05,2.3737
6, humans,7497,2188,7.8e-05,2.276
7, it,352,5,0.004872,6.5368
7, the,253,2268,7.7e-05,2.3923
7, of,273,1,0.010899,7.342
7, color,3295,5694,3.9e-05,1.7087
7,",",13,140,0.00036,3.9312
7, we,359,29,0.000747,4.6615
7, people,952,266,0.000264,3.6197
7, our,776,238,0.00028,3.6796
7, a,247,486,0.000197,3.3296
7, humans,7497,4165,5e-05,1.9562
8, it,352,2,0.013626,7.7162
8, the,253,886,0.000141,3.1477
