layer,token,token_id,rank,prob,logit
0, you,368,2,0.017237,7.9024
0, to,281,4,0.00311,6.1899
0, us,441,26,0.000932,4.9849
0, the,253,900,0.000141,3.0934
0, developers,12259,29975,5e-06,-0.3149
0, your,634,445,0.000208,3.4866
0, search,3186,9852,2.3e-05,1.2746
0, users,4212,11639,1.9e-05,1.1031
0, web,4384,4536,4.6e-05,1.9844
0, make,1056,764,0.000154,3.1855
1, you,368,2,0.007896,7.0115
1, to,281,13,0.001025,4.9698
1, us,441,12,0.001121,5.0594
1, the,253,7139,3.3e-05,1.5233
1, developers,12259,36320,3e-06,-0.7966
1, your,634,1660,9.5e-05,2.5902
1, search,3186,16656,1.3e-05,0.6369
1, users,4212,6403,3.6e-05,1.6158
1, web,4384,2097,8.2e-05,2.4396
1, make,1056,990,0.000126,2.8765
2, you,368,2,0.007642,6.9163
2, to,281,40,0.000572,4.3242
2, us,441,25,0.000723,4.5579
2, the,253,11749,2.1e-05,1.0101
2, developers,12259,18916,1.2e-05,0.4604
2, your,634,1881,8.6e-05,2.4279
2, search,3186,19330,1.2e-05,0.4313
2, users,4212,8469,2.9e-05,1.3261
2, web,4384,3384,5.8e-05,2.0415
2, make,1056,696,0.000151,2.9922
3, you,368,1,0.01285,7.5823
3, to,281,19,0.000965,4.9936
3, us,441,6,0.003039,6.1405
3, the,253,6816,3.3e-05,1.6255
3, developers,12259,6245,3.6e-05,1.7045
3, your,634,356,0.000244,3.6196
3, search,3186,22617,8e-06,0.204
3, users,4212,3829,5.4e-05,2.1138
3, web,4384,9994,2.3e-05,1.2573
3, make,1056,111,0.000414,4.148
4, you,368,1,0.015836,7.7021
4, to,281,65,0.000478,4.2012
4, us,441,7,0.002844,5.985
4, the,253,7624,3.1e-05,1.4597
4, developers,12259,972,0.00013,2.8971
4, your,634,391,0.000218,3.4183
4, search,3186,15228,1.5e-05,0.7335
4, users,4212,373,0.000222,3.4339
4, web,4384,7494,3.1e-05,1.4748
4, make,1056,267,0.000264,3.6077
5, you,368,1,0.021338,7.9983
5, to,281,9,0.001313,5.2099
5, us,441,3,0.002932,6.0134
5, the,253,11801,2e-05,1.0327
5, developers,12259,446,0.000196,3.3068
5, your,634,453,0.000195,3.303
5, search,3186,11127,2.1e-05,1.0965
5, users,4212,405,0.000204,3.3481
