layer,token,token_id,rank,prob,logit
0, a,247,274,0.000201,3.2
0, an,271,1753,7.7e-05,2.2378
0, used,908,816,0.000116,2.6544
0, typically,5431,108,0.000335,3.7123
0, generally,3839,326,0.000184,3.1109
0, one,581,1883,7.4e-05,2.1963
0, commonly,7744,1395,8.7e-05,2.3663
0, the,253,1417,8.6e-05,2.353
0, known,1929,2257,6.7e-05,2.0974
0, often,2223,15,0.001179,4.9695
1, a,247,989,0.0001,2.4354
1, an,271,4411,4.3e-05,1.5923
1, used,908,2953,5.5e-05,1.8294
1, typically,5431,220,0.000206,3.1581
1, generally,3839,628,0.000126,2.6625
1, one,581,722,0.000117,2.5875
1, commonly,7744,2383,6.2e-05,1.9615
1, the,253,8238,2.8e-05,1.1538
1, known,1929,1266,8.9e-05,2.3124
1, often,2223,31,0.000635,4.2819
2, a,247,1104,9.6e-05,2.4171
2, an,271,1600,7.9e-05,2.2252
2, used,908,2914,5.7e-05,1.8903
2, typically,5431,238,0.000217,3.2319
2, generally,3839,1007,0.000101,2.4663
2, one,581,1014,0.000101,2.4632
2, commonly,7744,3146,5.4e-05,1.8421
2, the,253,9781,2.4e-05,1.0466
2, known,1929,2142,6.8e-05,2.0702
2, often,2223,30,0.000729,4.4435
3, a,247,243,0.00025,3.4485
3, an,271,219,0.000267,3.5162
3, used,908,2743,6.3e-05,2.0736
3, typically,5431,53,0.000554,4.2467
3, generally,3839,691,0.000141,2.8806
3, one,581,822,0.000128,2.7785
3, commonly,7744,1163,0.000106,2.5884
3, the,253,4347,4.7e-05,1.7702
3, known,1929,2186,7.2e-05,2.21
3, often,2223,14,0.001354,5.1398
4, a,247,1535,8.9e-05,2.4154
4, an,271,768,0.000135,2.8312
4, used,908,2576,6.5e-05,2.1034
4, typically,5431,66,0.000492,4.1221
4, generally,3839,298,0.000217,3.3033
4, one,581,3082,5.8e-05,1.9905
4, commonly,7744,884,0.000124,2.7435
4, the,253,9923,2.4e-05,1.1051
4, known,1929,7583,3.1e-05,1.3432
4, often,2223,20,0.001067,4.8955
5, a,247,423,0.00019,3.1774
5, an,271,470,0.000181,3.1309
5, used,908,85,0.000449,4.0406
5, typically,5431,15,0.001214,5.0347
5, generally,3839,97,0.000414,3.9596
5, one,581,1408,0.0001,2.5353
5, commonly,7744,475,0.00018,3.1279
5, the,253,8737,2.7e-05,1.2462
5, known,1929,1240,0.000108,2.6125
5, often,2223,10,0.00148,5.2326
6, a,247,55,0.000559,4.3369
6, an,271,225,0.000287,3.6687
6, used,908,75,0.000492,4.2084
6, typically,5431,9,0.002316,5.7583
6, generally,3839,12,0.001549,5.3559
6, one,581,580,0.000171,3.1522
6, commonly,7744,51,0.000596,4.4013
6, the,253,4434,4.8e-05,1.8844
6, known,1929,1223,0.000114,2.744
6, often,2223,11,0.001979,5.6011
7, a,247,15,0.001631,5.5852
7, an,271,22,0.001209,5.2861
7, used,908,17,0.001608,5.5713
7, typically,5431,6,0.005339,6.7711
7, generally,3839,2,0.008592,7.247
7, one,581,272,0.000301,3.8964
7, commonly,7744,34,0.001001,5.0967
