model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
pythia-12b,skip_link,0,48.156147,49.157547,1.0208,94.454201,0.0
pythia-12b,skip_link,1,14.171762,12.423246,0.8766,92.84742,0.0286
pythia-12b,skip_link,2,12.87947,16.431959,1.2758,93.69297,0.0571
pythia-12b,skip_link,3,21.185354,20.368101,0.9614,99.852852,0.0857
pythia-12b,skip_link,4,13.700475,31.45483,2.2959,112.164993,0.1143
pythia-12b,skip_link,5,13.970185,29.425592,2.1063,122.816391,0.1429
pythia-12b,skip_link,6,16.066013,32.603378,2.0293,129.667892,0.1714
pythia-12b,skip_link,7,23.706961,35.351677,1.4912,143.516113,0.2
pythia-12b,skip_link,8,15.629137,36.575272,2.3402,156.190857,0.2286
pythia-12b,skip_link,9,18.931063,32.197754,1.7008,163.921585,0.2571
pythia-12b,skip_link,10,13.568675,34.343128,2.5311,175.268631,0.2857
pythia-12b,skip_link,11,22.936275,32.218643,1.4047,185.394089,0.3143
pythia-12b,skip_link,12,25.162601,40.613018,1.614,205.375931,0.3429
pythia-12b,skip_link,13,29.500925,41.718227,1.4141,231.594543,0.3714
pythia-12b,skip_link,14,27.292631,51.861771,1.9002,266.94455,0.4
pythia-12b,skip_link,15,32.383797,52.716934,1.6279,313.96347,0.4286
pythia-12b,skip_link,16,29.925537,52.664951,1.7599,356.721069,0.4571
pythia-12b,skip_link,17,19.199602,52.54977,2.737,388.559875,0.4857
pythia-12b,skip_link,18,26.235109,55.923725,2.1316,432.599457,0.5143
pythia-12b,skip_link,19,31.810783,54.325409,1.7078,475.726318,0.5429
pythia-12b,skip_link,20,28.555496,49.55534,1.7354,504.808624,0.5714
pythia-12b,skip_link,21,20.409864,45.242523,2.2167,517.512695,0.6
pythia-12b,skip_link,22,18.257401,47.282822,2.5898,543.204651,0.6286
pythia-12b,skip_link,23,9.624918,47.034534,4.8867,557.109863,0.6571
pythia-12b,skip_link,24,19.022102,42.4482,2.2315,568.238464,0.6857
pythia-12b,skip_link,25,19.928478,42.418854,2.1286,579.134888,0.7143
pythia-12b,skip_link,26,11.918166,44.176556,3.7067,584.875854,0.7429
pythia-12b,skip_link,27,17.839663,43.73148,2.4514,590.205872,0.7714
pythia-12b,skip_link,28,16.873024,44.088314,2.6129,589.991089,0.8
pythia-12b,skip_link,29,12.088847,42.728367,3.5345,590.175598,0.8286
pythia-12b,skip_link,30,15.647836,41.834324,2.6735,589.292175,0.8571
pythia-12b,skip_link,31,20.375866,42.69968,2.0956,581.40509,0.8857
pythia-12b,skip_link,32,11.315439,42.762852,3.7792,579.611389,0.9143
pythia-12b,skip_link,33,24.852612,47.877735,1.9265,576.725891,0.9429
pythia-12b,skip_link,34,23.665716,65.75396,2.7784,571.257324,0.9714
pythia-12b,skip_link,35,18.584044,323.98407,17.4335,478.289276,1.0
pythia-12b,color_contrast,0,39.68988,47.316154,1.1921,83.088203,0.0
pythia-12b,color_contrast,1,15.705829,13.391065,0.8526,88.401581,0.0286
pythia-12b,color_contrast,2,16.743246,16.711882,0.9981,94.392815,0.0571
pythia-12b,color_contrast,3,16.483721,21.217304,1.2872,100.130882,0.0857
pythia-12b,color_contrast,4,15.552404,26.18054,1.6834,104.489601,0.1143
pythia-12b,color_contrast,5,18.522114,31.968361,1.726,118.540352,0.1429
pythia-12b,color_contrast,6,12.840051,36.147343,2.8152,128.686356,0.1714
pythia-12b,color_contrast,7,18.319496,39.442848,2.1531,146.863052,0.2
pythia-12b,color_contrast,8,19.689598,34.614494,1.758,154.135391,0.2286
pythia-12b,color_contrast,9,14.072666,32.445667,2.3056,159.220688,0.2571
pythia-12b,color_contrast,10,17.429085,32.627834,1.872,170.577667,0.2857
pythia-12b,color_contrast,11,25.33946,33.806034,1.3341,179.828049,0.3143
pythia-12b,color_contrast,12,25.695929,39.050354,1.5197,198.867889,0.3429
pythia-12b,color_contrast,13,31.267561,42.139584,1.3477,225.883209,0.3714
pythia-12b,color_contrast,14,26.780725,52.878044,1.9745,262.394562,0.4
pythia-12b,color_contrast,15,30.279451,57.49955,1.899,310.333801,0.4286
pythia-12b,color_contrast,16,32.213177,56.800682,1.7633,356.546417,0.4571
pythia-12b,color_contrast,17,25.860228,53.80751,2.0807,390.074219,0.4857
pythia-12b,color_contrast,18,36.321815,56.548813,1.5569,435.450043,0.5143
pythia-12b,color_contrast,19,33.63287,58.079586,1.7269,490.266235,0.5429
pythia-12b,color_contrast,20,29.371618,53.184212,1.8107,528.429626,0.5714
pythia-12b,color_contrast,21,17.313238,56.314812,3.2527,565.342285,0.6
pythia-12b,color_contrast,22,24.929958,49.822975,1.9985,605.219727,0.6286
pythia-12b,color_contrast,23,27.686739,51.882568,1.8739,645.896606,0.6571
pythia-12b,color_contrast,24,12.654399,49.367161,3.9012,666.409424,0.6857
pythia-12b,color_contrast,25,21.181057,44.812836,2.1157,691.635498,0.7143
pythia-12b,color_contrast,26,15.750405,45.712826,2.9023,705.070435,0.7429
pythia-12b,color_contrast,27,10.060266,45.89727,4.5622,714.511047,0.7714
pythia-12b,color_contrast,28,19.731182,51.655548,2.618,726.004822,0.8
pythia-12b,color_contrast,29,13.007985,50.41576,3.8758,727.03186,0.8286
pythia-12b,color_contrast,30,16.698032,50.285835,3.0115,730.363037,0.8571
pythia-12b,color_contrast,31,20.448477,48.694267,2.3813,724.649963,0.8857
pythia-12b,color_contrast,32,14.355007,48.435596,3.3741,719.924561,0.9143
pythia-12b,color_contrast,33,25.04434,54.908577,2.1925,710.269409,0.9429
pythia-12b,color_contrast,34,25.47364,85.094124,3.3405,713.916321,0.9714
pythia-12b,color_contrast,35,22.974937,428.156311,18.6358,592.187073,1.0
