model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
pythia-160m,skip_link,0,4.949504,7.395971,1.4943,9.021587,0.0
pythia-160m,skip_link,1,3.501878,3.608683,1.0305,9.417858,0.0909
pythia-160m,skip_link,2,5.086424,4.416617,0.8683,10.595886,0.1818
pythia-160m,skip_link,3,8.515043,5.686486,0.6678,13.686315,0.2727
pythia-160m,skip_link,4,5.002506,7.279603,1.4552,13.68483,0.3636
pythia-160m,skip_link,5,5.057171,7.83998,1.5503,13.773524,0.4545
pythia-160m,skip_link,6,2.851463,6.655993,2.3342,14.630655,0.5455
pythia-160m,skip_link,7,5.471639,8.831285,1.614,20.031706,0.6364
pythia-160m,skip_link,8,3.647236,11.047922,3.0291,21.687077,0.7273
pythia-160m,skip_link,9,3.078359,14.71969,4.7817,27.970587,0.8182
pythia-160m,skip_link,10,3.333653,20.651596,6.1949,32.144241,0.9091
pythia-160m,skip_link,11,18.906946,99.15564,5.2444,119.346886,1.0
pythia-160m,color_contrast,0,4.791438,7.902573,1.6493,9.942813,0.0
pythia-160m,color_contrast,1,4.080165,3.991002,0.9781,11.340314,0.0909
pythia-160m,color_contrast,2,6.256245,5.585285,0.8928,13.535829,0.1818
pythia-160m,color_contrast,3,7.109366,7.412415,1.0426,14.853726,0.2727
pythia-160m,color_contrast,4,5.344689,7.852565,1.4692,15.337424,0.3636
pythia-160m,color_contrast,5,5.240826,9.701301,1.8511,16.77449,0.4545
pythia-160m,color_contrast,6,4.865271,9.309061,1.9134,17.704004,0.5455
pythia-160m,color_contrast,7,6.007774,11.733014,1.953,20.450394,0.6364
pythia-160m,color_contrast,8,7.144805,13.671615,1.9135,23.785717,0.7273
pythia-160m,color_contrast,9,4.682467,13.442716,2.8709,25.811453,0.8182
pythia-160m,color_contrast,10,4.257369,21.278713,4.9981,32.855427,0.9091
pythia-160m,color_contrast,11,18.712029,111.874168,5.9787,130.026703,1.0
